date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091119,FWS.MFL.20140409.BBC1_.02.20140409.111941.1420203952,20,3,161,25.0,44,5.81152,12.32,25.6,31.68,8.23111104,24.332208252,43.9291448765,12.2491448765,6.727,-0.070855123536,24.3218322754,42.7588242686,7.36238,1.24117573139,25.675,-80.16167,KMIA
1404081219,FWS.MFL.20140408.HIDCE.01.20140408.121922.1793458979,1,0,4,31.1111111111,60,5.36448,-1.0,31.6666666667,61.0,8.0459110416,31.149987793,59.2886457642,-1.71135423583,6.2,-0.71135423583,29.7554870605,72.8055096893,7.82388,-12.8055096893,25.38056,-80.68,LPIF1
1404071214,FWS.MFL.20140407.NE5__.01.20140407.121406.2485158550,9,0,106,32.7777777778,45,5.81152,1.0,32.2222222222,44.0,5.3656555092,32.7499938965,48.8199527608,4.81995276082,6.96416,3.81995276082,32.3481689453,44.9489173221,5.65677,0.0510826778883,26.30944,-80.88472,TS909
1404071139,FWS.MFL.20140407.HIDCE.02.20140407.113911.1579979372,1,0,81,30.0,59,6.25856,3.0,31.1111111111,56.0,6.2607888348,29.7104431152,64.3677250037,8.36772500374,5.22983,5.36772500374,29.6198974609,63.7377884365,6.11808,-4.73778843649,25.38056,-80.68,LPIF1
1404061345,FWS.MFL.20140406.HIDCE.01.20140406.134543.1298871551,0,0,15,28.8888888889,51,3.57632,-0.0,30.0,51.0,5.3656555092,28.6014953613,53.9476519621,2.9476519621,6.2,2.9476519621,28.3734375,59.1535485978,4.66193,-8.1535485978,25.38306,-80.68139,LPIF1
1404061108,FWS.MFL.20140406.I75MM.01.20140406.110858.2928526567,0,0,38,30.5555555556,45,3.12928,-1.0,31.1111111111,46.0,4.4705221836,30.5578552246,46.4298352294,0.429835229382,5.1,1.42983522938,29.6121154785,49.5054236928,3.75963,-4.5054236928,26.16861,-81.36444,PSTF1
1404051222,FWS.MFL.20140405.I75MM.01.20140405.122227.2563362915,2,3,12,30.5555555556,46,3.57632,7.0,32.7777777778,39.0,2.6802555324,30.548059082,46.4507943781,7.45079437815,3.6,0.450794378149,30.0714355469,42.9507448376,1.86576,3.04925516243,26.15484,-81.34533,PSTF1
1404041229,FWS.MFL.20140404.FPRC2.01.20140404.122933.2378197628,1,0,29,30.5555555556,45,3.57632,2.0,30.5555555556,43.0,3.575388858,29.4197021484,49.2212923709,6.22129237094,4.00572,4.22129237094,29.4715515137,46.8943093356,3.17183,-1.89430933559,26.16232,-81.35725,PSTF1
1404042033,FWS.MFL.20140404.I75MM.01.20140404.203346.3003078574,2,3,448,30.5555555556,43,4.4704,-0.0,30.5555555556,43.0,3.575388858,29.4489379883,49.4693417909,6.46934179093,3.94208,6.46934179093,29.5382324219,46.994342703,3.17067,-3.99434270304,26.15484,-81.34533,PSTF1
1404041437,FWS.MFL.20140404.CPI1_.01.20140404.143759.1329238702,9,0,83,30.5555555556,40,3.57632,-0.0,31.1111111111,40.0,3.575388858,29.9219909668,44.9164158216,4.91641582161,3.1,4.91641582161,30.6683898926,39.8101662641,3.61146,0.189833735876,26.29056,-81.07444,TS909
1404031352,FWS.MFL.20140403.HIDCE.02.20140403.135257.3043682618,0,0,8,26.6666666667,55,5.81152,4.0,28.3333333333,51.0,4.9180888464,26.192956543,56.2925942062,5.2925942062,6.7,1.2925942062,27.434564209,52.7563230422,4.6262,2.24367695776,25.38306,-80.68139,LPIF1
1404031031,FWS.MFL.20140403.CORBE.01.20140403.103125.4121578647,30,-2,149,27.2222222222,51,4.02336,-1.29,26.7,52.29,7.20222216,27.2499938965,51.6127100089,-0.67728999105,5.1,0.61271000895,29.0262084961,47.2034691925,4.50592,3.7965308075,26.874,-80.32,KPBI
1404031029,FWS.MFL.20140403.DUPUI.01.20140403.102926.4062949421,42,0,151,28.3333333333,47,3.57632,4.94,27.0,42.06,7.20222216,28.4247375488,47.4326960768,5.37269607678,4.60825,0.432696076781,28.6933837891,47.0544527424,3.89484,-0.0544527424015,26.92355,-80.5309,KSUA
1404031357,FWS.MFL.20140403.HIDCE.02.20140403.135716.3178444311,0,0,3,26.6666666667,55,5.81152,4.0,28.3333333333,51.0,4.9180888464,26.192956543,56.2925942062,5.2925942062,6.7,1.2925942062,27.434564209,52.7563230422,4.6262,2.24367695776,25.38306,-80.68139,LPIF1
