date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403181157,FWS.MFL.20140318.BURNS.01.20140318.115712.1238697259,7,-3,20,26.6666666667,50,4.4704,10.0,27.7777777778,40.0,4.0229555208,26.859552002,49.6599914976,9.65999149757,6.03717,-0.340008502434,26.2658325195,48.2552445205,3.35723,1.74475547948,25.89703,-81.24861,OCOF1
1403171209,FWS.MFL.20140317.BURNS.01.20140317.120909.234004289,7,-3,30,30.5555555556,55,8.9408,-9.0,28.8888888889,64.0,8.0459110416,30.6182495117,55.076718337,-8.92328166296,10.6254,0.0767183370447,27.0598999023,72.0675297037,5.94072,-17.0675297037,25.89703,-81.24861,OCOF1
1403161259,FWS.MFL.20140316.BURNS.02.20140316.125954.3086795013,7,-3,70,28.8888888889,49,6.7056,6.0,30.5555555556,43.0,6.2607888348,28.0867248535,49.9347192874,6.93471928743,8.2,0.934719287434,27.324029541,55.011610699,4.79604,-6.01161069901,25.89703,-81.24861,OCOF1
1403161303,FWS.MFL.20140316.BURNS.01.20140316.130307.31038824,7,0,82,28.8888888889,49,6.7056,6.0,30.5555555556,43.0,6.2607888348,28.0860229492,49.9367560016,6.93675600158,8.2,0.936756001581,27.3233581543,55.0167328258,4.79624,-6.01673282578,25.89694,-81.24861,OCOF1
1403091207,FWS.MFL.20140309.MISSI.01.20140309.120717.411585922,14,2,23,28.8888888889,37,1.34112,-4.0,27.7777777778,41.0,1.3426999884,,,,,,27.4153381348,41.3568527795,1.36257,-4.35685277945,26.08333,-81.,TT235
1403081755,FWS.MFL.20140308.TURNE.01.20140308.175526.2884228461,6,0,17,23.3333333333,39,1.34112,6.0,25.5555555556,33.0,3.1278221952,26.6222473145,33.9920658354,0.992065835417,2.62592,-5.00793416458,23.6848693848,46.1728232153,2.02291,-7.17282321534,25.9275,-81.26194,OCOF1
1403071337,FWS.MFL.20140307.TURNE.01.20140307.133708.1222918344,6,0,56,26.6666666667,40,7.59968,-5.0,25.0,45.0,8.4934777044,26.1477905273,48.5892697324,3.58926973244,8.67408,8.58926973244,24.2357421875,50.8634580025,5.37263,-10.8634580025,25.9275,-81.26194,OCOF1
1403061051,FWS.MFL.20140306.CSSSW.02.20140306.105159.311182861,1,0,16,28.8888888889,59,8.04672,32.0,30.5555555556,27.0,4.9180888464,28.35,60.4697195929,33.4697195929,9.8,1.46971959287,28.8373046875,55.2543793447,6.12454,3.74562065528,25.68237,-80.86488,TS643
1312081443,FWS.MFL.20131208.BEARI.01.20131208.144333.491304948,8,2,45,30.0,51,4.02336,1.0,30.0,50.0,3.575388858,29.9500061035,51.5006843409,1.50068434088,5.05725,0.50068434088,,,,,26.18083,-81.26513,RKIF1
1310281227,FWS.MFL.20131028.CYPRE.01.20131028.122743.1432746417,13,-1,15,30.0,46,3.57632,4.0,30.5555555556,42.0,2.6802555324,30.0190673828,46.3964641192,4.39646411922,4.1,0.396464119225,28.3415161133,46.1417236223,3.60306,-0.141723622319,26.16687,-81.19528,RKIF1
