date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404081455,FWS.MFR.20140408.BRIDG.01.20140408.145500.4282642522,40,39,185,21.1111111111,23,2.68224,-0.0,20.5555555556,23.0,6.7032110532,19.9439941406,26.6872060479,3.68720604794,6.82179,3.68720604794,20.6076904297,22.322064901,4.60961,0.677935099048,43.08537,-121.12215,KMRO3
1404071444,FWS.MFR.20140407.BRIDG.01.20140407.144423.2811460852,40,39,196,22.2222222222,16,1.78816,-5.0,20.5555555556,21.0,5.3656555092,19.663079834,24.9572259301,3.95722593014,4.5966,8.95722593014,21.0928283691,19.9144532396,3.07149,-3.91445323962,43.08537,-121.12215,KMRO3
1404040440,FWS.MFR.20140404.DUTCH.01.20140404.044036.3610541152,20,104,740,12.2222222222,48,2.2352,-37.0,5.55555555556,85.0,0.8951333256,9.7862487793,55.1501908132,-29.8498091868,4.19616,7.1501908132,9.13524780273,57.2747084624,0.987991,-9.27470846237,41.8775,-122.84917,TR173
1404030423,FWS.MFR.20140403.DUTCH.01.20140403.042318.4264992547,20,104,757,10.0,40,2.68224,-16.0,7.77777777778,56.0,0.8951333256,10.3674560547,45.6529041193,-10.3470958807,5.1,5.65290411926,9.58489379883,54.8092166307,4.12918,-14.8092166307,41.8775,-122.84917,TR173
1404011341,FWS.MFR.20140401.SMOKE.01.20140401.134123.4023295311,18,16,199,10.0,62,2.2352,19.0,11.1111111111,43.0,2.6802555324,6.14998779297,67.3189550204,24.3189550204,6.13731,5.3189550204,7.68499145508,56.2635321191,3.67716,5.73646788095,41.13333,-123.13333,SWBC1
1403311344,FWS.MFR.20140331.SMOKE.01.20140331.134448.3492935014,18,16,76,4.44444444444,79,3.12928,18.0,7.77777777778,61.0,3.1278221952,3.85112915039,78.0168533894,17.0168533894,11.9931,-0.983146610557,6.99254760742,64.921825801,6.711,14.078174199,41.13333,-123.13333,SWBC1
1403271448,FWS.MFR.20140327.SMOKE.01.20140327.144801.1495989319,19,47,102,9.44444444444,70,2.68224,16.0,10.5555555556,54.0,2.6802555324,8.04943237305,73.7994224622,19.7994224622,5.77882,3.79942246222,9.63231811523,68.6657149749,2.92889,1.33428502511,41.12251,-123.15127,SWBC1
1403250356,FWS.MFR.20140325.METHO.01.20140325.035640.1576437313,35,-125,784,3.33333333333,72,6.7056,40.0,11.1111111111,32.0,9.8361776928,,,,,,2.93520507813,64.6624782503,4.9484,7.33752174966,41.24397,-122.39655,BOLC1
1403250123,FWS.MFR.20140325.SOUTH.01.20140325.012313.332501562,19,194,937,10.0,37,5.36448,16.0,6.11111111111,21.0,13.4115665508,,,,,,8.07763061523,23.5751622296,8.39443,13.4248377704,42.18556,-120.01231,SMFO3
1403200451,FWS.MFR.20140320.SOUTH.01.20140320.045126.1393735862,19,194,699,8.88888888889,27,2.68224,6.0,10.0,21.0,3.1278221952,6.71441040039,34.7407259415,13.7407259415,3.70714,7.74072594147,10.5241027832,26.529419674,4.18449,0.470580325962,42.18556,-120.01231,SMFO3
