date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404041023,FWS.MHX.20140404.BT11_.01.20140404.102333.198989995,14,0,157,25.5555555556,58,7.59968,-4.0,23.3333333333,62.0,3.1278221952,23.9417358398,58.2976998991,-3.70230010086,9.04777,0.297699899141,28.8643737793,46.9921116448,8.5371,11.0078883552,34.98,-76.43611,TS788
1404041257,FWS.MHX.20140404.PETTI.01.20140404.125709.241635761,3,3,63,25.0,54,6.7056,-13.65,20.6,67.65,6.68777772,24.6757751465,54.8611535553,-12.7888464447,7.52967,0.861153555289,23.3443237305,56.7634454079,8.95222,-2.76344540787,34.71667,-77.05,KNJM
1404041356,FWS.MHX.20140404.RAVEN.01.20140404.135616.2881336310,16,9,124,30.0,36,6.7056,17.0,31.1111111111,19.0,4.0229555208,29.4500061035,37.0591951567,18.0591951567,6.7,1.05919515672,29.2043395996,23.4403393906,6.72088,12.5596606094,34.95,-77.23333,HFMN7
1404041324,FWS.MHX.20140404.FRAMF.01.20140404.132457.1945949218,10,0,96,28.8888888889,42,5.36448,7.0,28.8888888889,35.0,6.2607888348,23.9080749512,51.3875802684,16.3875802684,7.10626,9.38758026837,30.2924438477,36.2240375585,5.48484,5.77596244151,35.85472,-75.85111,STCN7
1404041305,FWS.MHX.20140404.MILLI.01.20140404.130533.3436010809,5,17,5,24.4444444444,56,6.7056,-8.0,21.6666666667,64.0,6.2607888348,24.8099914551,54.3207824009,-9.67921759913,7.29348,-1.67921759913,25.0493103027,52.1324661818,8.60833,3.86753381819,34.76667,-76.95,NPTN7
1404041204,FWS.MHX.20140404.NORTH.01.20140404.120409.3475912528,6,-2,146,30.5555555556,35,6.7056,16.0,31.6666666667,19.0,4.9180888464,29.1643920898,36.5255782987,17.5255782987,6.2,1.52557829873,30.1003967285,21.3912815424,8.77274,13.6087184576,35.71833,-76.575,POCN7
1404031247,FWS.MHX.20140403.FARMF.01.20140403.124751.3847970901,10,0,103,21.1111111111,55,2.68224,15.0,25.5555555556,40.0,2.6802555324,17.8573242188,67.1599929217,27.1599929217,3.40989,12.1599929217,21.4185424805,67.1442603691,2.95921,-12.1442603691,35.85472,-75.85111,STCN7
1404031155,FWS.MHX.20140403.SIDDI.01.20140403.115520.3154234078,7,4,65,25.5555555556,40,6.7056,0.69,27.2,39.31,7.20222216,24.1241699219,50.2589965339,10.9489965339,5.31562,10.2589965339,25.9936157227,41.8425957562,4.75306,-1.84259575625,34.91667,-76.8,KNKT
1404031101,FWS.MHX.20140403.C36__.01.20140403.110123.3960889860,13,39,179,26.6666666667,35,6.7056,-0.0,28.8888888889,35.0,3.575388858,24.015802002,54.1707896208,19.1707896208,5.7,19.1707896208,27.1490722656,41.9207608156,5.6494,-6.92076081563,34.60889,-77.34111,CLJN7
1404031141,FWS.MHX.20140403.SHOPR.01.20140403.114114.4150559139,12,-2,199,25.5555555556,32,4.4704,-13.0,25.0,45.0,0.4475666628,25.550012207,41.9266513313,-3.07334866866,3.1,9.92665133134,25.7654663086,46.7087144929,2.59907,-14.7087144929,35.64972,-76.5765,POCN7
1404021304,FWS.MHX.20140402.BULLN.01.20140402.130458.1428543124,18,1,56,26.1111111111,34,4.02336,13.38,29.7,20.62,6.17333328,25.7246032715,35.8393763921,15.2193763921,4.1,1.83937639208,20.8215270996,29.6643151143,4.57033,4.33568488575,35.93333,-76.4,KEDE
1404021042,FWS.MHX.20140402.WHITE.01.20140402.104212.4068929287,2,17,78,25.0,35,6.7056,-14.0,22.2222222222,49.0,4.9180888464,25.1731811523,40.3995616548,-8.60043834523,6.2,5.39956165477,25.3099304199,40.9568662294,6.37746,-5.95686622939,34.76667,-76.91667,NPTN7
1404021050,FWS.MHX.20140402.C36__.01.20140402.105017.3099733352,12,39,190,27.2222222222,30,6.7056,14.0,30.0,16.0,3.575388858,26.3855224609,37.8664528815,21.8664528815,6.2,7.86645288154,27.8970581055,28.8697992543,6.18797,1.13020074574,34.61528,-77.34611,CLJN7
1404021203,FWS.MHX.20140402.C16__.01.20140402.120302.2872838417,4,0,117,28.3333333333,25,6.7056,9.39,29.4,15.61,5.65888884,26.9688354492,34.7948398125,19.1848398125,5.82639,9.79483981249,29.5523010254,21.0259013648,5.58798,3.97409863516,34.66917,-77.41111,KNCA
1404021132,FWS.MHX.20140402.SHOPR.02.20140402.113223.2279187799,12,-2,208,27.7777777778,25,4.4704,8.0,31.6666666667,17.0,4.4705221836,27.2499938965,33.2024277088,16.2024277088,4.6,8.20242770882,30.0234924316,22.3637410582,5.30259,2.63625894179,35.65,-76.58333,POCN7
1404010953,FWS.MHX.20140401.MILLI.01.20140401.095315.1823860667,6,17,8,21.6666666667,30,4.4704,9.0,21.6666666667,21.0,4.0229555208,20.8797546387,37.5908226643,16.5908226643,4.1,7.59082266425,23.6909118652,25.2602744152,5.32974,4.73972558476,34.78,-76.958,NPTN7
1403281201,FWS.MHX.20140328.MILLI.01.20140328.120134.2786174605,6,17,59,20.5555555556,60,6.7056,-3.0,20.5555555556,63.0,6.2607888348,19.9127441406,64.0541011262,1.0541011262,8.2,4.0541011262,22.321496582,61.6977503802,6.55693,-1.69775038023,34.76667,-76.96667,NPTN7
1403271108,FWS.MHX.20140327.BROAD.01.20140327.110859.720365016,7,14,232,12.7777777778,32,4.02336,7.0,11.6666666667,25.0,4.0229555208,12.1932922363,32.3830578618,7.38305786183,4.64725,0.383057861831,12.2779174805,35.3260608541,4.15518,-3.32606085412,34.73333,-76.96667,NPTN7
1403241214,FWS.MHX.20140324.HAYWO.01.20140324.121415.2067354983,14,9,46,9.44444444444,26,6.7056,6.0,12.7777777778,20.0,3.1278221952,8.85,30.0616132412,10.0616132412,5.1,4.06161324123,10.2242370605,25.4036451659,5.16208,0.596354834074,34.8,-77.16667,HFMN7
1403241134,FWS.MHX.20140324.NORTH.01.20140324.113459.2865377364,5,-2,206,7.77777777778,33,4.02336,4.0,8.33333333333,29.0,2.6802555324,7.24999389648,32.7244820043,3.72448200432,4.6,-0.275517995677,8.05764160156,32.4365212626,4.74231,0.563478737355,35.741,-76.57217,POCN7
