date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091410,FWS.MLB.20140409.REEDY.01.20140409.141051.236572452,17,6,15,24.4444444444,32,6.7056,-3.72,23.0,35.72,6.68777772,24.4500061035,32.0077127097,-3.71228729026,6.39141,0.00771270974279,23.094720459,40.6479163669,4.93645,-8.64791636693,28.12833,-81.425,KISM
1404091055,FWS.MLB.20140409.LG01R.01.20140409.105501.3060454702,9,2,185,24.4444444444,31,5.81152,-3.36,23.3,34.36,4.62999996,24.3519836426,30.7955092527,-3.56449074731,5.679,-0.204490747311,23.5519042969,37.6180244096,3.63503,-6.61802440963,28.87161,-81.89274,KLEE
1404091052,FWS.MLB.20140409.UCFBU.01.20140409.105240.3892682464,15,34,188,25.0,30,6.25856,-3.98,23.9,33.98,6.17333328,24.9500061035,30.4338180374,-3.54618196263,6.2,0.433818037374,23.277154541,39.556166795,3.70869,-9.55616679495,28.60264,-81.19228,KORL
1404041056,FWS.MLB.20140404.HALSC.01.20140404.105651.371652252,23,10,184,29.4444444444,43,5.36448,4.2,29.4,38.8,4.11555552,28.85,44.674888175,5.87488817499,5.1,1.67488817499,29.1510864258,43.3009465961,4.56462,-0.300946596068,28.48603,-81.09594,KMCO
1404030910,FWS.MLB.20140403.FWMA_.01.20140403.091054.2895180783,29,0,290,28.8888888889,43,6.7056,-13.07,26.7,56.07,9.25999992,27.8540588379,45.4776536592,-10.5923463408,6.6731,2.47765365915,29.9105773926,46.3314135988,4.77644,-3.33141359876,27.74338,-80.70291,KVRB
1404030921,FWS.MLB.20140403.SAWGR.01.20140403.092125.2579875095,16,3,279,29.4444444444,36,4.4704,-3.93,28.9,39.93,3.08666664,29.5286499023,35.7326986491,-4.19730135086,4.20645,-0.26730135086,29.9889160156,37.7953012667,3.32595,-1.79530126671,28.95639,-81.74361,KLEE
1404030930,FWS.MLB.20140403.FWMA_.01.20140403.093012.1638844189,29,0,270,28.8888888889,43,6.7056,-13.07,26.7,56.07,9.25999992,27.8540588379,45.4776536592,-10.5923463408,6.6731,2.47765365915,29.9105773926,46.3314135988,4.77644,-3.33141359876,27.74338,-80.70291,KVRB
1404031734,FWS.MLB.20140403.TBSF6.01.20140403.173407.1913009803,9,-5,6,28.8888888889,40,4.4704,-2.56,27.8,42.56,4.62999996,27.2627502441,43.7768016675,1.21680166748,5.68468,3.77680166748,28.2781005859,48.2993449308,3.7417,-8.29934493081,29.16639,-81.15583,KDAB
1404030918,FWS.MLB.20140403.LAKEL.01.20140403.091814.2380715159,36,-16,282,30.0,33,4.4704,-12.44,29.0,45.44,4.62999996,29.4417663574,33.4067086367,-12.0332913633,4.1,0.406708636709,29.8282409668,38.205299445,3.36941,-5.20529944503,28.45,-81.76,KISM
1404030926,FWS.MLB.20140403.CHBSF.01.20140403.092658.3320894103,24,4,274,28.8888888889,41,6.7056,-20.21,26.0,61.21,7.20222216,28.2326904297,42.226784512,-18.983215488,5.41573,1.22678451203,28.9892822266,47.5067489958,3.22918,-6.50674899579,28.58729,-81.03353,KTIX
1404020947,FWS.MLB.20140402.KP36F.01.20140402.094748.604320911,16,23,253,29.4444444444,31,4.4704,4.0,30.5555555556,27.0,4.0229555208,29.4500061035,31.0419226308,4.04192263082,4.6,0.0419226308204,30.3079467773,31.6143930041,3.75988,-0.614393004121,27.63277,-81.09877,TT155
1403270946,FWS.MLB.20140327.KP36F.01.20140327.094609.2505877736,15,23,254,25.5555555556,47,5.81152,-7.0,21.1111111111,54.0,3.575388858,23.85,48.2691542334,-5.7308457666,5.7,1.2691542334,21.1509338379,57.2171935708,2.52131,-10.2171935708,27.63956,-81.1035,TT155
1403270953,FWS.MLB.20140327.ALLAP.01.20140327.095350.4284727274,21,0,187,23.8888888889,56,6.7056,17.76,23.0,38.24,7.20222216,22.7499938965,57.2563670971,19.0163670971,6.7,1.25636709709,22.7383361816,52.1754997559,4.64355,3.82450024412,27.1694,-80.4394,KSUA
1403270948,FWS.MLB.20140327.WS07B.01.20140327.094846.531933600,23,15,252,23.8888888889,44,6.25856,-12.56,20.0,56.56,6.68777772,22.7499938965,46.2888964649,-10.2711035351,6.2,2.28889646485,19.5208679199,66.0827541346,3.38164,-22.0827541346,28.71097,-81.48773,KORL
1403260945,FWS.MLB.20140326.CHARL.01.20140326.094517.456915444,24,5,255,17.7777777778,32,7.15264,-18.37,13.0,50.37,10.2888888,16.649987793,31.8080180949,-18.5619819051,7.2,-0.191981905106,15.1454711914,38.7670693479,3.9758,-6.76706934788,28.61001,-81.02604,KTIX
1403260946,FWS.MLB.20140326.RKS05.01.20140326.094657.695439846,23,17,254,17.7777777778,25,6.7056,4.0,17.2222222222,21.0,3.575388858,17.2499938965,25.5547158911,4.55471589106,6.7,0.554715891064,16.8498474121,28.4872446783,3.43694,-3.48724467826,28.80561,-81.44115,TS959
1403230909,FWS.MLB.20140323.SSR36.01.20140323.090942.2816726125,27,2,291,29.4444444444,48,5.36448,-2.94,28.9,50.94,7.20222216,28.85,47.7744405702,-3.16555942983,5.1,-0.225559429833,28.557244873,53.1074380358,4.53088,-5.10743803585,27.83194,-80.60894,KVRB
1403211206,FWS.MLB.20140321.JACKB.01.20140321.120624.267203302,5,1,114,28.3333333333,48,5.81152,-6.4,27.0,54.4,6.68777772,27.2499938965,48.0755268516,-6.32447314837,5.7,0.0755268516256,26.4779907227,56.32921443,5.53406,-8.32921443005,27.29111,-80.89972,KOBE
1403211213,FWS.MLB.20140321.LAKEL.01.20140321.121349.2258918450,33,-22,107,28.3333333333,39,4.02336,-0.68,28.0,39.68,6.17333328,26.649987793,39.2092706977,-0.470729302314,4.1,0.209270697686,27.5080810547,42.6404646298,3.44103,-3.64046462978,28.45,-81.73,KISM
1403210951,FWS.MLB.20140321.JACKB.01.20140321.095123.1114533582,5,1,249,28.3333333333,48,5.81152,-6.4,27.0,54.4,6.68777772,27.2499938965,48.0755268516,-6.32447314837,5.7,0.0755268516256,26.4779907227,56.32921443,5.53406,-8.32921443005,27.29111,-80.89972,KOBE
1403210943,FWS.MLB.20140321.LAKEL.01.20140321.094317.3472577604,33,-22,257,28.3333333333,39,4.02336,-0.68,28.0,39.68,6.17333328,26.649987793,39.2092706977,-0.470729302314,4.1,0.209270697686,27.5080810547,42.6404646298,3.44103,-3.64046462978,28.45,-81.73,KISM
1403150931,FWS.MLB.20140315.KP45_.01.20140315.093147.2700356244,32,17,269,27.2222222222,35,4.02336,2.0,27.7777777778,33.0,3.1278221952,26.649987793,40.0683158221,7.06831582205,3.85671,5.06831582205,25.836114502,44.4220857892,2.63947,-9.4220857892,27.55366,-80.94664,TT155
1403141044,FWS.MLB.20140314.LAKEL.01.20140314.104403.3352365371,33,-17,196,23.8888888889,31,4.4704,-9.92,23.0,40.92,6.68777772,23.85,32.0073081212,-8.91269187876,4.6,1.00730812124,23.5228820801,41.1687739029,3.28299,-10.1687739029,28.45,-81.73,KISM
1403141038,FWS.MLB.20140314.BIGMA.01.20140314.103840.3922983588,18,0,202,22.7777777778,42,6.25856,-5.99,21.7,47.99,6.17333328,22.7019287109,42.9454142031,-5.04458579686,6.06026,0.945414203139,21.3995605469,51.552661278,4.57818,-9.55266127799,28.30278,-80.77621,KCOF
1403130848,FWS.MLB.20140313.3NEOV.01.20140313.084800.738949798,14,9,312,18.8888888889,22,8.9408,-1.85,18.9,23.85,5.65888884,18.8270812988,23.0416685392,-0.80833146079,7.2,1.04166853921,19.1104980469,26.5294967765,4.32477,-4.52949677649,28.69041,-81.1485,KSFB
1403110943,FWS.MLB.20140311.ALLAP.01.20140311.094328.4161903132,22,0,197,27.7777777778,42,4.4704,5.7,27.0,36.3,6.17333328,28.35,41.0911118072,4.79111180722,4.1,-0.908888192781,27.8977294922,44.0464862935,3.60628,-2.04648629351,27.1787,-80.4535,KSUA
1403111337,FWS.MLB.20140311.REEDY.01.20140311.133751.1866524651,18,7,8,27.7777777778,28,3.57632,-3.97,28.0,31.97,4.11555552,28.0530639648,30.026890251,-1.943109749,3.35257,2.026890251,28.0893493652,32.0830917808,2.0997,-4.08309178078,28.12222,-81.41917,KISM
1403081316,FWS.MLB.20140308.UNIT4.01.20140308.131603.901463610,1,3,44,20.5555555556,58,5.81152,-6.0,18.8888888889,64.0,4.4705221836,20.3220458984,59.5369252081,-4.46307479193,4.25694,1.53692520807,17.7395874023,68.627591374,5.04272,-10.627591374,28.6396,-80.71957,MRFF1
1403081242,FWS.MLB.20140308.UNIT4.01.20140308.124205.3269666718,1,3,78,20.5555555556,58,5.36448,-6.0,18.8888888889,64.0,4.4705221836,20.3220458984,59.5369252081,-4.46307479193,4.25694,1.53692520807,17.7395874023,68.627591374,5.04272,-10.627591374,28.6396,-80.71957,MRFF1
1403081019,FWS.MLB.20140308.ARPSP.01.20140308.101943.72925457,7,4,221,22.7777777778,50,4.4704,3.5,22.0,46.5,6.17333328,22.3581787109,50.7700440093,4.27004400928,4.6,0.770044009283,20.8832336426,63.0271842156,4.18447,-13.0271842156,27.11562,-80.21208,KSUA
1403051034,FWS.MLB.20140305.KP36S.01.20140305.103440.2787771789,16,25,266,27.7777777778,46,2.2352,10.0,29.4444444444,36.0,3.575388858,26.649987793,50.6307207598,14.6307207598,2.18859,4.63072075981,28.1521850586,49.3413741463,2.93724,-3.34137414628,27.63277,-81.09877,TT155
1403041037,FWS.MLB.20140304.RKS05.01.20140304.103753.3508779355,18,0,263,23.8888888889,56,5.81152,-8.14,24.4,64.14,6.17333328,23.6667114258,55.7271200596,-8.41287994042,5.1,-0.272879940418,23.6794067383,65.0361655617,4.65282,-9.03616556166,28.80542,-81.43914,KSFB
1402251248,FWS.MLB.20140225.LAKEL.01.20140225.124810.3062267406,33,-17,132,26.6666666667,42,3.12928,-5.88,27.0,47.88,4.11555552,25.550012207,43.6166994409,-4.26330055909,3.6,1.61669944091,26.6530395508,49.4989935149,2.96162,-7.49899351489,28.45,-81.73,KISM
1402240954,FWS.MLB.20140224.LAKEL.01.20140224.095426.450779644,35,-13,306,26.6666666667,60,3.12928,-1.44,26.0,61.44,4.11555552,24.9500061035,60.049143814,-1.39085618599,3.1,0.0491438140057,23.7877746582,73.3312107039,2.77504,-13.3312107039,28.45587,-81.7489,KISM
1402210953,FWS.MLB.20140221.ONPMI.01.20140221.095334.793003358,30,2,292,28.3333333333,53,6.25856,-11.86,27.2,64.86,8.23111104,27.7499938965,54.5874986463,-10.2725013537,5.1,1.58749864631,25.5973449707,75.8650569982,5.54104,-22.8650569982,28.55538,-81.64391,KORL
1402211458,FWS.MLB.20140221.BAYLA.01.20140221.145805.3180466582,35,-2,2,28.3333333333,51,6.7056,-14.62,27.0,65.62,7.20222216,27.7499938965,58.4812121645,-7.13878783549,4.57036,7.48121216451,26.1067749023,73.1760197924,3.99229,-22.1760197924,28.48,-81.939,KZPH
