date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403161811,FWS.MLB.20140316.STUAR.01.20140316.181123.3596705565,6,1,22,28.8888888889,50,9.83488,17.75,28.0,32.25,9.25999992,27.29140625,52.3038510738,20.0538510738,9.8,2.3038510738,27.6769042969,51.882550444,7.01251,-1.88255044396,27.13,-80.25,KSUA
1403131420,FWS.MLB.20140313.PRATT.02.20140313.142010.1806810835,11,2,11,21.1111111111,36,7.59968,1.75,18.0,34.25,7.20222216,19.9500061035,37.3480983977,3.09809839767,8.81101,1.34809839767,19.1696716309,48.7078304337,4.65039,-12.7078304337,27.08371,-80.25577,KSUA
1309031304,FWS.MLB.20130903.PALMP.01.20130903.130453.1378213491790,13,18,24,33.8888888889,47,3.57632,-22.98,30.0,69.98,5.1444444,33.85,47.7797073707,-22.2002926293,2.6,0.779707370681,31.4081359863,58.8574426035,2.862,-11.8574426035,28.3992,-81.48494,KISM
1307121138,FWS.MLB.20130712.SSR90.01.20130712.113815.1373629095076,19,3,32,32.7777777778,57,4.4704,-8.19,31.7,65.19,6.68777772,31.3245483398,56.5982233749,-8.59177662505,4.1736,-0.401776625055,31.5596252441,62.5381615055,5.5973,-5.5381615055,27.77,-80.57,KVRB
1307121519,FWS.MLB.20130712.REDSC.01.20130712.151917.1373642357366,17,-1,23,31.1111111111,61,4.4704,-5.25,30.0,66.25,5.1444444,30.3926635742,61.9209612107,-4.32903878933,4.42332,0.920961210674,28.8336120605,65.348588478,2.4052,-4.348588478,28.9375,-80.82972,KEVB
1305170827,FWS.MLB.20130517.SR923.01.20130517.082721.1368779241408,24,3,30,29.4444444444,47,5.81152,-9.0,28.8888888889,56.0,5.813222172,28.85,47.8674923459,-8.13250765415,5.35832,0.867492345853,27.3212219238,64.7137564943,5.79159,-17.7137564943,28.79815,-80.90132,MRFF1
1305170813,FWS.MLB.20130517.SANDT.01.20130517.081322.1368778402231,12,4,21,29.4444444444,51,5.81152,-3.4,28.0,54.4,8.23111104,28.779473877,51.4218508863,-2.97814911372,5.67227,0.421850886281,30.0076843262,53.3837062744,6.65592,-2.3837062744,28.40628,-80.76328,KTIX
1305100948,FWS.MLB.20130510.I95SB.01.20130510.094830.1368179309992,6,3,15,30.5555555556,48,6.7056,-3.36,29.4,51.36,7.20222216,29.4829345703,49.3780246688,-1.98197533124,6.16708,1.37802466876,30.1815124512,61.9401049545,6.13133,-13.9401049545,28.1204,-80.7079,KMLB
1305090845,FWS.MLB.20130509.I95SB.01.20130509.084530.1368089130576,6,3,14,28.3333333333,43,5.36448,-9.29,26.7,52.29,5.1444444,28.3829284668,45.6451554746,-6.64484452543,4.95826,2.64515547457,27.5648742676,60.9194450072,4.59621,-17.9194450072,28.1204,-80.7079,KMLB
1304141533,FWS.MLB.20130414.MM128.04.20130414.153358.1365953638053,10,9,25,27.2222222222,54,6.25856,-14.66,26.1,68.66,7.7166666,27.1575561523,54.7225158319,-13.9374841681,5.1,0.722515831868,26.3912597656,67.1188218056,4.14965,-13.1188218056,29.12639,-81.14667,KDAB
1304121052,FWS.MLB.20130412.I4WF_.01.20130412.105203.1365763922842,10,0,18,31.1111111111,53,7.15264,-4.09,29.4,57.09,10.2888888,29.4500061035,52.7697517163,-4.32024828372,7.22467,-0.230248283722,29.2360168457,61.7258045164,6.58679,-8.72580451638,29.12194,-81.1425,KDAB
