date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091329,FWS.MOB.20140409.703E_.01.20140409.132943.2176641624,17,-21,4,21.6666666667,38,5.36448,16.76,22.6,21.24,8.23111104,21.149987793,37.8011953762,16.5611953762,6.53624,-0.198804623791,21.9354492188,30.1238729362,4.11545,7.87612706377,30.47861,-86.85111,KHRT
1404081217,FWS.MOB.20140408.DESOT.01.20140408.121709.2028867840,15,22,163,20.0,50,4.4704,-10.0,16.6666666667,60.0,4.4705221836,20.550012207,45.4690302004,-14.5309697996,7.2,-4.53096979958,16.090020752,54.7931522087,3.71988,-4.79315220866,31.175,-89.01667,FRGM6
1404041128,FWS.MOB.20140404.COMPA.01.20140404.112818.356555530,14,7,92,27.7777777778,60,4.91744,-7.0,25.0,67.0,4.0229555208,25.307824707,61.8441300933,-5.15586990673,6.2,1.84413009327,22.4109436035,71.528038681,1.25359,-11.528038681,31.01,-86.67,OPNA1
1404041128,FWS.MOB.20140404.COMPA.01.20140404.112827.2031511107,14,7,92,27.7777777778,60,5.36448,-7.0,25.0,67.0,4.0229555208,25.307824707,61.8441300933,-5.15586990673,6.2,1.84413009327,22.4109436035,71.528038681,1.25359,-11.528038681,31.01,-86.67,OPNA1
1404041208,FWS.MOB.20140404.KENNE.01.20140404.120837.2423763039,7,-21,12,23.3333333333,81,6.25856,20.25,24.0,60.75,6.68777772,22.1181274414,82.7527262604,22.0027262604,6.7,1.75272626041,24.3926330566,74.7049855901,4.08836,6.29501440993,30.4725,-86.73028,KHRT
1404031350,FWS.MOB.20140403.CHICK.01.20140403.135058.4178947219,21,18,70,27.2222222222,57,5.81152,14.0,28.8888888889,43.0,4.9180888464,26.149987793,54.6523360911,11.6523360911,8.2,-2.34766390886,27.0366149902,45.5520011837,7.26862,11.4479988163,31.49833,-88.66806,LAUM6
1404031214,FWS.MOB.20140403.PLDO_.01.20140403.121430.3760184319,25,8,21,28.3333333333,50,6.25856,-7.96,25.6,57.96,9.77444436,27.062310791,47.5205881836,-10.4394118164,7.7,-2.47941181644,25.2929321289,57.8062675437,5.1359,-7.80626754369,30.88389,-86.82417,KNSE
1404021233,FWS.MOB.20140402.CPT41.01.20140402.123326.3461898051,9,8,147,26.1111111111,57,5.36448,11.0,28.3333333333,46.0,4.0229555208,24.9500061035,59.7530425305,13.7530425305,6.2,2.75304253049,27.8979736328,45.2157472406,4.90764,11.7842527594,31.46944,-88.81667,LAUM6
1404021139,FWS.MOB.20140402.COMPA.01.20140402.113929.1355084368,0,7,81,28.3333333333,41,5.36448,-6.0,27.7777777778,47.0,3.575388858,28.35,38.249052591,-8.75094740897,6.2,-2.75094740897,27.129083252,49.5104410093,3.57376,-8.51044100925,31.09,-86.54,OPNA1
1404021249,FWS.MOB.20140402.COMPA.02.20140402.124942.963128396,14,7,21,28.3333333333,42,5.36448,-5.0,27.7777777778,47.0,3.575388858,27.7499938965,41.1887991136,-5.81120088638,6.2,-0.81120088638,26.6927429199,51.6823118796,3.12026,-9.68231187963,31.01,-86.67,OPNA1
