date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1305300840,FWS.MOB.20130530.SR4HA.01.20130530.084026.1369903226387,20,29,24,31.6666666667,54,5.81152,13.28,31.7,40.72,9.25999992,31.149987793,47.7073398152,6.98733981519,6.7,-6.29266018481,30.9094787598,45.9449744338,5.8386,8.05502556623,30.9086,-87.0369,KNSE
1305300837,FWS.MOB.20130530.GARCO.01.20130530.083735.1369903055099,13,-3,19,28.8888888889,65,7.15264,-1.0,30.0,66.0,5.3656555092,28.5298095703,64.2469791442,-1.75302085579,9.17727,-0.75302085579,27.1187683105,67.8112581169,9.22781,-2.81125811694,30.4784,-87.0792,TR992
1305161858,FWS.MOB.20130516.SR291.01.20130516.185838.1368730718662,6,0,12,26.1111111111,68,5.81152,-4.0,26.6666666667,72.0,3.575388858,26.0270324707,67.1593416738,-4.84065832619,6.69904,-0.840658326189,,,,,30.39,-87.07,TR992
1303311150,FWS.MOB.20130331.UNNAM.01.20130331.115055.1364730655784,18,-26,2,23.8888888889,68,5.81152,-7.38,23.1,75.38,6.17333328,23.2859436035,68.9096310901,-6.47036890993,6.2,0.909631090072,25.0934692383,63.1839624365,5.13451,4.81603756352,30.51,-86.84,KHRT
1303311417,FWS.MOB.20130331.SR4AN.01.20130331.141743.1364739463138,22,13,32,25.5555555556,57,4.02336,9.98,26.1,47.02,8.23111104,26.149987793,52.1427474052,5.12274740522,5.7,-4.85725259478,24.6207519531,56.1006515239,5.77661,0.899348476071,30.855,-86.8448,KNSE
1303301532,FWS.MOB.20130330.SR4AN.01.20130330.153233.1364657552837,22,11,21,24.4444444444,40,4.02336,4.27,23.9,35.73,6.68777772,24.9500061035,40.2510004703,4.52100047031,5.1,0.251000470314,22.7727294922,47.713887717,5.43774,-7.71388771704,30.855,-86.8448,KNSE
1303061313,FWS.MOB.20130306.JACKS.01.20130306.131317.1362575452992,15,-27,11,13.8888888889,33,6.7056,-2.88,15.3,35.88,10.2888888,14.9500061035,31.6913818164,-4.18861818364,7.67806,-1.30861818364,15.0224853516,31.9545641182,7.26176,1.04543588178,30.49,-86.82,KHRT
1209261159,FWS.MOB.20120926.C56SI.01.20120926.115920.1348660760546,16,15,7,31.1111111111,48,2.2352,3.0,31.6666666667,45.0,3.575388858,29.9500061035,51.5006843409,6.50068434088,2.91702,3.50068434088,30.0490661621,53.3175918103,4.47445,-5.31759181026,31.0017,-86.6868,OPNA1
1206281150,FWS.MOB.20120628.BLUEM.01.20120628.115052.061106559,19,16,6,36.1111111111,29,3.12928,1.0,36.6666666667,28.0,1.7902666512,34.977166748,28.2417066972,0.241706697218,2.1,-0.758293302782,33.4445129395,31.8133679436,1.80389,-2.81336794363,31.07972,-86.7525,OPNA1
1206271156,FWS.MOB.20120627.BLUEM.01.20120627.115629.806774404,20,16,11,35.5555555556,25,3.12928,-4.0,34.4444444444,29.0,2.6802555324,,,,,,32.074609375,31.1860854977,3.69918,-6.18608549768,31.02975,-86.75265,OPNA1
1206261215,FWS.MOB.20120626.BLUEM.01.20120626.121525.995095000,20,16,26,36.1111111111,43,7.59968,3.0,35.0,40.0,4.9180888464,34.9500061035,41.0775540794,1.07755407944,10.7741,-1.92244592056,33.0501037598,43.7568359869,4.68612,-0.756835986917,31.02975,-86.75265,OPNA1
