date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1309280959,FWS.MQT.20130928.OAKSA.01.20130928.095951.3722600431,14,-41,121,22.7777777778,50,6.7056,1.0,21.6666666667,49.0,6.2607888348,22.2499938965,49.4419106311,0.441910631068,6.47772,-0.558089368932,23.3665710449,45.8502457082,6.37703,4.14975429183,46.25861,-84.91778,RACM4
1309271020,FWS.MQT.20130927.OAKSA.01.20130927.102051.4163874600,14,-41,100,23.3333333333,32,4.4704,-3.0,23.8888888889,35.0,4.0229555208,21.649987793,38.5226633052,3.52266330522,3.1,6.52266330522,24.175012207,38.5596006821,5.95734,-6.55960068209,46.25861,-84.91778,RACM4
1309261002,FWS.MQT.20130926.OAKSA.01.20130926.100240.3818166300,14,-41,478,21.1111111111,38,4.4704,12.0,22.7777777778,26.0,3.1278221952,20.550012207,41.4232863327,15.4232863327,3.1,3.4232863327,22.2844787598,24.5031957852,3.60822,13.4968042148,46.25861,-84.91778,RACM4
1309171122,FWS.MQT.20130917.REDOA.02.20130917.112255.1379416973125,14,-43,278,17.7777777778,46,4.4704,2.0,17.2222222222,44.0,4.4705221836,17.2499938965,46.096541238,2.096541238,3.6,0.0965412380009,17.2260681152,48.3465890188,3.90771,-2.34658901876,46.25847,-84.91625,RACM4
1309041535,FWS.MQT.20130904.LBDWA.01.20130904.153536.1378308932931,1,1,29,17.7777777778,40,4.4704,-8.0,20.0,48.0,3.1278221952,16.3822570801,41.7503409937,-6.24965900627,3.88287,1.75034099373,19.3848205566,50.431459788,3.43061,-10.431459788,46.28308,-89.172,WMTM4
1307171352,FWS.MQT.20130717.M2TOT.01.20130717.135230.1374069150688,6,62,8,31.6666666667,57,4.4704,12.0,33.3333333333,45.0,3.575388858,30.3003173828,56.5573307387,11.5573307387,4.57905,-0.442669261265,33.7925048828,43.8302804975,5.36042,13.1697195025,46.2327,-86.0218,SNYM4
1307161308,FWS.MQT.20130716.DAY2M.01.20130716.130819.1373980099416,6,62,2,30.5555555556,58,4.91744,3.0,32.2222222222,55.0,6.7032110532,30.934564209,56.123557125,1.12355712498,4.6,-1.87644287502,33.0610290527,56.7976109576,6.06399,1.20238904235,46.2327,-86.0218,SNYM4
1307151148,FWS.MQT.20130715.M2TOT.01.20130715.114827.1373888907626,6,62,222,30.0,50,4.4704,5.0,32.7777777778,45.0,5.813222172,30.934564209,45.834959364,0.834959364028,3.1,-4.16504063597,32.3337036133,43.1565062027,5.31016,6.84349379731,46.2327,-86.0218,SNYM4
1307121147,FWS.MQT.20130712.M2TOT.01.20130712.114751.1373629670992,6,62,193,27.2222222222,35,6.25856,-9.0,26.6666666667,44.0,5.813222172,27.4793640137,33.7228899109,-10.2771100891,7.25696,-1.27711008906,27.4667907715,41.0523760145,5.16206,-6.0523760145,46.2327,-86.0218,SNYM4
1307041202,FWS.MQT.20130704.KINGS.01.20130704.120238.1372939358083,34,-39,3,25.0,55,4.4704,4.0,26.6666666667,51.0,2.6802555324,22.431817627,61.6822792725,10.6822792725,3.97013,6.68227927253,23.3839050293,48.8547065508,3.10412,6.14529344916,46.55209,-86.20428,PRKM4
1307031127,FWS.MQT.20130703.BLUEB.02.20130703.112759.1372850879158,23,18,273,25.5555555556,33,5.36448,10.0,26.6666666667,23.0,3.575388858,25.0440917969,34.684818605,11.684818605,2.17575,1.68481860499,25.8955322266,19.1970695757,3.41315,13.8029304243,46.44593,-85.9904,SNYM4
1306190958,FWS.MQT.20130619.BISCU.01.20130619.095857.1371635937695,24,-36,122,22.7777777778,29,4.91744,2.0,22.2222222222,27.0,5.813222172,21.6424194336,31.3262412411,4.3262412411,3.96899,2.3262412411,21.729119873,27.881610215,5.01524,1.11838978503,46.19889,-84.82167,RYDM4
1306151116,FWS.MQT.20130615.RIFLE.01.20130615.111600.1371294960232,3,34,44,23.3333333333,35,4.4704,2.0,22.2222222222,33.0,5.3656555092,21.6780334473,30.1877676226,-2.81223237738,3.92765,-4.81223237738,22.1789794922,32.291708321,3.20856,2.70829167899,46.34056,-84.84917,RACM4
1306140957,FWS.MQT.20130614.RIFLE.01.20130614.095733.1371203852954,3,34,123,22.7777777778,20,4.4704,-1.0,20.5555555556,21.0,3.575388858,19.8864990234,25.3269110903,4.32691109035,3.1,5.32691109035,19.9723449707,23.4807697064,2.27661,-3.48076970644,46.34056,-84.84917,RACM4
1306141022,FWS.MQT.20130614.MEGAM.01.20130614.102211.1371205331660,0,3,338,21.1111111111,22,4.4704,-4.0,23.3333333333,26.0,3.1278221952,21.1599975586,23.9946395491,-2.00536045087,3.1,1.99463954913,21.2898803711,25.5422642455,2.30318,-3.54226424546,46.1562,-85.2615,REXM4
1306130951,FWS.MQT.20130613.RIFLE.01.20130613.095147.1371117107032,3,34,129,20.0,48,6.25856,-10.0,19.4444444444,58.0,5.813222172,20.2932678223,42.8595816089,-15.1404183911,6.2,-5.14041839106,19.9374023438,58.7104688562,5.46668,-10.7104688562,46.34056,-84.84917,RACM4
1306121013,FWS.MQT.20130612.RIFLE.01.20130612.101326.1371032006171,3,34,287,24.4444444444,44,4.4704,7.0,25.5555555556,37.0,3.1278221952,22.2237182617,52.9835770631,15.9835770631,2.1,8.98357706312,23.7834716797,42.1493005851,4.36171,1.85069941492,46.34056,-84.84917,RACM4
1306040859,FWS.MQT.20130604.BIGPI.01.20130604.085902.1370336342604,19,2,481,18.3333333333,30,4.02336,-3.05,14.0,33.05,4.62999996,17.7499938965,31.4865426578,-1.56345734219,1.0,1.48654265781,19.9163757324,24.3796133167,2.64208,5.62038668327,46.144,-86.24039,KISQ
