date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404030927,FWS.MRX.20140403.NORTH.01.20140403.092707.1154770242,0,215,333,24.4444444444,42,11.176,1.0,23.3333333333,41.0,1.7902666512,23.9777770996,47.0840745875,6.08407458751,6.02146,5.08407458751,25.2520080566,39.3284781015,6.59613,2.67152189848,37.15167,-82.64444,TS984
1404030959,FWS.MRX.20140403.BELCO.01.20140403.095919.2494029727,4,-15,361,24.4444444444,42,4.4704,-0.0,26.6666666667,42.0,3.575388858,24.4551635742,41.7437978361,-0.256202163912,5.33164,-0.256202163912,27.7109008789,35.0975326195,3.76865,6.90246738051,35.94389,-82.83028,PGVT1
1404021429,FWS.MRX.20140402.JACKS.01.20140402.142900.1747783129,34,66,151,27.7777777778,29,4.02336,5.07,26.1,23.93,4.62999996,23.3763671875,36.4016823363,12.4716823363,4.67184,7.40168233628,26.1000915527,35.1605953274,2.30199,-6.16059532735,36.18503,-82.52672,KTRI
1404021541,FWS.MRX.20140402.LYNNH.02.20140402.154139.395596364,9,286,19,27.2222222222,23,3.57632,-0.0,28.8888888889,23.0,2.2326888696,24.943963623,35.9042524288,12.9042524288,3.1,12.9042524288,26.3231750488,21.2397571414,4.1075,1.76024285859,35.64228,-83.91489,IGGT1
1404021640,FWS.MRX.20140402.LYNNH.01.20140331.164009.604237717,9,286,100,21.1111111111,25,1.34112,2.0,28.8888888889,23.0,2.2326888696,24.943963623,35.9042524288,12.9042524288,3.1,10.9042524288,26.3231750488,21.2397571414,4.1075,3.76024285859,35.64228,-83.91489,IGGT1
1404020927,FWS.MRX.20140402.NORTH.02.20140402.092735.4020637198,0,215,273,21.6666666667,39,3.57632,5.0,24.4444444444,34.0,2.6802555324,23.175592041,39.1404522927,5.1404522927,4.86033,0.140452292701,24.3560119629,33.1383926553,3.8595,5.86160734472,37.15167,-82.64444,TS984
1404021749,FWS.MRX.20140402.NORTH.03.20140402.174914.2695933722,0,215,11,25.0,33,4.4704,-1.0,24.4444444444,34.0,2.6802555324,23.175592041,39.1404522927,5.1404522927,4.86033,6.1404522927,24.3560119629,33.1383926553,3.8595,-0.138392655279,37.15167,-82.64444,TS984
1404021703,FWS.MRX.20140402.LYNNH.01.20140331.170346.3384938996,9,286,123,21.1111111111,25,1.34112,2.0,28.8888888889,23.0,2.2326888696,24.943963623,35.9042524288,12.9042524288,3.1,10.9042524288,26.3231750488,21.2397571414,4.1075,3.76024285859,35.64228,-83.91489,IGGT1
1404020921,FWS.MRX.20140402.MARTI.01.20140402.092138.3737746941,8,64,369,22.2222222222,38,3.57632,4.0,27.2222222222,34.0,3.1278221952,21.7998291016,38.247795281,4.24779528097,4.44875,0.247795280967,24.4554992676,35.9969360563,2.37491,2.0030639437,36.12861,-82.37444,TS834
1404021129,FWS.MRX.20140402.STONE.01.20140402.112918.2257869047,6,54,241,22.2222222222,38,3.57632,4.0,27.2222222222,34.0,3.1278221952,22.3137756348,36.3479636546,2.34796365465,4.1,-1.65203634535,23.9272705078,39.2717876898,2.70213,-1.27178768984,36.18415,-82.30858,TS834
1404011240,FWS.MRX.20140401.LYNNH.03.20140401.124049.464154513,9,286,5,23.8888888889,30,3.57632,10.0,27.2222222222,20.0,2.6802555324,23.7928100586,29.3226261332,9.3226261332,3.6,-0.677373866801,24.8034606934,23.9102508417,3.88506,6.08974915829,35.64228,-83.91489,IGGT1
1404011720,FWS.MRX.20140401.LYNNH.02.20140331.172025.3023889576,9,286,140,21.1111111111,25,1.34112,5.0,27.2222222222,20.0,2.6802555324,23.7928100586,29.3226261332,9.3226261332,3.6,4.3226261332,24.8034606934,23.9102508417,3.88506,1.08974915829,35.64228,-83.91489,IGGT1
1404011858,FWS.MRX.20140401.FLATB.01.20140331.185847.3842538213,19,-167,238,23.8888888889,25,3.12928,10.0,26.1111111111,15.0,4.0229555208,23.859185791,29.6789746657,14.6789746657,3.6,4.67897466568,26.7935119629,19.0603125104,2.46243,5.93968748959,35.20444,-84.27611,TSQN7
1404011040,FWS.MRX.20140401.AIRST.01.20140401.104001.2199544610,17,-184,320,22.2222222222,30,3.57632,3.26,24.0,26.74,6.17333328,21.6285949707,30.7812484102,4.0412484102,4.6,0.781248410198,23.8816772461,26.9226353882,4.4711,3.07736461178,36.32094,-81.98669,K0A9
1403311100,FWS.MRX.20140331.NATUR.01.20140331.110040.3172994718,32,228,240,18.8888888889,27,9.38784,9.0,18.8888888889,18.0,2.2326888696,18.3523498535,27.7757609906,9.77576099055,1.5,0.775760990551,21.754876709,18.9737699723,1.01427,8.02623002768,36.71306,-82.74056,WSEV2
1403221238,FWS.MRX.20140322.NORTH.01.20140322.123845.2440132932,0,215,262,15.0,34,2.68224,-1.0,15.5555555556,35.0,2.2326888696,15.9156433105,40.9141772011,5.91417720106,3.6,6.91417720106,17.3291564941,34.507285815,3.52234,-0.507285815041,37.15167,-82.64444,TS984
1403220936,FWS.MRX.20140322.ATV__.01.20140322.093607.1339508489,3,103,324,16.6666666667,35,6.25856,5.0,21.1111111111,30.0,3.1278221952,15.7752319336,60.186525427,30.186525427,4.99762,25.186525427,17.2721496582,38.0233405252,3.59522,-3.02334052522,36.23167,-82.39111,TS834
1403211336,FWS.MRX.20140321.LYNNH.02.20140321.133607.3848220960,9,286,36,17.7777777778,25,4.02336,10.0,21.1111111111,15.0,2.2326888696,19.7142578125,23.2055717882,8.20557178817,5.1,-1.79442821183,18.102166748,18.6026118775,3.7607,6.39738812254,35.64228,-83.91489,IGGT1
1403211132,FWS.MRX.20140321.NORTH.01.20140320.113233.2640172660,0,215,148,12.7777777778,30,5.36448,16.0,18.3333333333,14.0,1.3426999884,19.0799194336,20.2859253513,6.28592535126,5.85671,-9.71407464874,17.8183227539,14.6280106472,4.67851,15.3719893528,37.15167,-82.64444,TS984
1403210947,FWS.MRX.20140321.FLATW.01.20140321.094720.3557879110,17,-43,373,18.8888888889,23,4.4704,12.97,19.2,10.03,6.68777772,17.8493896484,22.8537746512,12.8237746512,5.7,-0.146225348783,19.3180175781,16.3990089434,3.94187,6.60099105661,36.5255,-82.02606,KVJI
1403210921,FWS.MRX.20140321.NORTH.01.20140321.092156.2788156415,0,215,279,17.7777777778,22,5.36448,8.0,18.3333333333,14.0,1.3426999884,19.0799194336,20.2859253513,6.28592535126,5.85671,-1.71407464874,17.8183227539,14.6280106472,4.67851,7.37198935277,37.15167,-82.64444,TS984
1403211104,FWS.MRX.20140321.MARYS.01.20140321.110447.458008975,11,-92,206,21.1111111111,24,4.02336,3.0,18.8888888889,21.0,3.575388858,19.5590148926,25.0837632197,4.08376321965,5.1,1.08376321965,20.5042053223,18.9061383399,2.2694,5.09386166014,35.14972,-84.46417,TS810
1403210945,FWS.MRX.20140321.ATV__.01.20140321.094547.1028144905,3,103,315,17.2222222222,24,19.22272,10.0,22.2222222222,14.0,2.6802555324,16.9980712891,23.950986927,9.95098692698,4.99762,-0.0490130730241,17.5987487793,24.4760709238,2.55941,-0.476070923845,36.23167,-82.39111,TS834
1403211232,FWS.MRX.20140321.NORTH.01.20140320.123227.1744268402,0,215,88,12.7777777778,30,5.36448,16.0,18.3333333333,14.0,1.3426999884,19.0799194336,20.2859253513,6.28592535126,5.85671,-9.71407464874,17.8183227539,14.6280106472,4.67851,15.3719893528,37.15167,-82.64444,TS984
1403201000,FWS.MRX.20140320.ATV__.01.20140320.100023.2950834244,3,103,300,12.7777777778,30,17.8816,6.0,15.5555555556,24.0,4.0229555208,12.4654174805,32.0733327739,8.07333277387,5.7,2.07333277387,11.273614502,28.0406880084,3.65701,1.95931199165,36.23167,-82.39111,TS834
1403201007,FWS.MRX.20140320.FLATW.01.20140320.100755.1506938457,17,-43,353,13.3333333333,30,5.36448,17.62,14.2,12.38,7.7166666,12.7499938965,31.6955870182,19.3155870182,6.2,1.69558701818,13.3474975586,22.6050350804,4.85932,7.3949649196,36.5255,-82.02606,KVJI
1403200953,FWS.MRX.20140320.RUTTE.01.20140320.095349.2839307823,46,-140,367,11.6666666667,30,14.30528,10.44,10.8,19.56,9.77444436,11.6987243652,33.3679130648,13.8079130648,6.7,3.3679130648,9.6712890625,22.0321409879,5.24659,7.96785901209,36.57139,-81.90767,KGEV
1403201223,FWS.MRX.20140320.RUTTE.02.20140320.122348.1544354168,46,-140,157,11.6666666667,33,14.30528,13.44,10.8,19.56,9.77444436,11.6987243652,33.3679130648,13.8079130648,6.7,0.367913064804,9.6712890625,22.0321409879,5.24659,10.9678590121,36.57139,-81.90767,KGEV
1403151036,FWS.MRX.20140315.RUTTE.01.20140315.103606.1215918476,46,-140,324,13.3333333333,36,11.176,17.89,15.2,18.11,10.80333324,14.3319641113,32.9916430702,14.8816430702,5.27304,-3.00835692978,14.5216918945,23.10675413,5.98251,12.89324587,36.57139,-81.90767,KGEV
1403141131,FWS.MRX.20140314.RUTTE.01.20140314.113141.1601990756,46,-140,269,12.7777777778,25,13.4112,7.59,12.0,17.41,4.11555552,13.183190918,26.7878570624,9.37785706243,5.91348,1.78785706243,13.0262390137,23.5908426713,4.12815,1.40915732868,36.57139,-81.90767,KGEV
1403141232,FWS.MRX.20140314.LITTL.01.20140314.123227.1708066978,11,-20,148,17.2222222222,27,5.81152,7.0,16.1111111111,20.0,6.2607888348,16.486505127,29.2155080359,9.21550803586,6.2,2.21550803586,18.381036377,23.1338661981,3.56122,3.86613380188,35.14583,-84.46389,TS810
1403141118,FWS.MRX.20140314.T44TE.01.20140314.111826.162572578,20,-20,282,16.6666666667,25,6.25856,8.0,17.2222222222,17.0,3.1278221952,16.4149414063,31.5222237143,14.5222237143,6.36631,6.52222371427,17.4141174316,21.2867714713,3.9059,3.7132285287,35.28581,-84.32111,CCKT1
1403131109,FWS.MRX.20140313.T44TE.01.20140313.110947.2287415093,20,-20,16,8.33333333333,21,4.4704,-2.0,6.66666666667,23.0,2.2326888696,7.58132324219,32.5560909745,9.55609097453,6.2,11.5560909745,7.71618041992,26.8677900672,3.32806,-5.86779006722,35.28581,-84.32125,CCKT1
1403131505,FWS.MRX.20140313.OCOEE.01.20140313.150520.1308858833,6,127,55,10.0,23,5.36448,-3.0,7.77777777778,26.0,3.575388858,7.90969238281,26.6022620987,0.602262098743,6.19395,3.60226209874,9.93779907227,26.2093597502,3.39535,-3.20935975021,35.09944,-84.60944,TS810
1403111215,FWS.MRX.20140311.NORTH.01.20140311.121557.3486615771,0,218,165,20.0,37,3.57632,11.0,19.4444444444,26.0,2.6802555324,19.4011169434,41.4413268376,15.4413268376,5.45203,4.44132683758,21.3014770508,27.1487941834,4.84815,9.85120581659,37.14944,-82.65167,TS984
1403111243,FWS.MRX.20140311.T32T3.01.20140311.124301.434842671,8,-121,197,20.5555555556,40,3.57632,12.0,23.3333333333,28.0,2.2326888696,20.7524963379,38.489704588,10.489704588,5.1,-1.51029541204,21.5842529297,34.5114862905,2.46266,5.48851370952,35.30542,-84.13708,CCKT1
1403111123,FWS.MRX.20140311.LITTL.01.20140311.112320.1836214355,11,-20,277,21.6666666667,44,3.12928,10.0,22.7777777778,34.0,3.1278221952,19.9948669434,43.8241011955,9.8241011955,4.76348,-0.175898804501,23.3848815918,35.4207717949,2.54554,8.57922820506,35.14583,-84.46389,TS810
1403101158,FWS.MRX.20140310.FLATW.01.20140310.115829.2471939909,17,-43,242,18.3333333333,31,5.36448,-9.74,16.5,40.74,8.74555548,17.4430480957,36.1063652558,-4.63363474418,6.7,5.10636525582,16.3507629395,46.0783609718,4.42069,-15.0783609718,36.5255,-82.02606,KVJI
1403101128,FWS.MRX.20140310.ELBOW.01.20140310.112830.2083322762,20,-160,152,19.4444444444,35,4.4704,5.0,20.0,30.0,4.9180888464,19.0046020508,37.7661273497,7.76612734968,5.7,2.76612734968,20.0291992188,36.8893017863,2.42943,-1.88930178627,35.22028,-84.25611,TSQN7
1403101118,FWS.MRX.20140310.T45EA.01.20140310.111820.825396674,20,2,282,19.4444444444,35,4.4704,1.0,20.0,34.0,2.2326888696,19.7813354492,37.5387061819,3.5387061819,5.192,2.5387061819,20.3589416504,35.9006341243,3.66591,-0.90063412432,35.28581,-84.32125,CCKT1
1403101143,FWS.MRX.20140310.RUTTE.01.20140310.114306.598969861,46,-140,257,15.5555555556,37,6.7056,11.59,15.6,25.41,8.23111104,16.4852539063,36.320995499,10.910995499,7.05768,-0.679004500954,13.1864868164,41.4052052679,6.41148,-4.40520526789,36.57139,-81.90767,KGEV
1403101135,FWS.MRX.20140310.T32MA.01.20140310.113503.850368113,8,-121,145,18.8888888889,36,4.4704,2.0,20.0,34.0,2.2326888696,18.7883239746,37.4649137209,3.46491372094,5.7,1.46491372094,18.8962036133,40.0959417788,2.44032,-4.0959417788,35.30542,-84.13708,CCKT1
1403091734,FWS.MRX.20140309.UNICI.01.20140309.173406.3353224740,22,-165,16,18.3333333333,34,3.12928,8.0,16.6666666667,26.0,5.3656555092,,,,,,15.862878418,35.2110915701,1.96349,-1.21109157015,35.22417,-84.28917,TSQN7
1403091317,FWS.MRX.20140309.LITTL.01.20140309.131710.1311127836,11,-23,223,16.1111111111,44,3.12928,17.0,16.1111111111,27.0,2.6802555324,,,,,,17.5092102051,38.221125144,1.8574,5.778874856,35.14583,-84.46389,TS810
1403091415,FWS.MRX.20140309.EASTC.01.20140309.141511.3461622334,20,2,165,15.5555555556,44,3.12928,15.0,16.6666666667,29.0,2.2326888696,,,,,,16.723046875,33.7271799163,1.62299,10.2728200837,35.28581,-84.32125,CCKT1
1403061414,FWS.MRX.20140306.TELLI.01.20140306.141400.3555190103,18,74,226,11.1111111111,48,2.2352,14.0,13.8888888889,34.0,2.2326888696,11.1510559082,47.5631559777,13.5631559777,1.5,-0.436844022301,12.9233947754,35.2419824674,2.28679,12.7580175326,35.30003,-84.30706,CCKT1
1403061424,FWS.MRX.20140306.LITTL.01.20140306.142423.2971980858,11,6,96,11.6666666667,43,2.2352,23.0,13.3333333333,20.0,2.6802555324,10.7446533203,44.5930741966,24.5930741966,2.18509,1.59307419656,13.499230957,27.7746400193,2.37489,15.2253599807,35.14569,-84.46389,TS810
1403051402,FWS.MRX.20140305.IRONO.01.20140305.140211.3779278314,8,67,58,15.0,35,3.57632,-7.0,13.3333333333,42.0,2.6802555324,13.7123046875,36.6993045988,-5.30069540116,4.6,1.69930459884,15.4316955566,47.3117810672,1.60063,-12.3117810672,35.075,-84.59083,TS810
1403021151,FWS.MRX.20140302.WOLFP.01.20140302.115138.3539369703,16,-176,249,18.3333333333,52,4.4704,2.0,20.0,50.0,6.2607888348,18.7201171875,45.1050256862,-4.89497431377,5.61951,-6.89497431377,19.1725708008,51.5731722143,6.29314,0.426827785739,35.14972,-84.41444,TS810
1403011207,FWS.MRX.20140301.RUTTE.01.20140301.120748.3501107347,46,-140,293,9.44444444444,45,6.25856,14.87,9.0,30.13,3.60111108,10.383203125,49.2438010884,19.1138010884,3.4983,4.24380108838,10.4373413086,34.5053356266,4.61661,10.4946643734,36.57139,-81.90767,KGEV
1403011206,FWS.MRX.20140301.OLDGR.01.20140301.120615.3049565687,32,-97,294,10.5555555556,45,2.68224,13.0,15.5555555556,32.0,3.575388858,9.77150878906,52.5109216694,20.5109216694,3.43218,7.5109216694,10.7860046387,30.5025144642,4.10453,14.4974855358,36.42228,-82.13157,TS834
1403011346,FWS.MRX.20140301.WOLFP.01.20140301.134623.4040630746,16,-176,74,13.8888888889,40,3.57632,-1.0,11.6666666667,41.0,2.6802555324,14.2171264648,41.800375276,0.800375276048,3.1,1.80037527605,11.3434082031,54.8085642916,3.75059,-14.8085642916,35.14978,-84.41433,TS810
1403011204,FWS.MRX.20140301.FLATW.01.20140301.120456.362616061,17,51,296,12.7777777778,46,2.68224,18.43,14.7,27.57,6.17333328,11.9163146973,47.6509112352,20.0809112352,3.17996,1.65091123515,14.225793457,33.7246429591,3.86273,12.2753570409,36.52522,-82.02744,KVJI
1402281232,FWS.MRX.20140228.EASTC.01.20140228.123217.1593549546,20,2,268,10.0,25,3.12928,3.0,9.44444444444,22.0,1.7902666512,9.78133544922,26.9475225306,4.94752253063,3.25333,1.94752253063,11.5558410645,22.4641920925,4.14579,2.53580790746,35.28581,-84.32125,CCKT1
1402281238,FWS.MRX.20140228.IRISH.01.20140228.123812.532334070,5,131,202,7.22222222222,23,3.12928,4.0,12.7777777778,19.0,3.575388858,6.2672668457,23.2287083027,4.2287083027,4.1,0.228708302696,8.51320800781,21.8387643536,4.41486,1.16123564639,36.19525,-82.30925,TS834
1402281206,FWS.MRX.20140228.FLATW.01.20140228.120600.2860699770,17,51,294,8.88888888889,24,3.12928,7.52,10.7,16.48,4.11555552,6.29586181641,22.9185249458,6.43852494575,4.1,-1.08147505425,11.6933837891,18.6791325698,4.12823,5.32086743018,36.52522,-82.02744,KVJI
1402281229,FWS.MRX.20140228.OLDGR.01.20140228.122957.1378255792,32,-97,211,6.11111111111,26,3.57632,7.0,12.7777777778,19.0,3.575388858,5.15758666992,25.9732379042,6.97323790417,4.76437,-0.026762095827,8.37792358398,15.7830766673,6.66982,10.2169233327,36.42228,-82.13157,TS834
1402281243,FWS.MRX.20140228.SHORT.02.20140228.124339.283935719,6,6,257,9.44444444444,27,2.68224,5.0,9.44444444444,22.0,1.7902666512,8.56829223633,25.7165329454,3.71653294542,3.24432,-1.28346705458,11.4026733398,23.9406672875,3.23147,3.05933271246,35.32167,-84.1325,CCKT1
1402281511,FWS.MRX.20140228.STARR.01.20140228.151154.2366672205,14,-145,49,11.6666666667,23,2.68224,2.85,11.0,20.15,3.08666664,9.00368652344,28.5799635609,8.42996356092,3.89222,5.57996356092,10.0905700684,25.5225040493,3.773,-2.52250404931,35.28878,-84.47372,KMMI
