date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091122,FWS.MSO.20140409.EASTL.01.20140409.112221.679746968,21,-78,398,13.3333333333,42,6.7056,15.0,15.5555555556,27.0,1.7902666512,7.95055541992,38.4067923266,11.4067923266,9.06731,-3.59320767343,6.01806030273,49.1839125584,2.97038,-7.18391255841,47.88453,-114.00617,JETM8
1404091702,FWS.MSO.20140409.GOLDH.01.20140409.170234.1885936244,12,-246,17,16.1111111111,24,9.83488,-0.0,17.2222222222,24.0,7.150777716,14.3347106934,24.2936137444,0.293613744357,8.71049,0.293613744357,14.2817016602,31.8797518915,11.9546,-7.87975189146,45.7863,-112.07907,WHHM8
1404081322,FWS.MSO.20140408.AIRPO.01.20140408.132218.1351315188,0,-1,128,20.5555555556,21,7.15264,1.52,23.0,19.48,8.23111104,18.35,33.9547603816,14.4747603816,7.2,12.9547603816,19.8066955566,22.0172980301,7.14917,-1.01729803015,48.96817,-115.0795,K88M
1404081838,FWS.MSO.20140408.CUTOF.02.20140408.183837.3821438113,17,-1,22,21.6666666667,22,4.4704,-0.0,22.7777777778,22.0,7.5983443788,19.1617675781,32.4023329352,10.4023329352,5.75173,10.4023329352,19.4596191406,30.7182380595,4.65223,-8.71823805954,47.31355,-114.80958,PLAM8
1404081023,FWS.MSO.20140408.EASTS.01.20140408.102326.2289250066,21,-78,517,17.7777777778,32,8.49376,14.0,23.3333333333,18.0,2.2326888696,12.8789916992,39.3734328017,21.3734328017,7.88072,7.37343280165,7.65526733398,65.4174401901,4.81299,-33.4174401901,47.89388,-114.0112,JETM8
1404071359,FWS.MSO.20140407.MCGRE.01.20140407.135923.4253655525,18,10,121,13.8888888889,32,3.12928,-1.0,15.5555555556,33.0,3.1278221952,11.0332580566,43.3507601255,10.3507601255,5.7,11.3507601255,13.6192871094,47.9799966366,3.35022,-15.9799966366,48.03167,-114.90194,BOOM8
1404031636,FWS.MSO.20140403.JOHNS.01.20140403.163606.2246005194,0,-52,144,6.11111111111,31,2.68224,6.0,6.66666666667,25.0,3.1278221952,4.78029785156,35.8464970232,10.8464970232,3.19985,4.84649702319,3.97225341797,32.1483800839,3.26091,-1.14838008388,44.87035,-112.97737,TS216
1404031653,FWS.MSO.20140403.KHN1_.01.20140403.165331.689557408,7,56,67,12.2222222222,27,1.78816,6.0,13.8888888889,21.0,4.9180888464,5.7103515625,46.537467267,25.537467267,3.2849,19.537467267,12.7334838867,26.3649016018,3.33807,0.63509839823,47.47417,-114.072,RONM8
1404031652,FWS.MSO.20140403.SHELD.01.20140403.165206.3836876072,4,-70,98,13.3333333333,19,4.02336,-4.0,15.0,23.0,1.3426999884,12.1659484863,30.2471476012,7.24714760116,3.6,11.2471476012,13.8614746094,35.2535893465,4.10607,-16.2535893465,48.41889,-115.54667,LBBM8
1404021630,FWS.MSO.20140402.KHN1_.01.20140402.163052.2921718024,7,56,90,12.7777777778,32,4.4704,-1.0,11.1111111111,33.0,4.9180888464,3.85067138672,50.7039501078,17.7039501078,7.72234,18.7039501078,10.3555847168,33.1614040664,3.45017,-1.16140406644,47.47417,-114.072,RONM8
1404011653,FWS.MSO.20140401.KHN1_.01.20140401.165333.3289141062,7,56,187,12.2222222222,32,2.68224,-1.0,11.6666666667,33.0,3.575388858,4.29421386719,51.2576287037,18.2576287037,2.92626,19.2576287037,11.3152404785,36.9344008002,1.8951,-4.93440080019,47.47417,-114.072,RONM8
1404011633,FWS.MSO.20140401.MILLI.01.20140401.163316.3353259929,15,74,87,12.2222222222,31,2.68224,-2.0,11.6666666667,33.0,3.575388858,2.1378112793,56.5957883184,23.5957883184,2.68627,25.5957883184,11.0237670898,40.8165925175,2.1245,-9.81659251753,47.40167,-114.036,RONM8
1403261612,FWS.MSO.20140326.GOLDH.01.20140326.161246.2896896978,12,-240,48,12.2222222222,36,6.7056,5.0,12.7777777778,31.0,7.150777716,6.0951171875,44.1779945772,13.1779945772,3.32925,8.17799457719,8.48687133789,38.552913752,6.54976,-2.55291375204,45.7863,-112.07907,WHHM8
1401071742,FWS.MSO.20140107.MTDCT.03.20140103.174216.2725188767,8,-3,78,3.33333333333,67,8.04672,14.5,2.1,52.5,3.60111108,2.66198120117,68.0231312803,15.5231312803,2.6,1.02313128026,,,,,45.9367,-116.2384,KGIC
