date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403212052,FWS.MTR.20140321.ENCIN.01.20140321.205244.80715467,32,86,78,16.1111111111,45,2.68224,-4.0,17.7777777778,49.0,6.2607888348,14.9960266113,60.1198271455,11.1198271455,6.423,15.1198271455,14.0866943359,60.87009057,5.24632,-15.87009057,36.66306,-121.43667,CAHC1
1403211955,FWS.MTR.20140321.ENCIN.01.20140321.195513.746598499,32,86,21,16.1111111111,45,2.68224,-4.0,17.7777777778,49.0,6.2607888348,14.9960266113,60.1198271455,11.1198271455,6.423,15.1198271455,14.0866943359,60.87009057,5.24632,-15.87009057,36.66306,-121.43667,CAHC1
1401180855,FWS.MTR.20140118.BOLIN.01.20140118.085511.1421574668,3,137,37,17.7777777778,22,4.4704,8.0,19.4444444444,14.0,5.3656555092,20.9891906738,24.7985081403,10.7985081403,2.39083,2.79850814029,,,,,37.95917,-122.63333,WDAC1
1312241705,FWS.MTR.20131224.PFEIF.01.20131224.170513.3470370920,0,-59,15,19.4444444444,31,0.89408,1.0,22.2222222222,30.0,1.7902666512,18.0405822754,39.3169311437,9.31693114371,2.10425,8.31693114371,,,,,36.245,-121.78583,PPSC1
1312170842,FWS.MTR.20131217.PFEIF.01.20131217.084251.3258910660,1,-29,30,17.7777777778,32,5.36448,8.0,22.2222222222,24.0,1.3426999884,18.0304199219,32.9969087384,8.99690873835,1.72142,0.996908738354,,,,,36.25194,-121.8,PPSC1
1312161112,FWS.MTR.20131216.PFEIF.01.20131216.111217.1443219419,1,-90,29,21.1111111111,15,4.4704,-2.0,22.7777777778,17.0,1.7902666512,20.3332458496,23.965777979,6.96577797898,1.51527,8.96577797898,,,,,36.25194,-121.8,PPSC1
1311271337,FWS.MTR.20131127.MCCAB.01.20131127.133741.1543517340,8,205,20,15.0,32,2.2352,-5.0,16.1111111111,37.0,5.3656555092,16.1413513184,34.7777460659,-2.22225393413,3.21487,2.77774606587,15.4901062012,36.0813776707,4.8546,-4.08137767074,38.81314,-122.82577,HWKC1
1311221009,FWS.MTR.20131122.SILVE.01.20131122.100912.2624332071,18,-19,34,20.0,14,4.4704,7.11,22.8,6.89,13.88999988,17.9040161133,14.5705529775,7.6805529775,10.0689,0.570552977505,21.3191467285,11.0638622132,5.91382,2.93613778681,38.37638,-122.28231,KAPC
1311221520,FWS.MTR.20131122.MCCAB.01.20131122.152056.1057661670,8,205,38,18.3333333333,8,8.9408,1.0,19.4444444444,7.0,9.38861103,17.7220703125,10.5876075493,3.5876075493,12.2703,2.5876075493,16.5120178223,10.2093736723,7.43363,-2.20937367234,38.81314,-122.82577,HWKC1
1309091404,FWS.MTR.20130909.MORGA.01.20130909.140408.1378735444799,7,-167,28,32.7777777778,19,4.4704,2.0,35.5555555556,17.0,8.4934777044,33.1420532227,23.5176811474,6.51768114745,6.33942,4.51768114745,32.3672119141,19.4015440872,6.52775,-0.401544087217,37.88676,-121.89947,PIBC1
1307130850,FWS.MTR.20130713.UVASI.01.20130713.085013.1373705413389,16,180,41,29.4444444444,31,1.34112,11.0,30.5555555556,20.0,3.1278221952,29.0407653809,30.0776798283,10.0776798283,2.24736,-0.922320171659,31.4941345215,23.3163173022,3.12897,7.68368269778,37.14393,-121.78027,LSGC1
1306211742,FWS.MTR.20130621.NASCA.01.20130621.174250.1371836570731,9,-79,60,23.8888888889,35,2.68224,12.14,28.0,22.86,7.7166666,24.6751647949,36.4650489662,13.6050489662,7.55487,1.46504896624,27.5438171387,26.5861060486,5.93049,8.41389395138,38.16056,-122.45444,KDVO
