date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404011120,FWS.OHX.20140401.MLSOU.01.20140401.112030.2272241996,1,36,280,24.4444444444,40,3.12928,19.0,28.8888888889,21.0,1.3426999884,23.85,40.0742769606,19.0742769606,4.46695,0.0742769605927,27.114251709,26.9524377667,3.41222,13.0475622333,35.515,-87.45667,MERT1
1403271148,FWS.OHX.20140327.MLHIK.01.20140327.114823.4012265492,1,36,162,17.2222222222,25,6.7056,1.0,18.8888888889,24.0,4.9180888464,17.3929382324,26.1190817753,2.11908177534,10.1571,1.11908177534,18.4336486816,23.7948210805,6.41438,1.20517891947,35.515,-87.45667,MERT1
1403261134,FWS.OHX.20140326.MLHIK.01.20140326.113417.2051643665,1,-9,146,10.0,18,2.2352,-1.0,11.6666666667,19.0,2.2326888696,10.1215454102,18.3895451212,-0.610454878844,2.6,0.389545121156,11.7554260254,19.1715605642,1.7457,-1.17156056415,35.515,-87.45667,MERT1
1403131124,FWS.OHX.20140313.NORTH.01.20140313.112405.3155205972,3,-9,216,15.5555555556,34,3.12928,8.0,16.1111111111,26.0,1.3426999884,13.85,34.2479746195,8.24797461951,3.6,0.247974619506,15.0712524414,31.9594358871,2.35974,2.04056411291,35.12556,-88.33472,SHOT1
1403111508,FWS.OHX.20140311.STONE.01.20140311.150849.2297397686,36,11,8,23.3333333333,44,3.12928,10.59,25.6,33.41,5.65888884,23.35,38.3418392693,4.93183926927,4.6,-5.65816073073,25.4263549805,37.0206353071,3.97012,6.97936469285,35.87222,-86.42583,KBNA
1403101358,FWS.OHX.20140310.STONE.01.20140310.135812.505857692,17,-4,92,21.6666666667,35,3.12928,-65.0,0.0,100.0,6.17333328,19.4500061035,41.867471022,-58.132528978,5.7,6.86747102196,21.7194458008,34.7186376018,3.75175,0.281362398167,35.87222,-86.42583,KMQY
1403101410,FWS.OHX.20140310.COCHR.01.20140310.141019.1433806217,11,33,170,21.6666666667,35,3.12928,-0.0,21.1111111111,35.0,2.2326888696,18.85,42.4443304425,7.44433044249,5.69633,7.44433044249,20.3483520508,39.5961559648,4.13731,-4.59615596482,35.29428,-86.69168,LSBT1
1401091533,FWS.OHX.20140109.TNFIR.02.20140109.153350.237130392,35,128,207,8.88888888889,36,2.68224,7.0,9.44444444444,29.0,2.6802555324,7.74999389648,47.3593144952,18.3593144952,2.1,11.3593144952,,,,,35.61537,-86.5054,LSBT1
1303211327,FWS.OHX.20130321.AMANN.01.20130321.132718.1363872438070,16,96,273,7.77777777778,25,3.12928,-7.51,5.0,32.51,6.17333328,7.24999389648,25.3008034514,-7.20919654863,4.1,0.300803451367,5.78377685547,36.3779980295,5.47603,-11.3779980295,35.46738,-86.39948,KTHA
1303211504,FWS.OHX.20130321.AMENN.01.20130320.150416.1363791856027,16,98,176,13.3333333333,27,5.81152,-5.51,5.0,32.51,6.17333328,7.24999389648,25.3008034514,-7.20919654863,4.1,-1.69919654863,5.78377685547,36.3779980295,5.47603,-9.37799802945,35.46738,-86.39948,KTHA
1301072256,FWS.OHX.20130107.MLHIK.01.20130106.225609.1357512969232,1,36,296,10.5555555556,30,0.89408,-3.0,11.1111111111,33.0,1.3426999884,9.95000610352,31.3549495334,-1.64505046662,1.5,1.35494953338,9.35521850586,50.3310352167,2.7149,-20.3310352167,35.515,-87.45667,MERT1
