date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1311191753,FWS.OKX.20131119.STATE.01.20131119.175335.950063288,10,-23,7,10.5555555556,33,7.59968,-2.8,9.7,35.8,8.23111104,8.18798217773,29.2120734812,-6.58792651883,9.25379,-3.78792651883,8.45159301758,40.8720785001,9.81699,-7.87207850009,40.52802,-74.19278,KLDJ
1311161907,FWS.OKX.20131116.HADDA.01.20131116.190730.3488877255,8,-4,51,16.6666666667,42,1.34112,8.35,16.0,33.65,4.11555552,12.6646057129,46.2168296746,12.5668296746,2.1,4.21682967456,14.950982666,38.4836927188,2.51567,3.51630728121,41.45876,-72.53899,KSNC
1311151426,FWS.OKX.20131115.ORANG.02.20131115.142651.1306968816,19,60,56,14.4444444444,29,2.68224,9.33,13.3,19.67,3.08666664,12.8472229004,28.5646040176,8.89460401758,3.1,-0.435395982421,12.093347168,31.0955232966,2.86683,-2.09552329659,41.07146,-73.93783,KHPN
1311151245,FWS.OKX.20131115.ORANG.02.20131116.124527.1569078583,19,60,45,14.4444444444,44,2.2352,24.33,13.3,19.67,3.08666664,12.8472229004,28.5646040176,8.89460401758,3.1,-15.4353959824,12.093347168,31.0955232966,2.86683,12.9044767034,41.07146,-73.93783,KHPN
1311151251,FWS.OKX.20131115.ORANG.02.20131117.125137.1593802154,19,60,39,17.7777777778,67,2.2352,47.33,13.3,19.67,3.08666664,12.8472229004,28.5646040176,8.89460401758,3.1,-38.4353959824,12.093347168,31.0955232966,2.86683,35.9044767034,41.07146,-73.93783,KHPN
1204101441,FWS.OKX.20120410.BRUSH.02.20120410.144140.854234026,10,-23,32,14.4444444444,25,6.7056,-4.0,12.2222222222,29.0,3.575388858,13.0322814941,31.1972757118,2.1972757118,6.7,6.1972757118,13.0089050293,34.9755734808,5.90967,-9.9755734808,41.26968,-74.04925,TS745
1204101436,FWS.OKX.20120410.BRUSH.01.20120410.143642.441353928,7,0,31,16.1111111111,31,5.81152,3.0,15.5555555556,28.0,2.2326888696,14.4538513184,32.8119768131,4.8119768131,6.7,1.8119768131,15.1701599121,37.32884097,5.20094,-6.32884096998,40.88159,-72.80817,TS248
1009141427,FWS.OKX.20100914.GREAT.01.20100914.142729.337504356,15,-2,34,25.5555555556,39,5.36448,10.26,26.1,28.74,8.23111104,25.9393249512,33.1747765536,4.43477655362,6.7,-5.82522344638,22.9891906738,38.3665184215,6.24221,0.633481578463,40.55156,-74.12333,KEWR
1009131357,FWS.OKX.20100913.GREAT.01.20100913.135722.214425515,15,-2,18,23.8888888889,51,3.12928,3.03,24.4,47.97,17.49111096,23.125604248,50.7203347294,2.7503347294,3.77557,-0.279665270597,21.2704711914,65.3999916567,4.67565,-14.3999916567,40.55156,-74.12333,KEWR
1009111852,FWS.OKX.20100911.GREAT.01.20100911.185253.697811494,15,-2,69,24.4444444444,40,3.12928,15.21,26.7,24.79,4.62999996,23.2101989746,41.9006561816,17.1106561816,3.70902,1.90065618157,23.7023864746,39.1208522118,4.30307,0.879147788187,40.55156,-74.12333,KEWR
1009111851,FWS.OKX.20100911.GREAT.01.20100911.185111.625746790,15,-2,68,24.4444444444,40,3.12928,15.21,26.7,24.79,4.62999996,23.2101989746,41.9006561816,17.1106561816,3.70902,1.90065618157,23.7023864746,39.1208522118,4.30307,0.879147788187,40.55156,-74.12333,KEWR
1009111913,FWS.OKX.20100911.GREAT.01.20100911.191326.940009318,15,-2,90,24.4444444444,40,3.12928,15.21,26.7,24.79,4.62999996,23.2101989746,41.9006561816,17.1106561816,3.70902,1.90065618157,23.7023864746,39.1208522118,4.30307,0.879147788187,40.55156,-74.12333,KEWR
1009101237,FWS.OKX.20100910.GREAT.01.20100910.123712.933201137,15,-2,26,22.7777777778,40,4.4704,3.35,22.8,36.65,9.25999992,22.7499938965,39.5275623135,2.8775623135,5.31068,-0.472437686503,21.4587646484,48.9968369228,6.02887,-8.9968369228,40.55156,-74.12333,KEWR
1009091725,FWS.OKX.20100909.GREAT.01.20100909.172543.043406953,15,-10,23,23.3333333333,43,7.59968,0.77,21.7,42.23,7.7166666,23.0964904785,41.7378957172,-0.492104282761,7.2,-1.26210428276,20.1760192871,52.5926647195,6.21171,-9.59266471955,40.54639,-74.12361,KEWR
