date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091555,FWS.OTX.20140409.RXBIG.01.20140409.155550.1651998527,0,-64,65,12.2222222222,20,3.57632,1.0,10.0,19.0,3.575388858,12.1751647949,23.5022368095,4.5022368095,4.14938,3.5022368095,10.3775268555,26.6824941654,4.25699,-6.6824941654,47.9568,-120.04386,TT221
1404091703,FWS.OTX.20140409.COLDS.01.20140409.170345.1025298866,10,138,87,13.8888888889,23,8.9408,4.0,12.7777777778,19.0,3.1278221952,15.6929870605,22.5722940801,3.57229408013,5.855,-0.42770591987,15.1828552246,19.7460955618,4.45088,3.25390443825,47.90888,-117.96475,MDRW1
1404091343,FWS.OTX.20140409.LOST2.01.20140409.134332.2104838392,18,237,257,14.4444444444,23,3.57632,4.0,12.2222222222,19.0,2.6802555324,10.7831054688,19.982601106,0.982601106,4.82747,-3.017398894,14.1069885254,20.8112524041,2.7455,2.18874759592,48.5182,-119.,PEOW1
1404091331,FWS.OTX.20140409.FORES.01.20140409.133108.4224754854,10,-103,209,15.0,21,3.57632,-10.0,12.7777777778,31.0,4.9180888464,15.0872436523,23.6020184501,-7.39798154986,5.69854,2.60201845014,11.3507324219,31.2535857086,5.69013,-10.2535857086,47.84283,-120.2245,OKPW1
1404081623,FWS.OTX.20140408.COLDS.01.20140408.162354.2557732133,10,138,127,23.3333333333,22,5.81152,-5.0,19.4444444444,27.0,4.9180888464,20.8479858398,25.0927677432,-1.90723225676,7.355,3.09276774324,20.2696166992,27.3683043242,5.62932,-5.36830432419,47.90888,-117.96475,MDRW1
1404081640,FWS.OTX.20140408.FORES.01.20140408.164058.2837921535,10,85,170,17.2222222222,32,4.02336,-3.0,19.4444444444,35.0,5.813222172,19.0530944824,35.2835077359,0.283507735908,6.20068,3.28350773591,16.9522644043,37.8343289301,5.91131,-5.83432893012,47.84285,-120.2245,OKPW1
1404081440,FWS.OTX.20140408.HALE_.01.20140408.144022.2259735200,5,-23,320,22.2222222222,24,13.4112,-4.0,20.5555555556,28.0,6.2607888348,19.9500061035,27.7574979482,-0.242502051848,8.01477,3.75749794815,20.1659484863,27.0273748833,8.38946,-3.02737488333,47.3991,-117.59193,TWRW1
1404081354,FWS.OTX.20140408.STAMP.01.20140408.135410.3253023879,19,-172,186,20.0,34,8.9408,5.86,20.0,28.14,5.65888884,17.3292480469,42.4478441414,14.3078441414,6.2,8.44784414136,18.4180847168,43.3332691504,4.78849,-9.33326915039,48.56248,-116.40478,K65S
1404081602,FWS.OTX.20140408.T1082.01.20140408.160234.500903513,42,-137,118,20.5555555556,35,5.36448,4.0,21.6666666667,31.0,4.0229555208,17.3166137695,39.5362914032,8.53629140317,6.30041,4.53629140317,18.2932373047,36.3599939582,5.40549,-1.35999395822,47.31278,-116.93778,POTI1
1404081703,FWS.OTX.20140408.FIELD.01.20140408.170339.2756188758,26,-45,117,19.4444444444,32,4.02336,13.0,23.8888888889,19.0,6.7032110532,13.8365722656,46.0138126565,27.0138126565,7.23405,14.0138126565,16.8004089355,46.6960000444,3.94709,-14.6960000444,48.7543,-119.6626,OVLW1
1404081623,FWS.OTX.20140408.RXBIG.01.20140408.162305.2721081926,0,-64,97,14.4444444444,33,4.02336,-3.0,17.2222222222,36.0,4.4705221836,17.4906555176,33.0546015454,-2.94539845465,6.75404,0.0546015453536,15.3183227539,39.0705397804,5.68276,-6.07053978039,47.95921,-120.044,TT221
1404081839,FWS.OTX.20140408.CATPO.01.20140408.183915.3398032965,9,-48,111,19.4444444444,30,3.12928,1.0,19.4444444444,29.0,6.7032110532,17.9445739746,36.5524604908,7.5524604908,6.71059,6.5524604908,17.3131652832,34.9323642203,3.23698,-4.93236422027,48.563,-116.825,PLKI1
1404071933,FWS.OTX.20140407.FORES.01.20140407.193346.2935718500,10,85,8,17.7777777778,37,4.02336,5.0,20.0,32.0,2.2326888696,20.0622802734,30.6575172089,-1.34248279113,3.08986,-6.34248279113,19.6545654297,32.7889274348,3.41684,4.21107256522,47.84285,-120.2245,OKPW1
1404071649,FWS.OTX.20140407.COLDS.02.20140407.164912.4139353032,8,138,101,18.8888888889,34,4.4704,-5.0,17.7777777778,39.0,2.6802555324,18.2265563965,31.610289805,-7.38971019502,4.00826,-2.38971019502,17.6884094238,44.671092002,3.5936,-10.671092002,47.91813,-117.97942,MDRW1
1404071352,FWS.OTX.20140407.FORDE.01.20140407.135222.413089845,27,-53,158,17.7777777778,31,2.2352,-1.0,19.4444444444,32.0,4.4705221836,14.1198974609,39.347636886,7.34763688601,3.6,8.34763688601,16.1854492188,54.8606989823,4.22215,-23.8606989823,48.7387,-119.6628,OVLW1
1404061359,FWS.OTX.20140406.FORDE.01.20140406.135957.2016971255,28,-110,151,15.0,28,4.91744,8.0,18.8888888889,20.0,4.9180888464,10.939630127,35.3821463867,15.3821463867,4.1,7.38214638671,13.4330383301,45.4479297507,1.50966,-17.4479297507,48.7371,-119.6609,OVLW1
1404051548,FWS.OTX.20140405.FORDE.01.20140405.154801.3566748108,27,-110,42,13.3333333333,37,8.9408,12.0,16.1111111111,25.0,5.3656555092,9.31563720703,48.5146043228,23.5146043228,5.41451,11.5146043228,11.2416625977,51.913341827,4.59056,-14.913341827,48.7392,-119.6568,OVLW1
1404041553,FWS.OTX.20140404.FORDE.01.20140404.155314.1410291053,28,-110,37,13.8888888889,34,3.12928,12.0,17.7777777778,22.0,4.4705221836,9.96734008789,46.8866198519,24.8866198519,4.51669,12.8866198519,11.3476806641,42.554808879,2.20663,-8.55480887901,48.7281,-119.6616,OVLW1
1404031344,FWS.OTX.20140403.FIELD.01.20140403.134436.867456206,4,-59,256,16.1111111111,29,3.12928,-0.0,15.0,29.0,1.7902666512,13.6471191406,42.2666002845,13.2666002845,4.52694,13.2666002845,12.2868591309,41.9635510594,2.86295,-12.9635510594,48.5709,-118.1492,KTLW1
1404031355,FWS.OTX.20140403.ORION.01.20140403.135530.402178322,6,-158,125,7.77777777778,44,3.12928,4.0,8.33333333333,40.0,3.1278221952,6.03942260742,47.3691450591,7.36914505909,4.29912,3.36914505909,6.79143676758,41.7645336649,4.35785,2.23546633512,47.3111,-120.713,FWFW1
1404031351,FWS.OTX.20140403.SAFET.01.20140403.135147.3872511123,9,242,309,12.7777777778,38,2.2352,5.0,10.0,33.0,3.575388858,9.47365722656,45.3297559692,12.3297559692,4.44845,7.32975596924,11.1891418457,47.5237016801,1.93046,-9.5237016801,48.05016,-120.36417,CMFW1
1404031335,FWS.OTX.20140403.NFORK.01.20140403.133518.2553925152,1,-188,265,11.6666666667,34,3.12928,1.0,11.1111111111,33.0,4.4705221836,14.6708618164,33.8346767639,0.83467676394,3.6915,-0.16532323606,8.72878417969,37.4646508821,4.24026,-3.46465088212,47.827,-120.36117,OKPW1
1404021526,FWS.OTX.20140402.FIELD.01.20140402.152602.812340081,4,-59,214,15.0,31,2.68224,7.0,16.6666666667,24.0,2.6802555324,12.4609924316,36.1777221939,12.1777221939,2.6,5.17772219388,14.7294250488,26.5123540695,1.48194,4.48764593045,48.5709,-118.1492,KTLW1
1404021509,FWS.OTX.20140402.SAFET.02.20140402.150951.1381533643,9,242,231,12.7777777778,36,4.02336,7.0,10.5555555556,29.0,3.575388858,11.5049072266,34.1584067594,5.15840675943,3.97498,-1.84159324057,11.8897949219,48.3298301702,3.44136,-12.3298301702,48.05016,-120.36417,CMFW1
1404011845,FWS.OTX.20140401.FIELD.01.20140401.184500.371469171,3,-59,75,14.4444444444,32,3.57632,11.0,16.1111111111,21.0,4.0229555208,13.1569763184,40.2989291629,19.2989291629,3.6,8.29892916294,14.6149230957,31.0651203102,1.70038,0.934879689812,48.5807,-118.1387,KTLW1
1404011400,FWS.OTX.20140401.NFORK.01.20140401.140026.1820954098,1,-188,210,13.8888888889,32,1.78816,-0.0,11.6666666667,32.0,2.6802555324,14.2293334961,32.9989232723,0.998923272338,3.8346,0.998923272338,9.44259033203,38.5544224711,3.43402,-6.55442247113,47.827,-120.36117,OKPW1
1403311853,FWS.OTX.20140331.NFORK.01.20140331.185331.3904206848,1,-188,37,10.5555555556,35,2.2352,-2.0,9.44444444444,37.0,4.0229555208,12.8102355957,35.6184964424,-1.38150355759,3.1,0.61849644241,7.87304077148,43.695523268,2.58856,-8.69552326798,47.827,-120.36117,OKPW1
1403271333,FWS.OTX.20140327.MU3RX.01.20140327.133352.1655962854,6,-1,327,14.4444444444,39,4.4704,10.0,16.1111111111,29.0,4.9180888464,15.2131896973,39.0889667998,10.0889667998,5.93108,0.0889667997989,14.6139770508,35.8970733079,5.58409,3.10292669212,46.90903,-119.25111,OTOW1
1403271934,FWS.OTX.20140327.NORTH.01.20140327.193428.125866777,1,-188,86,12.2222222222,32,2.2352,-2.0,12.7777777778,34.0,4.0229555208,12.8597961426,43.677570184,9.67757018403,5.86548,11.677570184,6.70543823242,54.3571535643,3.20965,-22.3571535643,47.827,-120.36117,OKPW1
1403261329,FWS.OTX.20140326.MU3RX.04.20140326.132957.912504747,6,-1,271,15.5555555556,34,2.68224,-1.0,15.0,35.0,5.813222172,14.1419006348,41.1581005909,6.15810059086,6.2,7.15810059086,14.0065856934,42.3432488489,5.50867,-8.34324884886,46.90903,-119.25111,OTOW1
1403261357,FWS.OTX.20140326.FORDE.01.20140326.135731.2813410038,27,-45,183,13.3333333333,41,3.12928,21.0,16.1111111111,20.0,5.813222172,6.90282592773,52.2967680755,32.2967680755,6.86976,11.2967680755,10.085748291,51.2247440715,5.25761,-10.2247440715,48.7434,-119.6608,OVLW1
1403261323,FWS.OTX.20140326.MU3RX.04.20140326.132352.1440464351,6,-1,277,15.5555555556,34,2.68224,-1.0,15.0,35.0,5.813222172,14.1419006348,41.1581005909,6.15810059086,6.2,7.15810059086,14.0065856934,42.3432488489,5.50867,-8.34324884886,46.90903,-119.25111,OTOW1
1403251631,FWS.OTX.20140325.NORTH.01.20140325.163141.2190043423,1,-188,89,8.88888888889,47,5.36448,1.0,10.0,46.0,2.6802555324,,,,,,7.51442871094,54.2802339673,3.64932,-7.28023396729,47.827,-120.36117,OKPW1
1403241425,FWS.OTX.20140324.FARM3.01.20140324.142523.822519835,25,-76,35,13.3333333333,30,2.68224,1.0,12.2222222222,29.0,4.9180888464,7.50484619141,46.5864980305,17.5864980305,3.84201,16.5864980305,8.39071044922,50.9900900249,3.64621,-20.9900900249,48.7566,-119.6516,OVLW1
1403211359,FWS.OTX.20140321.FARM4.01.20140321.135900.4167170550,25,-76,181,9.44444444444,31,2.68224,9.0,11.1111111111,22.0,3.575388858,4.32073364258,34.6916255311,12.6916255311,2.57075,3.69162553111,5.46248779297,43.5873255412,2.28912,-12.5873255412,48.7606,-119.6491,OVLW1
1403201733,FWS.OTX.20140320.FARM3.01.20140320.173339.4023712769,24,-76,57,8.33333333333,30,3.12928,2.0,7.77777777778,28.0,5.3656555092,5.81051025391,38.7458349576,10.7458349576,1.99076,8.74583495763,3.61284790039,48.3158698031,3.15861,-18.3158698031,48.7655,-119.6443,OVLW1
1403172015,FWS.OTX.20140317.BILLI.01.20140317.201519.1552172348,42,242,120,11.1111111111,27,9.38784,2.0,12.2222222222,25.0,4.9180888464,9.20562133789,34.2661233477,9.26612334774,12.8978,7.26612334774,9.96282348633,27.3231331358,12.8936,-0.323133135847,47.424,-119.784,ERAW1
1403141933,FWS.OTX.20140314.BILLI.01.20140314.193300.1808085211,42,242,63,16.6666666667,35,7.59968,-4.0,13.8888888889,39.0,5.813222172,12.5647827148,46.5562175156,7.55621751559,11.8091,11.5562175156,12.6502929688,41.2989836646,10.6229,-6.29898366465,47.424,-119.784,ERAW1
1403121957,FWS.OTX.20140312.BILLI.01.20140312.195733.923065727,42,242,63,12.7777777778,41,1.78816,10.0,16.1111111111,31.0,3.1278221952,11.1290527344,43.3909176475,12.3909176475,1.62519,2.39091764753,12.8741394043,39.321132783,3.90867,1.67886721701,47.424,-119.784,ERAW1
1401241458,FWS.OTX.20140124.FISHT.01.20140124.145809.3845733616,26,54,122,-1.11111111111,85,1.78816,-6.0,-1.66666666667,91.0,1.7902666512,-0.883703613281,81.2780418454,-9.72195815461,2.61044,-3.72195815461,,,,,47.335,-117.85361,TWRW1
1401231244,FWS.OTX.20140123.FISHT.01.20140123.124450.1214344769,26,54,256,0.0,77,4.02336,-16.0,-1.11111111111,93.0,1.7902666512,1.45327148438,73.8019815814,-19.1980184186,3.40329,-3.19801841855,,,,,47.335,-117.85361,TWRW1
1401221238,FWS.OTX.20140122.FISHT.01.20140122.123855.755863958,26,54,262,0.555555555556,79,2.2352,-12.0,-2.22222222222,91.0,1.7902666512,0.464868164063,78.4491297021,-12.5508702979,1.53024,-0.550870297881,,,,,47.335,-117.85361,TWRW1
1401211439,FWS.OTX.20140121.FISHT.01.20140121.143921.3623897358,26,54,171,0.555555555556,85,1.34112,-8.0,-1.11111111111,93.0,1.3426999884,0.198602294922,81.1678972508,-11.8321027492,2.1,-3.83210274921,,,,,47.335,-117.85361,TWRW1
1401171423,FWS.OTX.20140117.FISHT.01.20140117.142303.2891991396,23,54,157,1.11111111111,78,1.78816,-7.0,1.66666666667,85.0,2.2326888696,2.48082885742,66.7358612713,-18.2641387287,2.6,-11.2641387287,,,,,47.35602,-117.82161,TWRW1
1401161441,FWS.OTX.20140116.FISHT.01.20140116.144132.2695389094,23,54,139,4.44444444444,62,3.12928,-9.0,4.44444444444,71.0,2.2326888696,6.15178833008,56.2045602962,-14.7954397038,3.6,-5.79543970379,,,,,47.35602,-117.82161,TWRW1
