date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091712,FWS.OTX.20140409.LAWSO.01.20140409.171247.936642041,26,-139,33,15.0,29,3.57632,10.0,12.7777777778,19.0,3.1278221952,17.1409240723,19.5785077026,0.578507702555,4.56817,-9.42149229745,16.5595031738,23.4439930412,4.2797,5.55600695883,48.17,-118.20889,MDRW1
1404081558,FWS.OTX.20140408.LAWSO.01.20140408.155859.1952397063,26,-139,11,22.7777777778,24,4.4704,-3.0,19.4444444444,27.0,4.9180888464,21.5893188477,24.3739026166,-2.62609738338,6.7,0.373902616616,21.4911743164,30.2344421148,4.94813,-6.2344421148,48.17,-118.20889,MDRW1
1309111714,FWS.OTX.20130911.ANGEL.01.20130911.171414.1378919651892,31,-60,38,23.8888888889,38,4.4704,10.0,25.0,28.0,4.9180888464,24.1994567871,32.3426276954,4.34262769544,4.74044,-5.65737230456,27.3214660645,19.7809226205,7.86302,18.2190773795,46.77167,-121.09,PIFW1
1309101802,FWS.OTX.20130910.ANGEL.01.20130910.180237.1378836152191,32,60,42,22.2222222222,30,3.57632,-3.0,22.7777777778,33.0,5.813222172,23.5822998047,33.0068495103,0.00684951025588,4.02643,3.00684951026,24.9734130859,27.2550294596,7.25203,2.74497054037,46.78,-121.08333,PIFW1
1309102057,FWS.OTX.20130910.NORTH.01.20130910.205700.1378846618504,32,-51,22,27.2222222222,27,2.2352,1.0,30.0,26.0,1.7902666512,28.5499816895,26.8430402764,0.843040276407,2.1,-0.156959723593,27.5150390625,38.612413129,3.45883,-11.612413129,48.32111,-118.98278,BMFW1
1309091852,FWS.OTX.20130909.ANGEL.01.20130909.185215.1378752730766,31,-60,41,26.1111111111,35,4.02336,-3.0,22.7777777778,38.0,4.9180888464,21.6272216797,44.6491436017,6.64914360172,3.26082,9.64914360172,24.6550537109,29.8183552095,10.8153,5.18164479047,46.77167,-121.09,PIFW1
1309032003,FWS.OTX.20130903.MOSES.01.20130903.200318.1378238595819,25,-303,23,22.7777777778,43,4.02336,11.0,26.6666666667,32.0,4.4705221836,20.5370117188,55.694635109,23.694635109,4.88402,12.694635109,23.9110656738,40.7300127151,4.52013,2.26998728485,48.41,-119.03,PEOW1
1309021532,FWS.OTX.20130902.WESTB.01.20130902.153257.1378135974910,13,-12,19,26.6666666667,35,3.57632,-2.0,26.1111111111,37.0,2.2326888696,25.09609375,33.8833825355,-3.11661746453,2.86755,-1.11661746453,23.937890625,42.4966554581,2.18624,-7.49665545807,48.58167,-117.3085,TCFW1
1308231456,FWS.OTX.20130823.CRESC.01.20130823.145600.1377269760517,25,-88,17,21.6666666667,41,2.68224,-1.0,25.5555555556,42.0,1.3426999884,23.3404785156,46.8010405913,4.80104059128,3.89854,5.80104059128,23.7477661133,44.9380743357,2.45282,-3.93807433574,46.95878,-115.77778,TT118
1308232127,FWS.OTX.20130823.BEAR_.01.20130823.212738.1377293258297,27,121,33,26.1111111111,33,4.02336,-16.0,22.7777777778,49.0,1.7902666512,18.241784668,54.2364549301,5.2364549301,3.73268,21.2364549301,17.7096191406,66.3871851956,2.3464,-33.3871851956,46.70015,-121.92862,HGFW1
1308230952,FWS.OTX.20130823.REDSA.02.20130823.095229.1377251549930,3,-32,33,22.2222222222,31,4.02336,-17.0,20.0,48.0,5.3656555092,20.3918701172,34.8938458117,-13.1061541883,5.2741,3.89384581167,19.6728149414,47.6150070524,5.43123,-16.6150070524,46.471,-121.052,PIFW1
1308211543,FWS.OTX.20130821.MARIE.01.20130821.154312.1377099792283,23,-160,25,28.8888888889,14,3.12928,-0.22,29.0,14.22,7.7166666,29.0727783203,16.4402026951,2.22020269515,2.65583,2.44020269515,29.6266723633,14.1585721244,4.89174,-0.158572124443,47.66,-116.545,KCOE
1308211604,FWS.OTX.20130821.CRESC.01.20130821.160454.1377101094874,25,-88,15,23.8888888889,20,2.2352,2.0,27.2222222222,18.0,0.8951333256,28.3734985352,18.9890544152,0.989054415191,1.66962,-1.01094558481,25.1491333008,19.0218481053,1.16489,0.978151894681,46.95878,-115.77778,TT118
1308201601,FWS.OTX.20130820.CRESC.01.20130820.160128.1377014488613,25,-88,26,20.5555555556,30,2.68224,-6.0,23.3333333333,36.0,1.3426999884,25.0927368164,28.3920028274,-7.60799717261,4.23831,-1.60799717261,22.957635498,24.404203669,2.13842,5.59579633101,46.95878,-115.77778,TT118
1308201503,FWS.OTX.20130820.EAGLE.01.20130820.150331.1377011010983,24,43,69,23.8888888889,27,4.91744,8.0,28.3333333333,19.0,2.2326888696,26.9439025879,24.8147482739,5.81474827391,3.22509,-2.18525172609,29.5536437988,18.3651666514,3.83866,8.63483334863,47.6518,-120.5835,OKPW1
1308201645,FWS.OTX.20130820.MARIE.01.20130820.164502.1377017101998,23,-160,34,26.6666666667,20,3.57632,1.53,27.0,18.47,6.68777772,25.8325439453,19.9783337034,1.50833370338,4.1,-0.0216662966189,27.2797180176,15.0706932636,8.54648,4.9293067364,47.66,-116.545,KCOE
1308191722,FWS.OTX.20130819.MARIE.01.20130819.172204.1376932924083,23,-160,26,27.7777777778,28,3.12928,2.94,29.0,25.06,8.23111104,27.3648620605,26.0904422635,1.03044226355,6.23607,-1.90955773645,28.2797180176,26.0483476203,7.36886,1.95165237968,47.66,-116.545,KCOE
1308191550,FWS.OTX.20130819.SWISS.01.20130819.155051.1376927451621,23,-177,31,20.0,37,6.25856,-3.0,21.1111111111,40.0,2.6802555324,18.9320617676,40.2580462449,0.258046244922,6.7,3.25804624492,22.1908508301,25.7976656796,9.83389,11.2023343204,48.78267,-116.51712,SADI1
1308191651,FWS.OTX.20130819.CRESC.01.20130819.165138.1376931098132,25,-88,28,22.2222222222,35,5.81152,4.0,26.1111111111,31.0,2.2326888696,27.2557312012,30.8269895912,-0.173010408767,4.6,-4.17301040877,23.3818908691,33.9253516178,2.31774,1.0746483822,46.95878,-115.77778,TT118
1308181548,FWS.OTX.20130818.SWISS.01.20130818.154851.1376840931134,23,-177,25,22.7777777778,42,4.91744,5.0,22.7777777778,37.0,2.6802555324,,,,,,21.1908508301,27.3326839455,8.34612,14.6673160545,48.78267,-116.51712,SADI1
1308182104,FWS.OTX.20130818.STEMI.01.20130818.210454.1376859894371,33,283,45,27.2222222222,30,5.81152,12.0,27.2222222222,18.0,3.575388858,,,,,,32.254296875,19.3272793941,5.05926,10.6727206059,47.325,-120.2475,FWFW1
1308181543,FWS.OTX.20130818.CRESC.01.20130818.154319.1376840598956,25,-88,36,22.7777777778,36,4.4704,4.0,25.5555555556,32.0,1.3426999884,,,,,,23.1366210938,34.7961359311,2.42738,1.20386406891,46.95878,-115.77778,TT118
1308181757,FWS.OTX.20130818.OLDST.02.20130818.175705.1376848625161,18,38,25,28.3333333333,27,4.02336,1.0,28.3333333333,26.0,5.3656555092,,,,,,28.2060180664,25.3281942216,4.26696,1.67180577843,48.40712,-116.94247,PLKI1
1308172007,FWS.OTX.20130817.BOYER.01.20130817.200713.1376770033378,23,89,32,32.2222222222,27,4.91744,4.0,35.0,23.0,2.6802555324,32.3965698242,28.6867529113,5.68675291129,4.55584,1.68675291129,31.4594360352,37.5043980072,5.58512,-10.5043980072,46.5077,-116.47188,DNFI1
1308171553,FWS.OTX.20130817.CRESC.01.20130817.155347.1376754827673,25,-88,29,22.2222222222,43,4.02336,-2.0,25.5555555556,45.0,0.8951333256,26.4600158691,39.10718588,-5.89281411998,3.33752,-3.89281411998,23.7432189941,50.2173263654,2.16088,-7.21732636541,46.95878,-115.77778,TT118
1308171620,FWS.OTX.20130817.DUSTY.01.20130817.162047.1376756447318,28,24,35,21.1111111111,39,5.36448,2.0,24.4444444444,37.0,2.2326888696,21.9767700195,43.1003486656,6.10034866558,5.79908,4.10034866558,25.8445983887,31.954059149,2.64482,7.04594085097,48.73472,-116.9673,SADI1
1308161648,FWS.OTX.20130816.DUSTY.01.20130816.164841.1376671721280,28,24,34,23.3333333333,40,5.81152,3.0,22.7777777778,37.0,2.6802555324,23.3353210449,44.79807238,7.79807237999,5.72499,4.79807237999,28.8445678711,21.8631334703,2.74857,18.1368665297,48.73472,-116.9673,SADI1
