date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091455,FWS.PAH.20140409.EDWAR.01.20140409.145551.1894098104,22,58,245,17.7777777778,32,3.12928,-1.65,17.0,33.65,6.68777772,17.2499938965,36.5489317756,2.89893177565,4.1,4.54893177565,18.1456542969,31.8865250138,4.84524,0.113474986227,36.95794,-88.4975,KM25
1404091234,FWS.PAH.20140409.BOOMI.01.20140409.123413.3950278497,3,160,86,19.4444444444,24,2.68224,4.0,22.7777777778,20.0,1.3426999884,18.0594116211,30.1019402575,10.1019402575,3.6,6.10194025751,20.3561340332,27.2449042067,3.87387,-3.24490420673,37.1873,-91.15792,CRRM7
1404011450,FWS.PAH.20140401.FERNN.02.20140401.145007.507168197,16,32,70,21.6666666667,19,2.68224,-8.0,23.3333333333,27.0,5.3656555092,20.0272155762,48.5222495717,21.5222495717,3.6,29.5222495717,23.6807495117,26.8533131204,4.91326,-7.85331312041,36.765,-90.74306,DFSM7
1404011445,FWS.PAH.20140401.FERNN.02.20140401.144553.2370882975,16,32,75,21.6666666667,19,2.68224,-8.0,23.3333333333,27.0,5.3656555092,20.0272155762,48.5222495717,21.5222495717,3.6,29.5222495717,23.6807495117,26.8533131204,4.91326,-7.85331312041,36.765,-90.74306,DFSM7
1404011231,FWS.PAH.20140401.BOOMI.02.20140401.123147.2345660286,3,121,269,20.5555555556,37,2.2352,14.0,23.8888888889,23.0,1.7902666512,20.6768432617,38.0396801039,15.0396801039,4.1,1.03968010388,22.9887329102,20.8416035972,2.86765,16.1583964028,37.1873,-91.15792,CRRM7
1404011226,FWS.PAH.20140401.BLOWD.01.20140401.122644.1562442326,22,-57,154,19.4444444444,38,3.12928,11.82,20.0,26.18,4.62999996,17.9218994141,44.003925194,17.823925194,4.1,6.00392519396,17.0625549316,32.261315614,3.44452,5.738684386,37.80167,-89.50306,KMDH
1404011842,FWS.PAH.20140401.BLOWD.02.20140401.184236.3542300100,22,-57,222,18.8888888889,21,3.12928,-5.18,20.0,26.18,4.62999996,17.9218994141,44.003925194,17.823925194,4.1,23.003925194,17.0625549316,32.261315614,3.44452,-11.261315614,37.80167,-89.50306,KMDH
1404011727,FWS.PAH.20140401.MUSTA.01.20140401.172716.1654030102,43,-27,63,21.1111111111,20,1.78816,-6.18,20.0,26.18,4.62999996,19.4312988281,46.4652882994,20.2852882994,3.6,26.4652882994,21.0309997559,30.8845391198,3.26288,-10.8845391198,37.4387,-89.48102,KMDH
1404011434,FWS.PAH.20140401.BLOWD.02.20140401.143437.1212811644,22,-57,26,18.8888888889,21,3.12928,-5.18,20.0,26.18,4.62999996,17.9218994141,44.003925194,17.823925194,4.1,23.003925194,17.0625549316,32.261315614,3.44452,-11.261315614,37.80167,-89.50306,KMDH
1404011718,FWS.PAH.20140401.MUSTA.01.20140401.171830.300267028,43,-27,72,21.1111111111,20,1.78816,-6.18,20.0,26.18,4.62999996,19.4312988281,46.4652882994,20.2852882994,3.6,26.4652882994,21.0309997559,30.8845391198,3.26288,-10.8845391198,37.4387,-89.48102,KMDH
1403311445,FWS.PAH.20140331.TA18_.01.20140331.144554.2979968684,4,44,105,22.2222222222,28,4.02336,13.0,26.1111111111,15.0,3.1278221952,22.7499938965,31.4689567507,16.4689567507,5.7,3.46895675073,22.7272277832,19.8120075779,4.11181,8.18799242214,36.626,-87.588,FCRT1
1403261228,FWS.PAH.20140326.THEHO.01.20140326.122838.223657261,15,29,212,10.0,22,2.2352,6.0,11.1111111111,16.0,3.1278221952,10.4316650391,21.7878448388,5.78784483879,3.43862,-0.212155161214,9.65758666992,24.9656436696,1.34547,-2.96564366958,36.65,-87.95833,STHT1
1403261958,FWS.PAH.20140326.SLUSH.01.20140325.195854.3663689781,11,185,298,4.44444444444,26,5.81152,2.0,11.1111111111,24.0,2.2326888696,11.2359863281,25.6546423315,1.65464233151,6.07636,-0.345357668492,11.2260070801,23.730919758,5.24717,2.26908024195,37.07791,-91.10511,CRRM7
1403261302,FWS.PAH.20140326.ATWOO.01.20140326.130250.362414304,29,-81,118,9.44444444444,23,4.91744,-6.84,8.9,29.84,5.1444444,9.21282348633,27.3358304122,-2.50416958781,4.6,4.33583041219,8.46679077148,31.5792070949,3.65969,-8.57920709489,37.40611,-89.335,KCGI
1403261232,FWS.PAH.20140326.THREE.01.20140326.123217.2513937615,14,72,208,10.0,22,2.2352,5.0,11.1111111111,17.0,3.1278221952,9.68993530273,23.5170083613,6.51700836127,2.8819,1.51700836127,9.91460571289,25.1862527513,1.45392,-3.18625275131,36.68167,-87.94333,LBLK2
1403241629,FWS.PAH.20140324.LIVIN.01.20140323.162907.2131956083,27,38,29,7.77777777778,30,5.36448,0.65,7.5,29.35,4.62999996,7.98943481445,33.7434583462,4.39345834621,2.6,3.74345834621,7.68688354492,26.4793329359,3.78928,3.52066706413,37.22853,-88.38786,K5M9
1403241157,FWS.PAH.20140324.ONEHO.01.20140324.115720.1433225768,21,-10,63,8.33333333333,27,1.34112,2.0,8.88888888889,25.0,2.6802555324,7.28408203125,34.1810810849,9.18108108494,2.6,7.18108108494,7.87697753906,25.3352776556,3.50656,1.66472234441,37.51567,-88.44883,DSFI2
