date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021242,FWS.PIH.20140402.BURLE.01.20140402.124240.3399867132,33,-190,198,1.66666666667,73,5.36448,33.0,6.11111111111,40.0,6.2607888348,1.85067138672,64.1980728583,24.1980728583,4.43842,-8.80192714172,-0.456030273437,67.7399828966,5.45656,5.26001710339,42.36222,-113.46,RCKI1
1403251455,FWS.PIH.20140325.PEBBL.01.20140325.145537.1830729273,29,46,245,16.6666666667,34,6.25856,10.0,11.6666666667,24.0,6.2607888348,,,,,,10.3182922363,12.5453804079,6.89252,21.4546195921,42.7704,-112.14636,PCNI1
1403241439,FWS.PIH.20140324.PEBBL.01.20140324.143942.2946493980,29,46,261,11.1111111111,20,3.12928,-9.0,8.33333333333,29.0,4.0229555208,10.8080993652,26.7872726039,-2.21272739607,6.36111,6.78727260393,6.59578857422,20.4216166945,3.59026,-0.421616694466,42.7704,-112.14636,PCNI1
1403211749,FWS.PIH.20140321.LEGAC.01.20140320.174930.971948702,16,289,19,8.88888888889,22,4.4704,3.78,6.7,18.22,5.65888884,7.09249267578,24.5850162425,6.36501624246,3.6,2.58501624246,6.72030029297,18.2587104272,2.74791,3.74128957283,43.05806,-112.65667,KPIH
1403191503,FWS.PIH.20140319.LEGAC.02.20140319.150322.3257944661,16,289,117,10.0,19,11.176,1.1,11.1,17.9,7.7166666,,,,,,11.1415649414,18.2863165234,6.86307,0.713683476631,43.05806,-112.65694,KPIH
1403191951,FWS.PIH.20140319.LEGAC.01.20140318.195119.4121705953,16,289,171,5.55555555556,39,4.02336,21.1,11.1,17.9,7.7166666,,,,,,11.1409240723,18.2884437474,6.863,20.7115562526,43.05806,-112.65667,KPIH
1403181641,FWS.PIH.20140318.PEBBL.01.20140318.164103.1688763482,29,46,139,5.55555555556,37,5.36448,-3.0,1.11111111111,40.0,6.7032110532,3.81768188477,52.0783722346,12.0783722346,5.10693,15.0783722346,0.343041992188,44.6736612798,3.98975,-7.67366127983,42.7704,-112.14636,PCNI1
1403171446,FWS.PIH.20140317.PEBBL.01.20140317.144656.3032775829,29,-29,194,7.77777777778,25,13.4112,-47.0,-1.11111111111,72.0,13.8591332136,4.95000610352,38.9808968103,-33.0191031897,16.9446,13.9808968103,3.38536987305,53.8336866936,14.6621,-28.8336866936,42.7704,-112.14636,PCNI1
1403141506,FWS.PIH.20140314.LEGAC.01.20140314.150640.1890191841,16,213,114,12.7777777778,28,17.8816,4.65,15.0,23.35,13.88999988,11.649987793,32.8917603748,9.5417603748,11.3,4.8917603748,14.4298339844,27.0309349392,12.1878,0.969065060763,43.05806,-112.65667,KPIH
1403041607,FWS.PIH.20140304.LEGAC.01.20140304.160748.2718390260,16,136,17,11.1111111111,47,3.57632,6.28,11.1,40.72,10.80333324,10.5200744629,49.8327413672,9.1127413672,8.67505,2.8327413672,10.8399902344,52.1094573998,7.51482,-5.10945739978,43.05806,-112.65722,KPIH
1403031557,FWS.PIH.20140303.LEGAC.01.20140303.155724.739247548,16,136,153,12.2222222222,55,5.36448,10.52,11.7,44.48,7.20222216,10.3925109863,49.5176629366,5.0376629366,8.7,-5.4823370634,9.33999023438,69.3021174798,6.29646,-14.3021174798,43.05806,-112.65722,KPIH
