date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403281928,FWS.PSR.20140328.PURGE.01.20140328.192838.2377906185,12,27,29,28.3333333333,17,3.57632,-1.0,28.3333333333,18.0,2.6802555324,,,,,,27.0192810059,22.9514579526,2.28784,-5.95145795261,32.63728,-114.77047,FTYA3
1403061631,FWS.PSR.20140306.COCOP.01.20140306.163121.3877861011,16,27,9,31.1111111111,13,3.57632,-6.0,30.0,19.0,2.6802555324,,,,,,30.9540039063,22.0363650432,1.76691,-9.03636504321,32.59556,-114.79944,FTYA3
1403051415,FWS.PSR.20140305.COCOP.01.20140305.141555.830801500,16,25,28,30.0,16,4.4704,1.0,31.1111111111,15.0,4.0229555208,,,,,,29.8982177734,19.883402141,2.5139,-3.88340214101,32.5958,-114.7996,FTYA3
1403041340,FWS.PSR.20140304.COCOP.01.20140304.134013.2986455127,16,25,8,28.3333333333,20,2.2352,-4.0,26.6666666667,24.0,4.0229555208,,,,,,26.8399902344,20.7243479059,2.92,-0.724347905927,32.5958,-114.7996,FTYA3
1402171529,FWS.PSR.20140217.FORTU.01.20140217.152902.3734914877,14,28,14,30.5555555556,12,3.57632,0.46,31.1,11.54,5.1444444,29.6980834961,12.3378747333,0.797874733332,2.33157,0.337874733332,31.0822998047,14.0388406698,3.16926,-2.03884066982,32.7235,-114.4617,KNYL
1310211727,FWS.PSR.20131021.LATER.01.20131021.172700.4119732853,9,17,22,32.2222222222,9,2.2352,-4.0,33.3333333333,13.0,1.7902666512,31.2790161133,11.6553986316,-1.34460136836,2.6,2.65539863164,32.3530517578,12.7188126081,3.55239,-3.71881260807,32.73389,-114.67333,FTYA3
1309071232,FWS.PSR.20130907.NORTH.01.20130907.123252.1378557169522,16,16,6,39.4444444444,31,4.91744,1.31,36.7,29.69,4.62999996,38.3793579102,27.4277593132,-2.26224068676,3.61056,-3.57224068676,34.6963134766,37.4996394632,4.49939,-6.49963946325,32.7416,-114.4451,KNYL
1308191930,FWS.PSR.20130819.WHITE.01.20130819.193039.1376940639571,33,280,18,38.8888888889,22,6.7056,5.0,36.1111111111,17.0,4.9180888464,37.7056213379,22.331098115,5.33109811498,5.10096,0.331098114976,38.6971984863,17.9910906674,3.46548,4.00890933256,33.20689,-111.09556,QGLA3
1308182107,FWS.PSR.20130818.WHITE.01.20130818.210706.1376860026526,33,280,15,40.0,27,8.9408,10.0,34.4444444444,17.0,5.3656555092,,,,,,39.6950317383,14.789337748,3.42349,12.210662252,33.20689,-111.09556,QGLA3
1308121744,FWS.PSR.20130812.MOREL.01.20130812.174405.1376329444942,10,24,12,40.0,11,4.4704,-0.0,40.5555555556,11.0,3.1278221952,40.2059875488,8.22730629765,-2.77269370235,3.28308,-2.77269370235,40.457421875,8.7280960328,2.81971,2.2719039672,32.6878,-114.7365,FTYA3
1305311701,FWS.PSR.20130531.DOBBI.03.20130531.170114.1370019674122,18,-17,10,39.4444444444,12,3.57632,-5.14,37.0,17.14,3.60111108,39.4756408691,13.2772730688,-3.86272693119,4.12564,1.27727306881,38.5198608398,14.2039062272,1.85,-2.20390622718,33.363,-112.192,KGYR
1305271548,FWS.PSR.20130527.SOURD.01.20130527.154821.1369669701054,18,40,29,36.1111111111,9,4.4704,-4.33,35.0,13.33,6.17333328,35.7571350098,10.416589078,-2.91341092198,5.7,1.41658907802,34.1696716309,13.52310045,4.51087,-4.52310045004,33.61667,-114.51676,KBLH
1305261852,FWS.PSR.20130526.SOURD.02.20130526.185212.1369594332689,18,40,31,35.5555555556,7,3.57632,0.4,35.6,6.6,9.77444436,35.550012207,6.99750039778,0.397500397784,5.7,-0.00249960221613,33.9291320801,7.4817707346,5.80829,-0.481770734596,33.61667,-114.51676,KBLH
1305231324,FWS.PSR.20130523.ISLAN.01.20130523.132448.1369315488633,18,30,11,33.8888888889,6,6.7056,1.0,36.1111111111,5.0,4.9180888464,34.4056335449,7.04350034721,2.04350034721,5.84109,1.04350034721,34.849786377,4.70884947954,5.1253,1.29115052046,33.02306,-114.61028,SWLC1
1305221351,FWS.PSR.20130522.ISLAN.01.20130522.135102.1369230662034,18,30,12,37.2222222222,9,8.9408,2.0,39.4444444444,7.0,4.9180888464,36.2960754395,8.46915689982,1.46915689982,7.7,-0.530843100178,38.0725952148,6.53414371123,6.11893,2.46585628877,33.02333,-114.61028,SWLC1
1305202101,FWS.PSR.20130520.ISLAN.01.20130520.210116.1369083675862,21,18,23,35.0,7,8.49376,-3.0,33.8888888889,10.0,8.4934777044,35.9525695801,6.47214195434,-3.52785804566,7.19681,-0.527858045659,35.6700378418,7.90486461124,8.19788,-0.904864611242,33.03198,-114.64965,SWLC1
1304251538,FWS.PSR.20130425.AGUAF.01.20130425.153813.1366904293344,4,16,13,30.5555555556,14,6.25856,-7.3,27.0,21.3,8.23111104,29.9870544434,13.0798834082,-8.22011659181,6.2,-0.920116591813,26.8016906738,18.8020959259,6.69498,-4.80209592587,33.3834,-112.3615,KGYR
1304031444,FWS.PSR.20130403.HIGHL.01.20130403.144435.1365000274993,32,-169,14,33.8888888889,9,5.36448,-3.32,32.8,12.32,2.5722222,,,,,,32.6477905273,11.8926799695,3.802,-2.89267996947,32.69167,-115.27333,KIPL
1211061816,FWS.PSR.20121106.MAGGI.01.20121106.181601.1352225761843,39,289,91,31.6666666667,12,3.57632,-1.0,25.5555555556,13.0,5.3656555092,29.0430236816,12.73764815,-0.262351850048,2.66516,0.737648149952,27.366418457,12.4986516719,2.30118,-0.498651671909,34.00403,-111.89083,QHBA3
1211051947,FWS.PSR.20121105.MAGGI.01.20121105.194752.1352144872870,38,271,76,27.7777777778,13,4.4704,4.0,26.1111111111,9.0,7.150777716,27.8672424316,11.8460042137,2.84600421367,3.50585,-1.15399578633,27.577355957,11.1733701591,3.45742,1.82662984093,33.99889,-111.90306,QHBA3
1210011441,FWS.PSR.20121001.PETER.01.20121001.144118.1349102470162,26,100,18,41.6666666667,7,5.36448,2.0,41.6666666667,5.0,3.1278221952,41.2454162598,7.67727225591,2.67727225591,3.1,0.677272255908,40.7137084961,8.89072276206,3.89107,-1.89072276206,33.9107,-114.5089,RVYC1
1208151440,FWS.PSR.20120815.QUEEN.01.20120815.144002.PHXFWSPSR,28,194,19,33.3333333333,32,5.36448,9.0,35.5555555556,23.0,5.813222172,36.8158203125,25.1036085097,2.10360850971,5.78322,-6.89639149029,29.7898803711,46.1452020783,4.2942,-14.1452020783,33.3275,-111.0698,QGLA3
1208142124,FWS.PSR.20120814.POPCO.01.20120814.212413.PHXFWSPSR,17,21,28,34.4444444444,21,4.4704,-4.0,31.6666666667,25.0,3.1278221952,33.4067626953,19.7474849108,-5.25251508919,3.57178,-1.25251508919,33.1654602051,23.9638049224,6.18829,-2.96380492237,33.68919,-110.25111,QHTA3
1208142118,FWS.PSR.20120814.POPCO.01.20120814.211805.PHXFWSPSR,17,21,22,34.4444444444,21,4.4704,-4.0,31.6666666667,25.0,3.1278221952,33.4067626953,19.7474849108,-5.25251508919,3.57178,-1.25251508919,33.1654602051,23.9638049224,6.18829,-2.96380492237,33.68919,-110.25111,QHTA3
1208101644,FWS.PSR.20120810.MISTA.01.20120810.164419.PHXFWSPSR,27,219,20,39.4444444444,14,6.25856,5.0,36.1111111111,9.0,5.3656555092,38.050012207,14.7305103856,5.73051038562,5.1501,0.730510385623,36.715814209,11.2700854636,1.53605,2.72991453643,33.89565,-111.1279,QPVA3
1208092001,FWS.PSR.20120809.MISTA.01.20120809.200102.PHXFWSPSR,27,219,19,38.8888888889,17,6.7056,4.0,35.5555555556,13.0,3.575388858,37.5269714355,18.3091098213,5.30910982127,3.6,1.30910982127,35.7327819824,19.3412973097,5.35059,-2.34129730967,33.89565,-111.1279,QPVA3
1207151459,FWS.PSR.20120715.SALOM.01.20120715.145956.385707137,22,259,13,28.3333333333,44,5.36448,15.0,29.4444444444,29.0,1.3426999884,31.3410888672,34.9026032403,5.90260324035,5.10117,-9.09739675965,29.2385803223,42.0113191507,3.38246,1.98868084927,33.80733,-111.12667,TR075
1207131633,FWS.PSR.20120713.CAVEC.01.20120713.163325.168497159,8,40,16,30.5555555556,31,6.25856,-0.0,30.0,31.0,3.1278221952,29.1904846191,31.5092145882,0.509214588249,5.7,0.509214588249,28.6101013184,30.5961482041,4.70676,0.403851795878,33.645,-110.33472,QHTA3
1206101357,FWS.PSR.20120610.COMET.01.20120610.135722.457308856,35,-295,9,36.6666666667,10,5.36448,1.23,39.0,8.77,5.1444444,35.4145446777,10.4221234245,1.65212342446,6.7,0.422123424463,35.4467102051,10.0362654494,4.67639,-0.0362654494147,33.29778,-111.26611,KIWA
1205131724,FWS.PSR.20120513.SUNFL.01.20120513.172411.407078369,34,175,27,33.3333333333,7,5.36448,2.0,32.2222222222,5.0,4.4705221836,25.3806396484,8.08210258654,3.08210258654,6.45321,1.08210258654,27.8502441406,6.48699852735,7.55033,0.513001472652,33.95089,-111.45167,QPAA3
1204251429,FWS.PSR.20120425.COUNT.01.20120425.142913.731592011,12,-4,23,31.6666666667,20,4.4704,6.0,33.3333333333,14.0,3.1278221952,30.4484802246,17.9981799479,3.9981799479,5.7,-2.0018200521,33.4824768066,12.3680532067,4.53547,7.63194679325,33.41586,-114.66056,CBRA3
1204251608,FWS.PSR.20120425.CAMPF.01.20120425.160825.565900072,27,-302,12,31.6666666667,8,5.36448,-1.55,32.2,9.55,4.11555552,30.8068786621,11.6474826209,2.0974826209,6.18533,3.6474826209,34.7288146973,11.6450153624,1.387,-3.6450153624,33.82367,-111.73353,KSDL
1204111845,FWS.PSR.20120411.PEEPO.01.20120411.184537.021035630,13,-3,41,26.6666666667,21,7.59968,-4.45,24.0,25.45,6.17333328,26.3714538574,16.4205661916,-9.0294338084,6.7,-4.5794338084,24.0243774414,24.9283022096,6.88056,-3.92830220956,33.38306,-112.23917,KGYR
1204050822,FWS.PSR.20120405.BAILO.01.20120405.082247.724429549,16,5,25,30.5555555556,12,4.4704,2.0,30.5555555556,10.0,4.4705221836,,,,,,30.2968383789,11.3391906329,4.05677,0.660809367115,32.58472,-114.79167,FTYA3
1204031624,FWS.PSR.20120403.NEWSU.01.20120403.162402.929472448,9,-5,18,30.0,10,4.4704,3.71,28.9,6.29,6.17333328,28.895135498,8.93623657536,2.64623657536,5.22294,-1.06376342464,28.5130859375,13.0237070668,4.76671,-3.02370706679,32.74889,-114.58778,KNYL
1203261804,FWS.PSR.20120326.SLEW_.01.20120326.180444.499189772,35,-234,16,23.3333333333,22,4.91744,7.0,24.4444444444,15.0,2.6802555324,22.8957458496,21.0698668424,6.06986684241,3.1,-0.930133157592,22.7028137207,21.2003982991,3.90348,0.79960170091,34.13,-114.35528,RVYC1
1203251502,FWS.PSR.20120325.SLEW_.01.20120325.150206.628615226,35,-254,27,27.2222222222,15,8.9408,-1.0,27.7777777778,16.0,10.7313110184,27.2551513672,17.6121084772,1.61210847716,9.8,2.61210847716,27.0837646484,20.957682056,8.05565,-5.95768205599,34.12167,-114.35556,RVYC1
1203161601,FWS.PSR.20120316.SENAT.01.20120316.160104.529261916,1,25,17,30.0,16,4.91744,1.0,31.1111111111,15.0,4.0229555208,29.482232666,14.8195318195,-0.180468180549,4.29333,-1.18046818055,29.3845153809,21.5132096057,4.81567,-5.51320960575,32.90028,-114.48611,SWLC1
1203071657,FWS.PSR.20120307.ARLIN.01.20120307.165728.540854410,18,6,15,17.2222222222,14,8.9408,1.83,15.0,12.17,8.23111104,16.663873291,15.0508217828,2.88082178278,6.41104,1.05082178278,15.1556640625,11.8248089875,5.21669,2.1751910125,33.27861,-112.78028,KBXK
1202231908,FWS.PSR.20120223.MULCH.01.20120223.190825.837536761,3,7,24,25.5555555556,17,5.81152,1.01,25.3,15.99,3.08666664,24.7763000488,19.3227775205,3.33277752047,3.6,2.32277752047,26.138482666,15.902155218,2.26189,1.09784478203,33.5108,-112.406,KLUF
1111041643,FWS.PSR.20111104.COTTO.01.20111104.164310.946880274,11,-10,24,27.2222222222,20,15.6464,1.78,26.0,18.22,9.25999992,26.149987793,22.1971792877,3.97717928767,12.9,2.19717928767,26.7421203613,18.5328036772,5.5077,1.46719632282,33.51,-112.17,KGEU
1110191454,FWS.PSR.20111019.TANK_.01.20111019.145406.232759131,9,30,8,37.2222222222,12,4.4704,3.0,38.3333333333,9.0,3.575388858,36.2171264648,13.228666971,4.22866697099,3.66289,1.22866697099,35.8370605469,17.6555328472,2.87932,-5.65553284718,32.8225,-114.48028,SWLC1
1108311340,FWS.PSR.20110831.EDISO.01.20110831.134020.873031618,4,-3,17,45.0,8,4.4704,6.0,45.0,2.0,4.4705221836,43.9185424805,9.64111943688,7.64111943688,5.1,1.64111943688,45.396081543,4.22521829583,5.10162,3.77478170417,33.27083,-114.67528,CBRA3
