date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091305,FWS.RAH.20140409.CALLO.01.20140409.130547.4121868812,19,12,145,21.1111111111,32,4.02336,3.6,20.2,28.4,5.65888884,20.550012207,32.168124418,3.76812441805,5.7,0.168124418047,19.670892334,31.4550811055,3.77091,0.544918894481,35.029,-79.286,KHFF
1404021055,FWS.RAH.20140402.CATTA.01.20140402.105545.394584189,10,-41,125,28.8888888889,22,3.57632,6.0,30.0,16.0,2.6802555324,27.7499938965,21.6518326915,5.65183269145,5.1,-0.348167308549,29.5207763672,17.8934501869,3.25901,4.10654981306,35.39778,-79.97417,UNFN7
1404011325,FWS.RAH.20140401.APGI4.01.20140401.132514.1021319339,9,4,155,25.0,24,2.68224,6.92,26.9,17.08,3.60111108,26.2538696289,22.2973458386,5.21734583861,4.45206,-1.70265416139,27.251550293,17.3324179776,3.19664,6.66758202237,35.49783,-80.1885,KVUJ
1404011043,FWS.RAH.20140401.TOWER.01.20140401.104353.3271788147,11,-33,167,24.4444444444,25,2.68224,13.0,28.3333333333,12.0,2.2326888696,23.6035705566,25.6035941465,13.6035941465,4.1,0.603594146535,26.6039367676,16.1864809583,3.17526,8.81351904173,35.45028,-79.94278,UNFN7
1403311240,FWS.RAH.20140331.MYRIC.01.20140331.124037.3962879367,10,12,260,22.2222222222,22,2.2352,12.0,25.0,10.0,1.7902666512,21.1385742188,21.6307729905,11.6307729905,3.6,-0.369227009455,23.4137207031,13.4773298809,2.4047,8.52267011907,35.37685,-79.75477,UNFN7
1403311251,FWS.RAH.20140331.APGI4.01.20140331.125137.2415431132,9,4,219,22.2222222222,22,2.2352,6.73,22.6,15.27,3.08666664,22.2847839355,19.257714129,3.987714129,2.74793,-2.742285871,23.1310668945,15.8672357265,1.73142,6.13276427351,35.49783,-80.1885,KVUJ
1403281419,FWS.RAH.20140328.CLIFF.01.20140328.141934.4177784677,13,2,71,22.2222222222,52,4.4704,2.03,23.0,49.97,6.68777772,21.649987793,56.980787261,7.01078726103,6.78251,4.98078726103,22.3014160156,51.843039074,6.2722,0.156960925992,35.23,-77.89,KGSB
1403271256,FWS.RAH.20140327.LIBER.01.20140327.125636.3310063996,12,-18,184,15.5555555556,26,4.4704,7.0,16.6666666667,19.0,2.6802555324,14.8504272461,27.2589605289,8.25896052892,6.2,1.25896052892,15.5926452637,23.8178971525,4.02009,2.18210284747,35.32318,-79.99497,UNFN7
1403271300,FWS.RAH.20140327.WISNE.01.20140327.130030.345735721,14,-102,180,14.4444444444,28,4.4704,9.0,16.6666666667,19.0,2.6802555324,13.9340759277,27.6507477776,8.65074777758,6.2,-0.349252222417,14.9206481934,23.8361171162,4.05935,4.16388288384,35.49178,-79.91802,UNFN7
1403271317,FWS.RAH.20140327.BLKC9.01.20140327.131734.4028912659,0,12,133,14.4444444444,25,4.4704,6.0,15.5555555556,19.0,4.4705221836,14.4500061035,24.4464644948,5.44646449484,6.2,-0.553535505163,15.0583740234,21.4251182398,3.34677,3.57488176023,35.97639,-79.08528,DKFN7
1403241418,FWS.RAH.20140324.FOWLE.01.20140324.141848.294525494,3,30,42,10.0,26,2.68224,0.07,11.7,25.93,3.60111108,9.45000610352,27.5534481388,1.62344813882,4.6,1.55344813882,10.8967834473,31.5196937942,3.47818,-5.51969379424,34.97933,-78.83833,KFAY
1403211139,FWS.RAH.20140321.CATTA.01.20140321.113951.912261208,10,-41,141,20.5555555556,24,2.68224,5.0,21.1111111111,19.0,0.0,19.4500061035,24.9036090779,5.90360907786,4.08953,0.903609077864,19.2340637207,25.4852465894,2.35543,-1.48524658936,35.39972,-79.97472,UNFN7
1403211322,FWS.RAH.20140321.STONY.01.20140321.132237.2439445315,10,21,248,21.1111111111,23,2.68224,0.02,20.1,22.98,4.62999996,19.6338745117,24.0559973053,1.07599730533,4.1,1.05599730533,19.3747497559,25.5808998494,2.34448,-2.58089984939,35.32557,-80.14375,KVUJ
1403141210,FWS.RAH.20140314.DURC7.01.20140314.121056.602835867,10,22,140,15.5555555556,18,3.57632,3.0,16.6666666667,15.0,4.9180888464,15.7839599609,18.3626701725,3.36267017251,5.1,0.362670172514,16.0128723145,18.1109878824,4.45139,-0.110987882402,36.02611,-78.99639,DKFN7
1403131159,FWS.RAH.20140313.PEEDE.01.20140313.115943.2222667960,4,22,11,8.88888888889,18,4.4704,9.0,10.6,9.0,8.23111104,8.35,18.1985450743,9.19854507433,6.70347,0.198545074327,10.2630554199,16.483539681,4.94467,1.51646031904,35.06139,-80.08917,KAFP
1403111005,FWS.RAH.20140311.TOMMA.01.20140311.100520.1730962654,10,-4,235,25.5555555556,28,2.68224,3.9,24.5,24.1,5.65888884,23.4452148438,35.9568679301,11.8568679301,3.1,7.95686793005,25.4973083496,24.0369866657,2.45085,3.96301333435,35.44611,-80.04583,KVUJ
1403101145,FWS.RAH.20140310.WESTM.01.20140310.114507.1027633699,10,12,135,22.2222222222,27,2.68224,9.0,22.7777777778,18.0,0.0,19.9500061035,33.5820697532,15.5820697532,4.6,6.58206975317,22.6013427734,22.8048970445,2.55712,4.19510295547,35.30222,-79.95389,UNFN7
1403061249,FWS.RAH.20140306.ROBED.01.20140306.124920.1660423912,7,12,131,5.0,50,4.4704,9.0,5.55555555556,41.0,2.2326888696,4.45000610352,54.8100478074,13.8100478074,6.76836,4.81004780737,5.25951538086,47.5266331674,5.88724,2.47336683259,35.3,-79.89,UNFN7
1403021358,FWS.RAH.20140302.BRIDG.01.20140302.135851.2784198295,6,-3,122,19.4444444444,42,3.12928,7.0,21.6666666667,35.0,2.2326888696,19.4500061035,43.3347718776,8.33477187756,5.1,1.33477187756,22.0211120605,33.7554492172,4.52,8.24455078282,35.31056,-79.84,UNFN7
1402281239,FWS.RAH.20140228.HOODE.02.20140228.123909.3223766204,7,-64,21,6.11111111111,20,3.57632,-3.0,10.0,23.0,0.4475666628,6.19860229492,19.7628883477,-3.23711165226,3.6,-0.237111652261,8.89800415039,21.6218426448,4.33852,-1.62184264482,35.4092,-79.92858,UNFN7
1402281350,FWS.RAH.20140228.AUMAN.01.20140228.135034.2836101017,11,46,10,6.66666666667,18,3.12928,-8.63,8.7,26.63,5.65888884,6.49022827148,18.5671990323,-8.06280096768,3.44024,0.567199032318,9.12478027344,21.4701276722,4.37849,-3.47012767218,35.516,-80.11733,KVUJ
1402281404,FWS.RAH.20140228.TROYL.01.20140228.140459.1539087834,23,-3,116,5.55555555556,20,33.97504,-3.0,10.0,23.0,0.4475666628,5.55001220703,19.1497482393,-3.85025176071,3.1,-0.850251760708,8.05852661133,22.4962454786,4.68,-2.49624547861,35.57383,-79.855,UNFN7
1402281135,FWS.RAH.20140228.MILLM.02.20140228.113554.2329359849,9,41,205,7.22222222222,19,3.57632,-7.63,8.7,26.63,5.65888884,7.16945800781,18.7693145767,-7.86068542327,3.6,-0.230685423269,9.90242919922,20.8776645774,4.27485,-1.87766457738,35.368,-80.06133,KVUJ
1402271138,FWS.RAH.20140227.SUGAR.02.20140227.113858.202248218,8,-4,202,11.6666666667,19,2.68224,2.95,12.5,16.05,5.65888884,12.7499938965,18.9657352624,2.91573526245,5.1,-0.0342647375514,12.8699890137,17.8949900053,3.91037,1.10500999466,35.3625,-80.0795,KVUJ
1402261340,FWS.RAH.20140226.CALLO.01.20140226.134026.3889946892,18,8,80,7.22222222222,45,2.68224,0.43,6.6,44.57,5.1444444,8.35,38.7508499508,-5.8191500492,4.6,-6.2491500492,7.00377807617,41.671128445,3.72475,3.32887155505,35.0297,-79.2933,KHFF
1402261205,FWS.RAH.20140226.NARRO.02.20140226.120516.3332115926,6,10,20,8.88888888889,34,2.68224,-1.49,9.1,35.49,4.62999996,6.67116699219,33.9825667361,-1.50743326392,4.6,-0.0174332639192,9.39382324219,32.3755961128,3.01222,1.62440388723,35.40917,-80.07444,KVUJ
1402251500,FWS.RAH.20140225.BISHO.01.20140225.150052.3057587553,14,-23,120,14.4444444444,38,2.2352,13.19,17.1,24.81,4.11555552,14.4500061035,39.2332017977,14.4232017977,2.1,1.23320179771,15.7377868652,32.6406406876,2.2998,5.35935931242,35.15,-80.09667,KAFP
1402251336,FWS.RAH.20140225.PLEAS.01.20140225.133633.2968433623,8,-18,31,13.3333333333,37,1.34112,8.0,16.1111111111,29.0,0.4475666628,13.4770751953,37.4290996446,8.42909964457,2.1,0.429099644571,14.4818664551,34.3235210592,1.77635,2.67647894083,35.29417,-79.89222,UNFN7
1402251243,FWS.RAH.20140225.HOODE.02.20140225.124355.84375957,7,-54,257,12.7777777778,37,1.34112,8.0,16.1111111111,29.0,0.4475666628,13.35,36.4589745183,7.45897451831,2.1,-0.541025481687,13.4369445801,32.6400233431,1.65536,4.35997665693,35.40967,-79.93083,UNFN7
1402251246,FWS.RAH.20140225.HOODE.02.20140225.124635.521221898,7,-54,254,12.7777777778,37,1.34112,8.0,16.1111111111,29.0,0.4475666628,13.35,36.4589745183,7.45897451831,2.1,-0.541025481687,13.4369445801,32.6400233431,1.65536,4.35997665693,35.40967,-79.93083,UNFN7
1402251458,FWS.RAH.20140225.RAVEN.01.20140225.145805.2878939134,22,-16,18,13.3333333333,37,1.78816,9.96,14.1,27.04,5.1444444,12.7499938965,33.9224288675,6.88242886749,2.1,-3.07757113251,13.2329345703,31.7140978113,3.3155,5.28590218867,35.45738,-78.90379,KTTA
1402241239,FWS.RAH.20140224.YATES.01.20140224.123929.4227823985,11,-64,81,15.0,27,3.12928,6.0,17.7777777778,21.0,0.0,13.8532653809,29.0730934913,8.07309349125,3.6,2.07309349125,15.8897033691,26.1675789466,2.90694,0.83242105342,35.36361,-79.99111,UNFN7
1402181519,FWS.RAH.20140218.CACRS.01.20140218.151930.1779975950,7,26,101,18.3333333333,30,2.2352,9.12,19.4,20.88,3.60111108,17.7499938965,28.704824811,7.82482481103,3.6,-1.29517518897,18.593560791,24.4860194189,2.5134,5.51398058105,35.18953,-78.88919,KFBG
1402171430,FWS.RAH.20140217.CORBE.01.20140217.143050.2505643930,9,42,5,7.22222222222,45,2.68224,7.0,8.88888888889,38.0,0.4475666628,8.23046264648,45.8369253166,7.83692531657,4.1,0.836925316572,8.59426269531,45.0651426974,3.58561,-0.0651426973572,35.31667,-79.95,UNFN7
1402101244,FWS.RAH.20140210.CARVE.01.20140210.124404.2338585529,5,51,196,6.11111111111,51,2.2352,8.85,8.4,42.15,4.11555552,5.59041748047,50.6040448279,8.45404482789,3.6,-0.39595517211,7.46444091797,44.7937131078,4.39256,6.20628689221,35.17045,-78.89949,KFBG
1402101228,FWS.RAH.20140210.PLEAS.01.20140210.122803.211921339,8,19,152,5.55555555556,52,2.2352,2.0,7.77777777778,50.0,0.4475666628,4.7953125,55.5234785648,5.52347856475,3.1,3.52347856475,6.93255004883,64.0030046077,2.96164,-12.0030046077,35.29222,-79.8925,UNFN7
1402091314,FWS.RAH.20140209.HALLY.01.20140209.131425.106825711,11,8,136,15.0,49,2.68224,3.0,15.0,46.0,0.4475666628,14.4500061035,45.2869029148,-0.713097085214,5.7,-3.71309708521,14.7327514648,50.3712452738,2.6315,-1.37124527379,35.29056,-79.94611,UNFN7
1402091304,FWS.RAH.20140209.HALLY.01.20140209.130445.603362606,11,8,146,15.0,49,2.68224,3.0,15.0,46.0,0.4475666628,14.4500061035,45.2869029148,-0.713097085214,5.7,-3.71309708521,14.7327514648,50.3712452738,2.6315,-1.37124527379,35.29056,-79.94611,UNFN7
1402091246,FWS.RAH.20140209.HALLY.01.20140209.124607.3362317435,11,8,164,15.0,49,2.68224,3.0,15.0,46.0,0.4475666628,14.4500061035,45.2869029148,-0.713097085214,5.7,-3.71309708521,14.7327514648,50.3712452738,2.6315,-1.37124527379,35.29056,-79.94611,UNFN7
1402061549,FWS.RAH.20140206.CLYDE.01.20140206.154958.2659510891,25,14,41,7.22222222222,35,3.12928,-12.28,5.7,47.28,3.60111108,7.24999389648,37.9153497486,-9.36465025142,3.1,2.91534974858,5.96846923828,50.0060176482,3.58153,-15.0060176482,35.43028,-78.89611,KTTA
1401271322,FWS.RAH.20140127.MORRO.01.20140127.132223.830010446,8,74,218,15.0,35,2.68224,0.75,17.4,34.25,5.1444444,12.2499938965,43.2086750558,8.95867505581,7.2,8.20867505581,,,,,35.3715,-80.0685,KVUJ
1401231806,FWS.RAH.20140123.CLIFF.01.20140123.180620.1049539215,12,-89,1,3.88888888889,30,2.2352,1.08,3.6,28.92,3.60111108,4.45000610352,25.7232962928,-3.19670370723,5.7,-4.27670370723,,,,,35.23567,-77.89005,KGSB
1401231432,FWS.RAH.20140123.KEVIN.01.20140123.143200.785156391,22,-38,208,3.33333333333,27,3.57632,4.0,5.0,23.0,4.4705221836,3.85,22.6713109282,-0.328689071772,5.1,-4.32868907177,,,,,35.18267,-79.66583,MKLN7
1401211524,FWS.RAH.20140121.CLIFF.01.20140121.152400.1681035162,13,2,96,14.4444444444,43,3.12928,8.7,15.7,34.3,6.17333328,13.35,44.9652707249,10.6652707249,7.7,1.96527072492,,,,,35.23,-77.89,KGSB
1401211450,FWS.RAH.20140121.DAMTR.01.20140121.145047.1813199287,9,12,130,11.6666666667,50,4.02336,12.0,12.2222222222,38.0,0.4475666628,10.550012207,47.8289416455,9.82894164548,7.7,-2.17105835452,,,,,35.28477,-79.8959,UNFN7
1401201529,FWS.RAH.20140120.ZVPAT.01.20140120.152912.503862973,11,30,151,17.2222222222,26,4.02336,8.0,19.4444444444,18.0,3.575388858,15.550012207,31.2425383222,13.2425383222,5.1,5.24253832223,,,,,34.92983,-79.54567,MKLN7
1401081343,FWS.RAH.20140108.POOLE.01.20140108.134313.1082220135,21,30,197,4.44444444444,19,0.89408,5.0,8.88888888889,14.0,1.7902666512,3.85,19.6603632551,5.66036325507,1.5,0.660363255071,,,,,35.17833,-79.66333,MKLN7
1401071259,FWS.RAH.20140107.GUMSW.01.20140107.125954.1937696154,12,36,181,-3.33333333333,21,3.12928,-2.0,-1.11111111111,23.0,2.6802555324,-4.44998779297,16.4437407604,-6.55625923963,5.1,-4.55625923963,,,,,34.90111,-79.56778,RKGN7
1312181357,FWS.RAH.20131218.CALLO.01.20131218.135750.1053578054,20,8,153,10.5555555556,31,2.68224,6.22,11.1,24.78,4.62999996,9.2169128418,31.9284388126,7.14843881264,4.1,0.928438812639,,,,,35.0269,-79.275,KHFF
1312181356,FWS.RAH.20131218.BENNE.02.20131218.135619.3178576650,14,12,16,9.44444444444,31,2.68224,8.0,11.1111111111,23.0,0.4475666628,8.35,31.0961064032,8.09610640321,4.1,0.096106403206,,,,,35.4885,-79.812,UNFN7
1312171246,FWS.RAH.20131217.CALLO.01.20131217.124614.2720061254,20,11,194,16.6666666667,44,4.02336,12.16,17.3,31.84,5.65888884,16.149987793,36.220848898,4.38084889798,5.94944,-7.77915110202,,,,,35.0423,-79.2791,KHFF
1310301519,FWS.RAH.20131030.ENGLE.01.20131030.151942.3330633664,16,-6,4,25.0,46,3.12928,1.45,26.0,44.55,4.11555552,23.85,48.2691542334,3.7191542334,3.1,2.2691542334,24.1056152344,49.4988616538,3.94877,-3.49886165381,35.27167,-79.155,KPOB
1310231045,FWS.RAH.20131023.PEEDE.01.20131023.104511.1606144408,8,18,135,21.1111111111,50,5.36448,32.96,21.6,17.04,6.68777772,20.6604248047,29.3389079842,12.2989079842,8.10799,-20.6610920158,20.2610107422,27.3128431253,4.41955,22.6871568747,35.09694,-80.065,KAFP
1310211238,FWS.RAH.20131021.BELLS.01.20131021.123806.2946425555,16,-35,7,21.6666666667,41,0.89408,-1.76,20.5,42.76,2.05777776,20.550012207,43.6519865692,0.89198656923,1.5,2.65198656923,20.140222168,49.8584417839,2.54053,-8.85844178387,34.89125,-79.93525,KRCZ
1310051343,FWS.RAH.20131005.NCFSA.01.20131005.134336.896531109,13,-32,197,32.2222222222,37,0.89408,0.52,31.5,36.48,3.60111108,31.649987793,40.7069926909,4.22699269089,2.6,3.70699269089,31.8521972656,38.9856630073,1.14491,-1.98566300727,34.8776,-79.906,KRCZ
1310041219,FWS.RAH.20131004.ANSON.02.20131004.121900.1751978737,16,-35,251,31.6666666667,39,1.78816,-0.16,29.8,39.16,3.08666664,30.550012207,38.8730289912,-0.286971008769,2.6,-0.126971008769,30.8102355957,38.4927266254,1.75215,0.507273374558,34.89117,-79.93517,KRCZ
1310021311,FWS.RAH.20131002.KTHOM.01.20131002.131137.2793356774,17,103,169,29.4444444444,36,0.89408,-9.0,28.8888888889,45.0,0.8951333256,28.4086853027,38.1191268528,-6.88087314725,2.1,2.11912685275,28.7577758789,43.9758567821,1.73011,-7.97585678207,35.20667,-79.87417,UNFN7
1309191318,FWS.RAH.20130919.TUCKE.01.20130919.131805.1379596680466,17,-58,132,25.0,45,0.89408,5.44,27.6,39.56,3.08666664,27.6281066895,38.3628072336,-1.19719276641,1.0,-6.63719276641,26.0266357422,51.8354661483,1.0384,-6.83546614832,35.0573,-80.25894,KAFP
1309191246,FWS.RAH.20130919.MCC__.01.20130919.124612.1379594769243,0,12,254,25.0,46,0.89408,-10.0,25.0,56.0,0.8951333256,27.0200744629,42.1995661993,-13.8004338007,1.32409,-3.80043380067,25.0124755859,55.4022157761,1.43886,-9.40221577607,35.3736,-79.87007,UNFN7
1309171303,FWS.RAH.20130917.MCC__.01.20130917.130326.1379423001137,0,12,8,25.0,39,3.12928,-0.0,26.1111111111,39.0,1.3426999884,24.4500061035,44.9446167942,5.94461679424,5.7,5.94461679424,24.6817260742,36.4783381163,3.677,2.5216618837,35.3736,-79.87007,UNFN7
1309121146,FWS.RAH.20130912.SITEP.01.20130912.114658.1378986416237,11,-25,284,31.6666666667,47,2.2352,-4.0,32.7777777778,51.0,0.0,30.7365966797,49.2374133683,-1.76258663174,3.1,2.23741336826,31.7341247559,50.9319872858,3.1035,-3.93198728582,35.27333,-79.80083,UNFN7
1309111132,FWS.RAH.20130911.SITEP.01.20130911.113224.1378899143655,9,12,298,32.2222222222,46,2.2352,-5.0,32.2222222222,51.0,0.0,31.149987793,46.2930904837,-4.70690951632,3.1,0.293090483683,31.9759460449,47.1849466807,1.99846,-1.18494668065,35.28767,-79.81525,UNFN7
1309111446,FWS.RAH.20130911.JORDA.01.20130911.144611.1378910769609,19,43,74,32.2222222222,43,2.2352,4.0,33.3333333333,39.0,2.2326888696,31.5345703125,43.3070264211,4.30702642106,3.05057,0.307026421055,32.2436157227,45.2431704145,1.68786,-2.24317041453,34.835,-80.25167,JEFS1
1309091354,FWS.RAH.20130909.SITEP.01.20130909.135438.1378734874178,9,12,126,31.1111111111,45,2.2352,-3.0,31.6666666667,48.0,0.0,30.2371154785,48.1490200022,0.149020002185,3.1,3.14902000219,31.4746948242,44.6221560668,2.02859,0.377843933209,35.28767,-79.81525,UNFN7
1309061307,FWS.RAH.20130906.PLEAS.01.20130906.130726.1378472842734,7,50,113,28.3333333333,34,2.68224,-11.0,30.0,45.0,0.0,27.2365966797,48.9195118707,3.91951187075,4.1,14.9195118707,29.4380126953,44.668658501,3.42303,-10.668658501,35.29944,-79.88639,UNFN7
1309061136,FWS.RAH.20130906.NEWSO.02.20130906.113625.1378467380185,13,45,4,28.3333333333,35,2.68224,-10.0,30.0,45.0,0.0,27.2499938965,48.8812005739,3.88120057395,4.1,13.8812005739,28.590020752,45.9152295196,3.02634,-10.9152295196,35.26293,-79.9383,UNFN7
1309051253,FWS.RAH.20130905.PIEDM.01.20130905.125306.1378385583840,18,19,217,32.2222222222,38,1.34112,-7.0,32.2222222222,45.0,0.0,31.4331298828,36.9692867329,-8.03071326713,2.1,-1.03071326713,31.6638122559,48.4814376288,3.76053,-10.4814376288,35.2011,-79.81648,UNFN7
1308291150,FWS.RAH.20130829.ALLEN.01.20130829.115049.1377777049595,11,19,250,32.2222222222,55,2.2352,-8.0,32.2222222222,63.0,0.0,31.3503967285,56.5153149669,-6.48468503306,3.6,1.51531496694,30.5303283691,62.8875080896,4.06659,-7.88750808964,35.29056,-79.94528,UNFN7
1308081601,FWS.RAH.20130808.NCDAW.01.20130808.160151.1375977711822,10,-5,31,32.2222222222,56,1.78816,6.93,33.7,49.07,4.11555552,30.550012207,59.1475234623,10.0775234623,3.6,3.14752346227,32.1774841309,47.6468728552,1.72754,8.35312714481,34.9908,-78.4761,KCTZ
1308081411,FWS.RAH.20130808.CARVE.01.20130808.141148.1375971108247,4,35,109,32.2222222222,55,1.78816,13.19,32.8,41.81,4.11555552,30.5661254883,59.0931832257,17.2831832257,3.1,4.09318322572,32.7042175293,43.7322213829,2.15991,11.2677786171,35.16601,-78.90219,KFBG
1308051232,FWS.RAH.20130805.MONTL.01.20130805.123240.1375705960801,8,6,238,29.4444444444,47,3.57632,-7.0,29.4444444444,54.0,0.0,27.9089904785,48.8748538002,-5.12514619977,2.6,1.87485380023,28.4862304688,52.1204337488,2.95944,-5.12043374877,35.29068,-79.8555,UNFN7
