date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403251841,FWS.REV.20140325.TODDM.01.20140325.184116.2516231364,17,-6,23,16.6666666667,14,6.7056,-8.0,13.8888888889,22.0,11.1737332368,,,,,,12.4251647949,28.2827189128,6.08482,-14.2827189128,38.88417,-119.83111,FISN2
1308270956,FWS.REV.20130827.SIERR.01.20130827.095619.1377597379072,23,226,2,27.2222222222,18,6.25856,-6.0,25.5555555556,24.0,4.4705221836,26.0250488281,19.2089397518,-4.79106024819,7.10868,1.20893975181,24.7409912109,24.6831343665,4.2321,-6.68313436648,39.55694,-120.33333,SMDC1
1308231845,FWS.REV.20130823.SPRIN.01.20130823.184534.1377283534628,38,-106,27,22.2222222222,14,4.4704,6.0,26.6666666667,8.0,6.7032110532,21.7943054199,15.7826312731,7.7826312731,5.70128,1.7826312731,24.3163696289,9.25544292752,6.74461,4.74455707248,38.26,-118.85,BPOC1
1307271151,FWS.REV.20130727.ADAMS.01.20130727.115121.1374925881882,45,-95,264,215.555555556,21,6.7056,-0.0,27.2222222222,21.0,6.2607888348,,,,,,29.7962890625,20.6023500505,4.17395,0.397649949479,39.89639,-120.09972,RNYC1
1307271912,FWS.REV.20130727.ADAMS.01.20130727.191232.1374952352712,45,-95,705,23.3333333333,21,7.59968,-0.0,27.2222222222,21.0,6.2607888348,,,,,,29.7962890625,20.6023500505,4.17395,0.397649949479,39.89639,-120.09972,RNYC1
1307271912,FWS.REV.20130727.ADAMS.01.20130727.191202.1374952322512,45,-95,705,23.3333333333,21,7.59968,-0.0,27.2222222222,21.0,6.2607888348,,,,,,29.7962890625,20.6023500505,4.17395,0.397649949479,39.89639,-120.09972,RNYC1
1307062014,FWS.REV.20130706.S2___.02.20130706.201443.1373141683369,12,-213,20,28.8888888889,11,6.7056,4.0,29.4444444444,7.0,6.2607888348,28.6943603516,13.1831184544,6.18311845439,4.6,2.18311845439,28.0895019531,15.0705507512,4.7135,-4.07055075123,41.91913,-119.64252,CATN2
1307060727,FWS.REV.20130706.BISON.01.20130706.072714.1373095634305,8,-120,26,29.4444444444,11,7.59968,4.0,33.3333333333,7.0,9.8361776928,28.6840148926,12.0862504034,5.08625040338,7.75492,1.08625040338,30.2293029785,9.91491410837,8.85657,1.08508589163,38.87778,-119.56083,FISN2
1307011634,FWS.REV.20130701.YELLO.01.20130701.163415.1372696455292,14,-198,35,31.1111111111,16,4.4704,6.0,36.6666666667,10.0,4.9180888464,34.8009277344,14.6895300742,4.6895300742,4.69544,-1.3104699258,33.2689758301,11.1900259301,5.46756,4.80997406989,41.85667,-119.65361,CATN2
1307011627,FWS.REV.20130701.YELLO.01.20130701.162734.1372696054743,14,-198,28,31.1111111111,16,4.4704,6.0,36.6666666667,10.0,4.9180888464,34.8009277344,14.6895300742,4.6895300742,4.69544,-1.3104699258,33.2689758301,11.1900259301,5.46756,4.80997406989,41.85667,-119.65361,CATN2
