date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1212041215,FWS.RLX.20121204.SKEGG.01.20121204.121515.1354623315531,34,146,20,19.4444444444,52,3.57632,-11.42,18.0,63.42,8.74555548,19.043572998,56.1103732863,-7.30962671368,3.94521,4.11037328632,20.5936828613,54.1602486318,7.88955,-2.16024863175,37.25306,-82.33722,KLNP
1212031028,FWS.RLX.20121203.SKEGG.01.20121203.102816.1354530496224,34,108,12,18.8888888889,52,1.34112,-0.57,20.0,52.57,5.1444444,18.5508056641,56.4151681774,3.84516817742,2.31931,4.41516817742,19.9410949707,56.5681415451,5.1984,-4.56814154506,37.25778,-82.34417,KLNP
1204031400,FWS.RLX.20120403.TEST_.01.20120403.140017.042067179,0,-31,10,22.7777777778,37,2.68224,12.0,25.5555555556,25.0,2.6802555324,25.9413085938,35.4778389503,10.4778389503,3.06025,-1.52216104968,26.9847351074,32.810111927,6.72203,4.18988807297,37.8325,-81.06778,GRNW2
1204031108,FWS.RLX.20120403.REDAS.01.20120403.110819.158301759,15,239,20,25.0,36,2.2352,11.0,25.5555555556,25.0,2.6802555324,25.7913146973,34.7814075742,9.7814075742,2.6,-1.2185924258,26.4427429199,34.0000785144,8.13033,1.99992148559,37.96772,-81.02525,GRNW2
1010311506,FWS.RLX.20101031.MIDNI.02.20101031.150604.636372870,11,177,20,13.8888888889,35,2.68224,-0.0,13.8888888889,35.0,3.1278221952,12.2233215332,44.7200187616,9.72001876158,3.81621,9.72001876158,12.8537536621,41.0443533068,5.72961,-6.04435330683,38.13578,-79.97083,MARW2
1009091248,FWS.RLX.20100909.FORES.01.20100909.124842.903060363,0,56,10,22.7777777778,35,0.44704,-0.0,23.8888888889,35.0,4.4705221836,22.6036621094,35.4511385215,0.451138521541,3.33991,0.451138521541,24.0613952637,34.058295511,4.34176,0.941704488996,38.20035,-81.6196,BEEW2
1005051350,FWS.RLX.20100505.TESTS.01.20100505.135005,13,188,6,27.7777777778,31,2.68224,2.0,27.7777777778,29.0,1.3426999884,27.2671447754,32.4417458501,3.4417458501,4.6,1.4417458501,,,,,37.92833,-81.15556,GRNW2
1004221157,FWS.RLX.20100422.SKEGG.01.20100422.115719,34,131,14,18.3333333333,34,0.44704,2.12,19.0,31.88,5.1444444,18.0876098633,33.013001668,1.13300166796,3.86432,-0.986998332043,,,,,37.26194,-82.36611,KLNP
1004221309,FWS.RLX.20100422.SKEGG.01.20100422.130940,34,131,86,19.4444444444,32,0.89408,0.12,19.0,31.88,5.1444444,18.0876098633,33.013001668,1.13300166796,3.86432,1.01300166796,,,,,37.26194,-82.36611,KLNP
1004221204,FWS.RLX.20100422.SKEGG.01.20100422.120432,34,131,21,19.4444444444,32,0.89408,0.12,19.0,31.88,5.1444444,18.0876098633,33.013001668,1.13300166796,3.86432,1.01300166796,,,,,37.26194,-82.36611,KLNP
0909171358,FWS.RLX.20090917.BARTL.01.20090917.135858,43,40,20,22.7777777778,63,0.44704,3.0,26.1111111111,60.0,1.7902666512,22.6827941895,64.1452071591,4.14520715913,3.1,1.14520715913,24.1299682617,68.6859186887,2.1093,-5.68591868868,37.2435,-82.1849,BRWW2
0909171537,FWS.RLX.20090917.MIDDL.01.20090917.153752,49,-29,20,17.7777777778,70,0.44704,9.0,21.6666666667,61.0,1.7902666512,17.7552734375,70.1924025467,9.19240254674,1.5,0.192402546744,19.7805419922,60.5135498471,3.2551,9.48645015292,38.74722,-79.76222,BDKW2
0909171538,FWS.RLX.20090917.TIMBE.01.20090917.153827,29,154,27,26.1111111111,49,1.34112,-11.32,26.1,60.32,2.5722222,25.677545166,49.9578953425,-10.3621046575,2.6,0.957895342452,26.9210449219,62.1996909483,1.93767,-13.1996909483,38.45152,-81.92109,KCRW
1404210616,FWS.RLX.20140421.FERNC.01.20140421.061654.2802542015,24,271,43,23.8888888889,23,1.34112,7.0,27.2222222222,16.0,2.2326888696,24.376550293,22.7011275652,6.70112756518,3.1,-0.298872434818,26.5452514648,19.2575021665,3.01478,3.74249783347,38.05631,-81.06403,GRNW2
1404230940,FWS.RLX.20140423.FERNC.01.20140423.094020.2302820184,24,271,10,13.3333333333,34,3.57632,4.0,13.8888888889,30.0,2.6802555324,13.9124694824,28.9616759568,-1.03832404316,4.79536,-5.03832404316,15.0963378906,33.0650561075,6.8112,0.934943892532,38.05631,-81.06403,GRNW2
1404241028,FWS.RLX.20140424.FERNC.01.20140424.102822.2950804510,24,271,10,17.2222222222,26,0.44704,10.0,20.0,16.0,1.7902666512,21.0474487305,22.5111425701,6.51114257015,2.6,-3.48885742985,22.4093261719,13.3139197903,1.91916,12.6860802097,38.05631,-81.06403,GRNW2
1404251145,FWS.RLX.20140425.FERNC.01.20140425.114541.1903596053,24,271,23,18.8888888889,69,2.2352,-9.0,17.7777777778,78.0,3.1278221952,19.5020690918,46.5725868072,-31.4274131928,6.86197,-22.4274131928,18.051385498,82.878899944,5.64495,-13.878899944,38.05631,-81.06403,GRNW2
1512061354,FWS.RLX.20151206.STREC.01.20151206.135425.197355083,2,242,6,13.8888888889,27,1.34112,5.0,12.2222222222,22.0,0.8951333256,,,,,,13.7159667969,24.2977037056,3.55609,2.70229629443,37.85464,-81.07808,GRNW2,0
1512071342,FWS.RLX.20151207.STRET.01.20151207.134237.1468080965,13,188,21,8.33333333333,70,0.89408,-5.0,6.66666666667,75.0,0.8951333256,,,,,,7.04183349609,72.6833842482,2.34663,-2.68338424818,37.92764,-81.1555,GRNW2,0
1603241405,FWS.RLX.20160324.RADIO.01.20160324.140508.4103451546,16,96,17,22.2222222222,42,5.36448,-0.0,22.2222222222,42.0,5.3656555092,,,,,,23.125177002,42.8982608497,6.32633,-0.89826084972,38.71414,-83.00307,TS732,0
1604061744,FWS.RLX.20160406.TURKE.01.20160406.174402.1216474953,0,0,26,13.8888888889,24,5.36448,-0.0,14.4444444444,24.0,3.1278221952,,,,,,13.4701477051,26.9016557157,8.93471,-2.90165571574,37.83255,-81.06805,GRNW2,0
1604071037,FWS.RLX.20160407.TURKE.01.20160407.103740.900184387,1,159,22,11.1111111111,58,3.57632,-18.0,9.44444444444,76.0,2.2326888696,,,,,,11.0387817383,66.6264775798,8.43924,-8.62647757979,37.84839,-81.06133,GRNW2,0
1604171504,FWS.RLX.20160417.SQUAH.01.20160417.150419.2103381698,24,201,23,24.4444444444,20,1.34112,13.96,25.0,6.04,6.17333328,,,,,,25.9913269043,13.738592541,2.01565,6.26140745895,37.14333,-82.34556,KLNP,0
1604211429,FWS.RLX.20160421.MOONL.01.20160421.142910.1721455332,0,-39,29,25.0,25,2.68224,1.0,25.5555555556,24.0,2.2326888696,,,,,,24.6350952148,24.4829124925,5.72086,0.517087507532,37.82968,-81.06138,GRNW2,0
