date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021045,FWS.RNK.20140402.GOLDE.01.20140402.104548.4091199622,0,-33,165,23.8888888889,30,3.57632,5.0,25.5555555556,25.0,2.2326888696,22.0011535645,30.8640628229,5.86406282295,4.6,0.864062822948,23.0745483398,29.6284352545,3.30528,0.371564745454,38.0944,-79.8083,MTZC2
1404021559,FWS.RNK.20140402.GILLE.01.20140402.155924.3732172258,5,-91,6,26.1111111111,22,4.4704,1.0,29.4444444444,21.0,3.575388858,22.9053894043,28.9111621686,7.91116216863,5.54459,6.91116216863,26.4524169922,32.2437387575,3.53377,-10.2437387575,36.46617,-80.91917,RAVN7
1404021028,FWS.RNK.20140402.MILLC.02.20140402.102804.3615338784,3,-207,212,26.6666666667,25,4.02336,4.0,28.3333333333,21.0,2.6802555324,24.9290100098,25.564241867,4.56424186698,4.94835,0.564241866978,26.5740905762,22.1664104692,2.78455,2.83358953077,37.60111,-80.01861,TMTC2
1404010855,FWS.RNK.20140401.POWDE.02.20140401.085558.4152154426,1,-26,305,22.7777777778,26,4.4704,14.0,25.5555555556,12.0,4.0229555208,21.4116760254,30.2881280569,18.2881280569,4.79096,4.28812805692,24.5605407715,19.1542294002,3.21965,6.84577059985,37.57917,-80.12139,BDYC2
1404010914,FWS.RNK.20140401.HIDDE.02.20140401.091425.1928417768,0,21,286,21.1111111111,32,4.4704,20.0,26.1111111111,12.0,4.0229555208,19.4913879395,33.1697957788,21.1697957788,5.84214,1.16979577884,23.3281799316,19.3673393543,3.97971,12.6326606457,38.10028,-79.81361,MTZC2
1403241408,FWS.RNK.20140324.BLUES.01.20140323.140834.2396188999,22,80,52,8.33333333333,40,4.02336,26.0,7.77777777778,14.0,3.1278221952,5.67418823242,20.1116442497,6.11164424975,3.6,-19.8883557503,6.90584716797,17.6832226338,2.65187,22.3167773662,37.89967,-79.80867,MTZC2
1403150950,FWS.RNK.20140315.FENWI.01.20140315.095004.1068432230,0,-192,30,16.6666666667,26,5.81152,9.0,19.4444444444,17.0,2.6802555324,15.1958251953,32.9836954486,15.9836954486,6.84176,6.9836954486,17.6385131836,21.5632975823,5.08382,4.43670241771,37.578,-80.052,TMTC2
1403141113,FWS.RNK.20140314.FENWI.01.20140314.111312.3375732688,0,-192,2,15.5555555556,22,5.36448,7.0,18.3333333333,15.0,2.6802555324,15.2070251465,23.7778384639,8.77783846386,6.34176,1.77783846386,16.2741638184,21.1431922352,4.08617,0.856807764806,37.578,-80.052,TMTC2
1403131133,FWS.RNK.20140313.FENWI.01.20140313.113348.518869797,0,-192,2,1.11111111111,20,7.59968,1.0,3.33333333333,19.0,2.6802555324,1.4039855957,20.4160041143,1.41600411431,9.44176,0.416004114314,1.73647460938,22.6744336782,5.80176,-2.67443367824,37.578,-80.052,TMTC2
1403121056,FWS.RNK.20140312.FENWI.01.20140312.105605.2972289638,0,-192,9,20.5555555556,32,9.38784,-15.0,20.5555555556,47.0,4.9180888464,17.3982788086,50.1784314134,3.17843141337,11.4418,18.1784314134,15.2986083984,57.4406034282,8.1121,-25.4406034282,37.578,-80.052,TMTC2
1403121804,FWS.RNK.20140312.FENWI.02.20140312.180414.2211037156,0,-192,9,18.8888888889,68,8.9408,21.0,20.5555555556,47.0,4.9180888464,17.3982788086,50.1784314134,3.17843141337,11.4418,-17.8215685866,15.2986083984,57.4406034282,8.1121,10.5593965718,37.578,-80.052,TMTC2
1403111140,FWS.RNK.20140311.FENWI.02.20140311.114036.1562933369,0,-192,0,22.7777777778,25,4.4704,10.0,26.1111111111,15.0,1.7902666512,20.3487792969,31.0967762647,16.0967762647,4.79489,6.09677626468,23.5583129883,20.5395203651,3.48383,4.46047963492,37.578,-80.052,TMTC2
1403111313,FWS.RNK.20140311.RIDGE.01.20140311.131342.651709693,22,88,137,25.0,20,2.68224,0.67,25.0,19.33,5.65888884,22.5956970215,28.2958230193,8.96582301934,3.1,8.29582301934,24.6525817871,19.304482691,3.6069,0.695517309012,36.06185,-80.92741,KUKF
1403111428,FWS.RNK.20140311.DIFFI.01.20140311.142846.990949258,45,6,62,25.0,29,2.68224,14.06,25.5,14.94,5.1444444,22.3153930664,36.2899840129,21.3499840129,3.1,7.28998401287,25.5060974121,18.3233509195,3.65683,10.6766490805,36.73583,-78.74667,KHNZ
1403111222,FWS.RNK.20140311.BULLE.01.20140311.122219.974827589,23,48,158,20.5555555556,30,4.91744,5.9,18.9,24.1,7.7166666,18.2078186035,41.6268928645,17.5268928645,6.2,11.6268928645,19.1474243164,29.4678175585,3.93983,0.532182441489,36.7593,-81.541,KMKJ
1403101330,FWS.RNK.20140310.BULLE.01.20140310.133030.1392436810,23,48,150,17.2222222222,30,6.7056,-8.29,15.0,38.29,9.77444436,16.0078369141,36.5505134053,-1.73948659472,7.7,6.55051340528,14.4772583008,45.0171357507,6.61141,-15.0171357507,36.7593,-81.541,KMKJ
1403061718,FWS.RNK.20140306.BULLE.01.20140306.171815.4146497587,19,48,3,5.55555555556,47,4.4704,7.89,3.4,39.11,7.20222216,6.52364501953,48.7917623851,9.68176238506,4.6,1.79176238506,3.54790649414,46.8521443106,3.84606,0.147855689394,36.7594,-81.4787,KMKJ
1403051758,FWS.RNK.20140305.DIFFI.01.20140305.175822.3694695068,47,69,62,9.44444444444,37,2.68224,7.17,5.2,29.83,3.60111108,8.85,41.2697432941,11.4397432941,2.6,4.26974329407,6.84996948242,28.3799303802,2.12318,8.62006961982,36.75444,-78.72917,KHNZ
1402281431,FWS.RNK.20140228.CASST.01.20140228.143124.3941674309,29,105,89,7.77777777778,17,2.68224,-6.45,5.5,23.45,4.11555552,5.53176269531,21.5803754804,-1.86962451963,3.1,4.58037548037,6.74959716797,25.1875375692,4.16984,-8.18753756916,36.2275,-80.72233,KMWK
1402251320,FWS.RNK.20140225.CRAIG.01.20140225.132020.471852600,14,57,40,7.22222222222,28,4.91744,-3.0,7.22222222222,31.0,2.2326888696,6.24651489258,34.1957240509,3.19572405088,5.12738,6.19572405088,5.47606811523,34.6688926866,3.04233,-6.66889268665,37.61917,-79.96361,CGVV2
1402171609,FWS.RNK.20140217.DANRI.02.20140217.160942.1551611284,14,39,29,5.55555555556,42,1.34112,0.55,6.1,41.45,2.5722222,6.14998779297,46.4399393706,4.98993937055,2.1,4.43993937055,4.88717041016,51.5897180827,3.01533,-9.58971808268,36.5144,-79.72119,KSIF
