date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091431,FWS.SGF.20140409.KETCH.01.20140408.143137.1671271927,37,43,59,14.4444444444,44,4.4704,21.39,21.0,22.61,6.17333328,19.7622009277,29.9239938381,7.31399383808,4.1,-14.0760061619,21.1923461914,26.6179169778,4.51536,17.3820830222,36.6,-93.8,KFWB
1404051450,FWS.SGF.20140405.GWCAR.01.20140405.145028.2121724205,22,3,70,15.0,32,4.4704,3.9,15.6,28.1,3.60111108,14.9500061035,32.2521123365,4.15211233651,2.69177,0.252112336513,15.5874267578,30.0157012609,3.77558,1.98429873906,36.98543,-94.35435,KJLN
1404050810,FWS.SGF.20140405.BEANH.01.20140405.081002.2208938079,28,90,470,14.4444444444,33,2.2352,2.31,14.0,30.69,4.11555552,14.0141540527,32.8127183766,2.12271837661,2.6,-0.187281623391,14.493157959,35.2845427807,2.67201,-2.28454278074,36.63361,-93.71056,KFWB
1404051243,FWS.SGF.20140405.FORTS.01.20140405.124314.936299541,43,35,287,15.5555555556,31,2.68224,0.87,16.0,30.13,4.62999996,14.8950744629,34.5346906841,4.40469068408,3.1,3.53469068408,15.1838012695,31.9752648501,3.55606,-0.9752648501,37.84278,-94.70472,KPTS
1404011253,FWS.SGF.20140401.SHEEK.01.20140401.125301.3957147212,20,-7,127,20.0,40,3.12928,15.25,22.2,24.75,5.1444444,19.2998596191,39.6962495857,14.9462495857,5.1,-0.303750414343,19.7841125488,28.2468146543,2.54765,11.7531853457,37.04368,-92.01368,KUNO
1404011358,FWS.SGF.20140401.HERMI.01.20140401.135827.773086223,35,60,122,15.5555555556,40,3.12928,6.0,11.6666666667,34.0,3.1278221952,16.0382019043,39.6580726181,5.65807261813,4.1,-0.341927381868,12.4261108398,34.6170148172,3.52707,5.38298518278,37.89167,-93.29639,CMMM7
1404011404,FWS.SGF.20140401.MARIN.01.20140401.140453.479588265,23,-17,236,15.0,37,3.57632,-0.97,13.0,37.97,4.11555552,13.85,41.7588499383,3.78884993827,3.6,4.75884993827,12.0201049805,34.1839290582,3.10806,2.8160709418,38.271,-93.44204,KGLY
1404010926,FWS.SGF.20140401.BEANH.01.20140401.092632.1654529622,28,106,394,21.1111111111,40,4.4704,9.01,22.0,30.99,5.1444444,19.6785522461,47.9477147451,16.9577147451,6.7,7.94771474513,21.2011962891,36.7840541919,3.45384,3.21594580809,36.63361,-93.71056,KFWB
1404011242,FWS.SGF.20140401.NIGHT.01.20140401.124254.3268396616,9,116,258,21.6666666667,41,4.02336,7.05,23.0,33.95,6.17333328,20.2412353516,48.0507894942,14.1007894942,6.2,7.0507894942,22.8567443848,37.8381044819,3.32247,3.1618955181,36.61121,-93.23985,KBBG
1403301120,FWS.SGF.20140330.BIGCR.01.20140330.112045.2818554288,3,15,190,20.5555555556,30,5.81152,3.0,20.5555555556,27.0,3.575388858,20.0427490234,29.3982900462,2.39829004619,6.7,-0.601709953815,19.6393371582,32.3095955855,2.83869,-2.30959558554,36.65222,-92.8275,BEVM7
