date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1208241845,FWS.SGF.20120824.WISHA.01.20120824.184501.STLFWSSGF,32,39,42,31.6666666667,25,5.36448,-2.54,30.0,27.54,7.20222216,32.6345153809,28.9854973595,1.44549735953,6.2,3.98549735953,31.1047607422,30.4707025779,9.52468,-5.4707025779,37.52563,-93.46065,KSGF
1208031252,FWS.SGF.20120803.POTAT.01.20120803.125250.064218593,31,175,17,38.3333333333,30,0.89408,-1.88,37.2,31.88,5.65888884,38.35,31.3012634307,-0.578736569292,1.5,1.30126343071,36.6123901367,37.0354951352,4.40114,-7.03549513524,36.715,-92.2,KUNO
1208021320,FWS.SGF.20120802.POTAT.01.20120802.132021.053177144,31,175,12,37.2222222222,37,2.2352,0.7,35.6,36.3,6.68777772,37.1977783203,35.6791065538,-0.620893446212,3.14352,-1.32089344621,37.6437316895,35.0217277055,5.92072,1.97827229448,36.715,-92.2,KUNO
1208011547,FWS.SGF.20120801.POTAT.01.20120801.154700.229362896,31,175,39,37.2222222222,29,3.12928,1.91,37.8,27.09,4.62999996,37.7499938965,27.0801030943,-0.00989690572059,2.1,-1.91989690572,36.8369995117,35.9340394041,4.50085,-6.9340394041,36.715,-92.2,KUNO
1208011931,FWS.SGF.20120801.POTAT.01.20120801.193142.792571986,31,175,263,38.3333333333,25,4.4704,-2.09,37.8,27.09,4.62999996,37.7499938965,27.0801030943,-0.00989690572059,2.1,2.08010309428,36.8369995117,35.9340394041,4.50085,-10.9340394041,36.715,-92.2,KUNO
1207311043,FWS.SGF.20120731.POTAT.01.20120731.104312.553973120,31,175,224,38.8888888889,25,1.34112,-23.38,31.7,48.38,4.11555552,37.7499938965,26.057490174,-22.322509826,2.1,1.05749017398,33.2470031738,41.4135126896,3.82833,-16.4135126896,36.715,-92.2,KUNO
1207291829,FWS.SGF.20120729.POTAT.01.20120729.182921.980764361,31,175,12,38.8888888889,23,4.02336,-5.6,36.1,28.6,5.65888884,38.8064819336,19.7875779838,-8.81242201616,3.14971,-3.21242201616,39.1202941895,26.6657112958,5.18245,-3.66571129584,36.715,-92.2,KUNO
1108281524,FWS.SGF.20110828.PINER.01.20110828.152434.737569885,41,45,34,34.4444444444,29,1.78816,-3.67,36.0,32.67,3.60111108,34.4500061035,31.2184443478,-1.4515556522,2.1,2.2184443478,35.5039001465,25.333356376,4.01095,3.66664362404,36.69889,-93.62889,KHFJ
1104081042,FWS.SGF.20110408.SOUTH.01.20110408.104258.015037587,34,29,11,27.7777777778,56,4.4704,1.1,29.0,54.9,5.1444444,27.7499938965,50.9226739737,-3.9773260263,6.63108,-5.0773260263,29.5635314941,48.7535705204,5.42963,7.24642947965,36.84,-94.39,KHFJ
1102231525,FWS.SGF.20110223.OUTSI.01.20110223.152514.411872669,15,21,9,14.4444444444,44,5.36448,-8.57,20.6,52.57,9.77444436,15.550012207,62.2311422717,9.66114227168,6.7,18.2311422717,19.9994750977,54.3537883128,6.96714,-10.3537883128,37.04293,-94.59718,KJLN
1002281036,FWS.SGF.20100228.BLACK.01.20100301.103609,7,53,117,9.44444444444,33,3.57632,20.0,11.6666666667,13.0,0.8951333256,10.6053100586,19.7127452357,6.71274523567,3.6,-13.2872547643,,,,,36.59167,-92.82278,BEVM7
1002281004,FWS.SGF.20100228.BLACK.01.20100228.100459,7,53,85,10.5555555556,24,2.2352,11.0,11.6666666667,13.0,0.8951333256,10.6053100586,19.7127452357,6.71274523567,3.6,-4.28725476433,,,,,36.59167,-92.82278,BEVM7
1002281827,FWS.SGF.20100228.BLACK.01.20100228.182723,7,53,588,10.0,12,1.34112,-1.0,11.6666666667,13.0,0.8951333256,10.6053100586,19.7127452357,6.71274523567,3.6,7.71274523567,,,,,36.59167,-92.82278,BEVM7
1504011752,FWS.SGF.20150401.18690.01.20150401.175247.3694361684,24,32,14,25.5555555556,33,6.25856,3.22,23.4,29.78,8.23111104,24.3037353516,36.2027289562,6.42272895619,7.2,3.20272895619,24.2885986328,31.1037605788,5.9841,1.89623942123,37.83,-91.88778,KTBN,0
1510131205,FWS.SGF.20151013.LITTL.01.20151013.120545.1540777895,20,78,9,23.3333333333,28,4.4704,5.0,22.7777777778,23.0,4.4705221836,,,,,,23.775994873,18.1829684299,5.87936,9.81703157007,37.01236,-92.12083,MGRM7,0
1602022145,FWS.SGF.20160202.SHELL.01.20160202.214519.3266221900,19,151,5,18.3333333333,22,8.04672,4.69,17.0,17.31,10.80333324,,,,,,17.056451416,20.4557194795,8.02789,1.54428052047,36.5523,-93.5289,KFWB,0
1602132110,FWS.SGF.20160213.BIGCR.01.20160213.211054.1314859859,3,-45,11,3.33333333333,17,3.57632,1.0,3.33333333333,16.0,3.575388858,,,,,,4.91793212891,14.5069268112,3.42151,2.49307318879,36.66972,-92.83528,BEVM7,0
1602282046,FWS.SGF.20160228.HONEY.01.20160228.204632.3463775304,11,89,9,19.4444444444,52,7.15264,4.0,18.8888888889,48.0,9.8361776928,,,,,,19.5974975586,48.8387751534,11.0327,3.16122484662,37.0729,-92.1925,MGRM7,0
1603291538,FWS.SGF.20160329.POLEH.01.20160329.153800.3733069955,4,-20,6,20.0,26,5.36448,4.0,20.0,22.0,5.3656555092,,,,,,20.1391235352,25.8898181835,4.85855,0.110181816469,36.68306,-92.89111,BEVM7,0
1603301119,FWS.SGF.20160330.POLEH.01.20160330.111959.507006776,4,-20,1,18.8888888889,45,5.36448,-16.0,18.3333333333,61.0,5.3656555092,,,,,,19.6996398926,57.1950388439,6.1552,-12.1950388439,36.68306,-92.89111,BEVM7,0
1603311732,FWS.SGF.20160331.POLEH.01.20160331.173243.2433412313,4,-23,17,21.6666666667,36,5.36448,-11.0,20.0,47.0,5.3656555092,,,,,,20.4267822266,49.083022887,6.90992,-13.083022887,36.68306,-92.89111,BEVM7,0
1604011022,FWS.SGF.20160401.POLEH.01.20160401.102259.2595004571,4,-23,5,15.5555555556,28,4.4704,-4.0,13.8888888889,32.0,5.813222172,,,,,,14.0454650879,36.5165345403,6.03715,-8.51653454029,36.68306,-92.89111,BEVM7,0
1604011944,FWS.SGF.20160401.POLEH.01.20160401.194454.2969389440,4,-23,567,15.5555555556,29,4.4704,-3.0,13.8888888889,32.0,5.813222172,,,,,,14.0454650879,36.5165345403,6.03715,-7.51653454029,36.68306,-92.89111,BEVM7,0
1604021817,FWS.SGF.20160402.POLEH.01.20160402.181731.412187864,4,-23,489,17.7777777778,22,7.15264,-3.0,17.7777777778,25.0,6.7032110532,,,,,,18.3012634277,28.8544281999,7.27227,-6.85442819986,36.68306,-92.89111,BEVM7,0
1604021013,FWS.SGF.20160402.POLEH.01.20160402.101306.536047664,4,-23,5,17.7777777778,25,5.36448,-0.0,17.7777777778,25.0,6.7032110532,,,,,,18.3012634277,28.8544281999,7.27227,-3.85442819986,36.68306,-92.89111,BEVM7,0
1604030920,FWS.SGF.20160403.POLEH.01.20160403.092041.76803756,4,-23,6,22.7777777778,23,6.25856,5.0,23.8888888889,18.0,4.9180888464,,,,,,24.0777526855,21.7489792324,4.92175,1.25102076764,36.68306,-92.89111,BEVM7,0
1604031650,FWS.SGF.20160403.POLEH.01.20160403.165009.2669495044,4,-23,456,22.7777777778,23,6.25856,5.0,23.8888888889,18.0,4.9180888464,,,,,,24.0777526855,21.7489792324,4.92175,1.25102076764,36.68306,-92.89111,BEVM7,0
1604040910,FWS.SGF.20160404.POLEH.01.20160404.091022.2390763873,4,-23,3,22.2222222222,24,4.02336,6.0,25.5555555556,18.0,3.1278221952,,,,,,24.8455444336,21.1815128885,4.99549,2.81848711151,36.68306,-92.89111,BEVM7,0
