date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403261131,FWS.SHV.20140326.SANDY.01.20140326.113152.3890894732,19,-37,2,17.2222222222,44,6.25856,13.0,16.6666666667,31.0,3.1278221952,16.2141357422,45.8874626209,14.8874626209,6.88017,1.88746262093,13.2181945801,45.8531834179,5.71157,-1.85318341792,31.09333,-94.20361,ZVLT2
1403261133,FWS.SHV.20140326.SANDY.01.20140326.113353.1536613006,19,-37,4,17.2222222222,44,6.25856,13.0,16.6666666667,31.0,3.1278221952,16.2141357422,45.8874626209,14.8874626209,6.88017,1.88746262093,13.2181945801,45.8531834179,5.71157,-1.85318341792,31.09333,-94.20361,ZVLT2
1401271345,FWS.SHV.20140127.BEAVE.01.20140127.134530.1511980317,9,0,17,2.22222222222,13,10.28192,-4.0,6.11111111111,17.0,4.0229555208,2.74999389648,23.2197512792,6.21975127923,9.8,10.2197512792,,,,,34.1321,-94.6965,BRKO2
1401231534,FWS.SHV.20140123.DONAH.01.20140123.153432.3257133533,8,-11,15,6.66666666667,43,7.15264,3.32,7.2,39.68,5.1444444,6.90020141602,32.7619234116,-6.91807658841,7.35209,-10.2380765884,,,,,31.40917,-92.37361,KESF
1401211455,FWS.SHV.20140121.SOUTH.01.20140121.145515.1738893416,17,-3,20,6.66666666667,28,7.15264,2.88,9.4,25.12,10.2888888,8.20549926758,31.0519402773,5.93194027733,7.33876,3.05194027733,,,,,32.56861,-92.20944,KMLU
1401201852,FWS.SHV.20140120.SOUTH.01.20140120.185230.2032215650,17,-3,28,21.1111111111,31,4.02336,2.86,22.2,28.14,6.17333328,19.3055053711,35.6846913524,7.54469135236,4.6,4.68469135236,,,,,32.56861,-92.20944,KMLU
1309141207,FWS.SHV.20130914.ROUGH.01.20130914.120710.1379160424536,21,-90,8,27.7777777778,38,5.81152,7.0,31.1111111111,31.0,3.575388858,27.7499938965,38.3290041097,7.32900410972,6.2,0.32900410972,30.921685791,32.540236752,3.13756,5.45976324802,34.23778,-94.70667,BRKO2
1309131150,FWS.SHV.20130913.ROUGH.01.20130913.115032.1379073027736,21,-90,12,32.2222222222,42,3.57632,1.0,33.8888888889,41.0,3.1278221952,32.2060180664,40.9759617152,-0.0240382848397,5.1,-1.02403828484,31.5239501953,47.6946085709,2.48516,-5.69460857091,34.23778,-94.70667,BRKO2
1309121211,FWS.SHV.20130912.ROUGH.01.20130912.121119.1378987877611,21,-90,20,35.0,41,2.68224,4.0,35.0,37.0,2.2326888696,35.550012207,40.2693612761,3.26936127614,2.1,-0.730638723861,34.011529541,40.4824143468,1.7395,0.517585653153,34.23778,-94.70667,BRKO2
1309111200,FWS.SHV.20130911.ROUGH.01.20130911.120030.1378900824155,21,-90,10,35.0,39,3.12928,8.0,36.6666666667,31.0,2.2326888696,33.85,41.3191589864,10.3191589864,2.1,2.31915898635,34.9229064941,33.3496295293,3.71817,5.6503704707,34.23778,-94.70667,BRKO2
1309101147,FWS.SHV.20130910.ROUGH.01.20130910.114739.1378813657075,21,-90,16,36.1111111111,32,3.12928,-3.0,34.4444444444,35.0,2.6802555324,35.550012207,32.7492916679,-2.25070833208,3.1,0.749291667916,35.4549499512,30.3157359321,2.32267,1.68426406794,34.23778,-94.70667,BRKO2
1309081229,FWS.SHV.20130908.ROUGH.01.20130908.122910.1378643346146,21,80,30,36.1111111111,32,3.12928,3.0,36.6666666667,29.0,2.2326888696,34.6264587402,35.7950651031,6.79506510312,3.1,3.79506510312,36.7766967773,26.0050642932,2.1792,5.99493570685,34.23778,-94.70667,BRKO2
