date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404010423,FWS.SJU.20140401.GOMER.01.20140401.042350.3120319283,16,-15,637,31.1111111111,52,4.4704,-18.17,29.0,70.17,5.1444444,,,,,,,,,,18.00917,-66.72118,TJPS
1404010511,FWS.SJU.20140401.GOMER.01.20140401.051138.3605589699,16,-15,589,31.1111111111,52,4.4704,-18.17,29.0,70.17,5.1444444,,,,,,,,,,18.00917,-66.72118,TJPS
1403120739,FWS.SJU.20140312.GUANI.01.20140312.073958.4041304193,0,0,381,30.5555555556,55,5.81152,-2.0,30.5555555556,57.0,3.1278221952,,,,,,,,,,17.95417,-66.88222,GCAP4
1401281106,FWS.SJU.20140128.COAMO.01.20140128.110600.1543928984,10,-91,174,29.4444444444,51,6.7056,3.0,30.0,48.0,8.4934777044,,,,,,,,,,18.06492,-66.3675,CSAP4
1401271251,FWS.SJU.20140127.COAMO.01.20140127.125151.1356118711,10,-41,69,28.8888888889,61,6.7056,18.0,30.5555555556,43.0,9.38861103,,,,,,,,,,18.06492,-66.3675,CSAP4
1308211130,FWS.SJU.20130821.LAGUN.01.20130821.113048.1377084647984,7,32,180,34.4444444444,56,6.25856,-3.0,32.2222222222,59.0,8.4934777044,,,,,,,,,,18.00944,-67.09944,CRRP4
1308211256,FWS.SJU.20130821.LAGUN.01.20130821.125651.1377089811076,7,32,94,32.2222222222,64,6.25856,5.0,32.2222222222,59.0,8.4934777044,,,,,,,,,,18.00944,-67.09944,CRRP4
1308201239,FWS.SJU.20130820.LAGUN.01.20130820.123937.1377002377685,7,32,261,32.7777777778,52,8.04672,-22.0,27.7777777778,74.0,8.0459110416,,,,,,,,,,18.00944,-67.09944,CRRP4
1308201244,FWS.SJU.20130820.LAGUN.01.20130820.124413.1377002653455,7,32,256,31.1111111111,60,8.04672,-14.0,27.7777777778,74.0,8.0459110416,,,,,,,,,,18.00944,-67.09944,CRRP4
1308191704,FWS.SJU.20130819.LAGUN.01.20130819.170459.1376931899621,7,32,116,33.8888888889,54,6.7056,2.0,32.7777777778,52.0,8.4934777044,,,,,,,,,,18.00944,-67.09944,CRRP4
1308191636,FWS.SJU.20130819.LAGUN.01.20130819.163626.1376930186371,7,32,144,33.8888888889,54,6.7056,2.0,32.7777777778,52.0,8.4934777044,,,,,,,,,,18.00944,-67.09944,CRRP4
1306181219,FWS.SJU.20130618.TALLA.07.20130618.121927.1371557967663,17,-5,71,32.7777777778,52,6.7056,-14.66,32.0,66.66,7.7166666,,,,,,,,,,17.99667,-66.72639,TJPS
1302261536,FWS.SJU.20130226.TRAIN.01.20130226.153644.1361893004527,1,23,24,30.0,53,8.04672,-2.0,29.4444444444,55.0,8.0459110416,,,,,,,,,,17.98333,-67.17611,CRRP4
1302261521,FWS.SJU.20130226.TRAIN.01.20130226.152158.1361892118148,1,23,39,30.0,53,8.04672,-2.0,29.4444444444,55.0,8.0459110416,,,,,,,,,,17.98333,-67.17611,CRRP4
1201121538,FWS.SJU.20120112.TEST2.01.20120112.153826.201522486,47,-49,7,27.2222222222,60,5.36448,-13.66,24.4,73.66,6.68777772,,,,,,,,,,18.,-66.,TJNR
1103041422,FWS.SJU.20110304.TEST0.01.20110304.142241.360510868,30,-26,58,25.0,74,5.36448,21.0,28.8888888889,53.0,2.6802555324,,,,,,,,,,17.9,-65.59,VIEP4
