date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1308271347,FWS.SLC.20130827.MOUNT.01.20130827.134719.1377611239197,12,-249,24,20.0,50,4.4704,11.0,22.2222222222,39.0,3.575388858,20.5001159668,46.7190599468,7.71905994683,3.35585,-3.28094005317,20.6514221191,47.2432853834,2.63307,2.7567146166,41.84278,-111.65639,TS303
1308261317,FWS.SLC.20130826.MOUNT.01.20130826.131746.1377523066731,12,-249,18,20.0,51,8.9408,15.0,22.2222222222,36.0,3.1278221952,20.1094299316,47.8199011604,11.8199011604,5.69858,-3.18009883957,21.5919128418,36.5171505669,3.75437,14.4828494331,41.84278,-111.65639,TS303
1308241909,FWS.SLC.20130824.ROSEC.01.20130824.190930.1377371370632,8,88,24,27.7777777778,34,6.7056,-0.0,25.5555555556,34.0,4.4705221836,28.6671691895,30.6038036771,-3.39619632286,6.86532,-3.39619632286,26.694909668,33.842228373,4.66413,0.157771626981,40.47857,-112.03628,TICU1
1308231944,FWS.SLC.20130823.MNTEL.01.20130823.194401.1377287041397,12,-249,23,21.6666666667,41,5.36448,11.0,22.7777777778,30.0,4.0229555208,22.2183166504,27.5918766038,-2.40812339621,6.61181,-13.4081233962,24.0206848145,25.8237682798,6.43857,15.1762317202,41.84278,-111.65639,TS303
1308221715,FWS.SLC.20130822.MIDDL.02.20130822.171502.1377191702481,28,-36,30,19.4444444444,43,5.36448,6.0,20.0,37.0,4.4705221836,26.9815917969,29.4020600244,-7.5979399756,6.2,-13.5979399756,25.8799377441,37.1891401601,2.04295,5.81085983989,38.1753,-112.3998,TT084
1308221529,FWS.SLC.20130822.MIDDL.01.20130822.152915.1377185355288,28,-36,137,19.4444444444,42,4.4704,5.0,20.0,37.0,4.4705221836,26.9815917969,29.4020600244,-7.5979399756,6.2,-12.5979399756,25.8799377441,37.1891401601,2.04295,4.81085983989,38.1753,-112.3998,TT084
1308211539,FWS.SLC.20130821.JIMWI.01.20130821.153910.1377099550786,17,-34,13,28.8888888889,21,5.36448,-59.0,27.2222222222,80.0,2.2326888696,28.7475830078,20.423659385,-59.576340615,3.78427,-0.576340614992,28.8034606934,19.9638578409,1.89953,1.03614215905,39.28528,-112.02694,TS682
1308191502,FWS.SLC.20130819.JIMWE.01.20130819.150212.1376924532636,16,26,31,30.0,20,4.02336,-56.0,27.2222222222,76.0,3.1278221952,28.8475280762,18.9969237511,-57.0030762489,2.26685,-1.00307624892,28.3817993164,27.2141934558,3.54549,-7.21419345584,39.29388,-112.0321,TS682
1308191219,FWS.SLC.20130819.FARMI.01.20130819.121931.1376914771335,17,-215,13,35.0,22,3.12928,0.32,32.5,21.68,5.1444444,33.1075073242,21.6949063952,0.0149063952424,4.55224,-0.305093604758,28.0041748047,26.4877051177,3.87709,-4.48770511774,40.98,-111.87056,KHIF
1308191944,FWS.SLC.20130819.SALT_.01.20130819.194404.1376941443964,20,-283,58,30.5555555556,21,4.4704,1.0,36.1111111111,20.0,9.8361776928,29.9646850586,20.5363185991,0.536318599051,2.1,-0.463681400949,28.7362304688,27.0663506381,5.69506,-6.06635063809,39.4335,-111.859,SBWU1
