date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1305300801,FWS.TAE.20130530.GRASS.02.20130530.080153.1369900913542,17,11,66,32.2222222222,46,6.25856,6.49,32.8,39.51,7.7166666,31.149987793,48.8224858956,9.31248589557,6.28443,2.82248589557,30.9200683594,45.4251660532,7.11046,0.574833946767,30.2704,-85.6414,KECP
1303281523,FWS.TAE.20130328.PEPER.01.20130328.152303.1364484182992,12,8,26,21.6666666667,22,4.4704,3.94,20.6,18.06,4.11555552,20.550012207,22.4268830833,4.36688308332,3.42357,0.426883083322,20.4923950195,24.2490194986,2.46384,-2.24901949858,30.3142,-84.4454,KTLH
1303221221,FWS.TAE.20130322.JACSK.01.20130322.122134.1363954894490,27,22,75,19.4444444444,37,5.36448,9.52,18.0,27.48,6.17333328,19.4500061035,37.4752552056,9.99525520556,5.39571,0.475255205561,18.6156860352,41.3708082608,4.48465,-4.37080826084,30.62,-86.23,KEGI
1302041249,FWS.TAE.20130204.SAPLI.01.20130204.124924.1359982123509,7,-3,16,18.8888888889,32,2.2352,-18.0,17.7777777778,50.0,0.8951333256,18.35,34.1062746722,-15.8937253278,2.1,2.10627467222,19.6934448242,41.7659016634,1.05984,-9.7659016634,30.18317,-84.82467,TS868
1302041242,FWS.TAE.20130204.SAPLI.01.20130204.124229.1359981749334,7,-3,9,18.8888888889,32,2.2352,-18.0,17.7777777778,50.0,0.8951333256,18.35,34.1062746722,-15.8937253278,2.1,2.10627467222,19.6934448242,41.7659016634,1.05984,-9.7659016634,30.18317,-84.82467,TS868
1302031249,FWS.TAE.20130203.SAPLI.01.20130203.124939.1359895779766,11,4,7,20.0,23,4.4704,2.0,20.5555555556,21.0,3.1278221952,18.85,25.0589844542,4.0589844542,4.6,2.0589844542,19.2707763672,27.2451286067,4.30572,-4.24512860673,30.18317,-84.82467,WHSF1
1302031243,FWS.TAE.20130203.BUCKO.01.20130203.124357.1359895402070,11,-3,9,20.0,27,4.4704,9.0,22.2222222222,18.0,1.7902666512,18.8461547852,28.0513361401,10.0513361401,4.6,1.05133614006,20.0862060547,24.9083025515,4.31918,2.0916974485,29.92556,-84.94722,SURF1
1302021248,FWS.TAE.20130202.BUCKO.01.20130202.124807.1359809221386,11,-3,17,16.6666666667,29,2.68224,5.0,20.0,24.0,1.3426999884,16.1344848633,31.6004491303,7.60044913032,2.6,2.60044913032,16.9363037109,31.2177992419,2.39384,-2.21779924193,29.92556,-84.94722,SURF1
1302011327,FWS.TAE.20130201.BUCKO.01.20130201.132730.1359725250788,11,-3,18,18.3333333333,25,4.4704,-6.0,18.3333333333,31.0,1.7902666512,18.35,24.602827838,-6.39717216195,4.1,-0.397172161952,18.2812133789,30.4945929159,4.33521,-5.49459291592,29.92556,-84.94722,SURF1
1301311244,FWS.TAE.20130131.BUCKO.01.20130131.124422.1359636262137,11,-5,15,14.4444444444,26,5.36448,2.0,16.1111111111,24.0,2.2326888696,14.4337402344,25.6088441604,1.60884416035,4.61354,-0.391155839648,15.3805175781,23.2926017622,4.36492,2.70739823783,29.9255,-84.9472,SURF1
1301301125,FWS.TAE.20130130.BUCKO.01.20130130.112503.1359545102974,11,-5,14,24.4444444444,61,9.38784,-15.0,25.0,76.0,4.0229555208,24.4500061035,66.3185069731,-9.68149302687,9.3095,5.31850697313,24.8371520996,78.4228843378,6.08205,-17.4228843378,29.9255,-84.9472,SURF1
1301291354,FWS.TAE.20130129.BUCK1.01.20130129.135453.1359467693823,13,-11,23,24.4444444444,76,4.4704,24.0,27.7777777778,52.0,2.6802555324,25.3319641113,60.9741348744,8.97413487436,5.1,-15.0258651256,26.3251586914,59.4577425691,3.84855,16.5422574309,29.9091,-84.9317,SURF1
1301271248,FWS.TAE.20130127.BLACK.01.20130127.124828.1359290908921,15,5,13,22.7777777778,51,4.4704,7.71,24.4,43.29,3.60111108,21.649987793,55.0960150273,11.8060150273,3.39617,4.09601502732,23.7781311035,50.8279255939,2.98061,0.172074406097,30.26833,-84.41533,KTLH
1301271657,FWS.TAE.20130127.SR71S.01.20130127.165707.1359305827094,19,-8,71,23.3333333333,55,3.57632,8.0,25.5555555556,47.0,1.7902666512,22.2499938965,58.7914666535,11.7914666535,3.33029,3.79146665351,23.9021850586,54.6185710839,2.31694,0.381428916082,30.0409,-85.184,SURF1
1301261117,FWS.TAE.20130126.BLACK.01.20130126.111712.1359199032159,15,5,9,23.3333333333,55,3.12928,13.06,25.6,41.94,4.11555552,21.649987793,57.7998071405,15.8598071405,3.1,2.79980714052,24.0717102051,51.7466809787,3.00193,3.25331902132,30.26833,-84.41533,KTLH
