date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091246,FWS.TBW.20140409.AVONP.01.20140409.124657.3796664751,6,36,74,25.0,34,6.25856,-1.0,24.4444444444,35.0,4.9180888464,24.4659973145,34.4713801843,-0.52861981573,6.2,0.47138018427,23.3538452148,39.6202315623,4.99056,-5.62023156226,27.688,-81.264,TT155
1404071300,FWS.TBW.20140407.AVONP.01.20140407.130029.1384140124,7,20,120,32.7777777778,38,8.9408,-1.0,33.8888888889,39.0,5.3656555092,32.3686767578,39.0891060991,0.0891060990595,8.7,1.08910609906,34.9982543945,31.696779909,6.32668,6.30322009104,27.611,-81.187,TT155
1404031128,FWS.TBW.20140403.PO3AN.01.20140403.112831.2708752951,19,13,92,28.3333333333,40,4.02336,1.51,28.3,38.49,5.1444444,28.3972106934,39.6683561324,1.17835613238,4.1,-0.331643867621,29.2338500977,44.3092349803,4.48586,-4.30923498028,28.61092,-82.32609,KBKV
1404031120,FWS.TBW.20140403.CT142.01.20140403.112026.3590135988,15,-2,220,30.0,34,3.57632,5.01,30.0,28.99,4.11555552,29.9500061035,33.7539163211,4.76391632106,3.6,-0.246083678938,29.7865539551,38.4726757592,3.09,-4.47267575922,28.173,-82.0135,KZPH
1404031249,FWS.TBW.20140403.MYAKK.01.20140403.124932.3017566339,25,-1,4,30.0,40,5.81152,-24.98,25.0,64.98,7.20222216,29.9204345703,40.2473008328,-24.7326991672,5.7195,0.247300832805,27.9252868652,49.4555894507,4.211,-9.45558945067,27.24225,-82.26192,KVNC
1404031350,FWS.TBW.20140403.AVONP.01.20140403.135049.4070665828,9,21,70,30.5555555556,36,5.36448,-1.0,30.0,37.0,3.575388858,30.5384155273,36.23093473,-0.769065269954,5.08065,0.230934730046,30.1219726563,38.8739651288,4.33702,-2.87396512879,27.553,-81.229,TT155
1404031127,FWS.TBW.20140403.FRANN.01.20140403.112716.602152149,3,1,93,25.5555555556,61,6.25856,-1.0,26.6666666667,62.0,3.1278221952,24.9714599609,62.5795107779,0.57951077787,6.2,1.57951077787,22.548425293,77.1877441435,4.69914,-16.1877441435,26.42888,-82.0733,TS755
1404021239,FWS.TBW.20140402.AVONP.01.20140402.123904.3506317441,14,36,81,28.3333333333,36,4.02336,9.0,30.5555555556,27.0,4.0229555208,28.35,35.3748304156,8.37483041558,4.6,-0.625169584415,29.7149902344,32.3223035459,3.69322,3.67769645406,27.74,-81.345,TT155
1404021153,FWS.TBW.20140402.MYAKK.01.20140402.115322.150623721,24,-2,187,27.7777777778,39,4.4704,-30.01,23.0,69.01,6.17333328,27.4277282715,40.8293802799,-28.1806197201,5.18142,1.82938027995,28.4948974609,39.4383870692,2.60296,-0.438387069221,27.24783,-82.28416,KVNC
1404021105,FWS.TBW.20140402.MATLA.01.20140402.110527.3973143817,9,1,5,27.7777777778,42,4.4704,-11.0,25.5555555556,53.0,3.1278221952,27.5100646973,41.7828894252,-11.2171105748,4.39857,-0.217110574813,25.2676025391,55.744816908,4.11611,-13.744816908,26.50361,-82.0375,TS755
