date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403220909,FWS.TBW.20140322.WILDE.01.20140322.090952.2801383474,27,22,8,26.1111111111,56,5.36448,8.19,25.6,47.81,6.17333328,24.9500061035,53.9061210472,6.09612104724,5.09275,-2.09387895276,26.0280395508,55.8412576114,4.29293,0.158742388634,28.24271,-82.55029,KBKV
1403141207,FWS.TBW.20140314.ECHOF.01.20140314.120714.3840870566,5,0,5,24.4444444444,37,5.36448,3.0,24.4444444444,34.0,4.9180888464,23.35,39.66127513,5.66127512999,5.7,2.66127512999,23.8761230469,39.6874790434,3.80464,-2.68747904335,27.583,-81.245,TT155
1401191551,FWS.TBW.20140119.FREDE.01.20140119.155105.1737282917,35,7,20,21.1111111111,40,6.7056,-18.43,18.9,58.43,4.62999996,20.550012207,41.1635490335,-17.2664509665,7.2,1.16354903352,,,,,27.11889,-82.38444,KSRQ
1310291510,FWS.TBW.20131029.LAKEW.01.20131029.151009.738905421,36,39,25,28.8888888889,44,6.7056,6.56,29.0,37.44,6.17333328,28.85,44.5402110382,7.10021103822,6.7,0.54021103822,29.2459350586,47.3553398579,4.71719,-3.35533985788,27.87942,-81.41975,KBOW
1310291808,FWS.TBW.20131029.OAKRI.01.20131029.180841.3873547157,32,14,21,29.4444444444,43,6.7056,5.56,29.0,37.44,6.17333328,29.4260498047,43.0853149781,5.64531497808,6.72989,0.0853149780775,28.037713623,51.8153020022,4.18062,-8.81530200218,27.71806,-81.57861,KBOW
1310291751,FWS.TBW.20131029.LITTL.01.20131029.175118.3148936402,22,-10,15,29.4444444444,46,6.7056,-0.25,30.0,46.25,5.65888884,29.4500061035,46.1502594654,-0.0997405346327,6.3778,0.150259465367,29.4356323242,41.8994468871,5.59069,4.10055311292,27.67111,-82.38417,KMCF
1306061559,FWS.TBW.20130606.MATTI.01.20130606.155951.1370534391632,10,-16,8,28.3333333333,69,9.38784,-9.86,26.1,78.86,8.74555548,28.35,69.6238977684,-9.23610223157,8.10026,0.623897768433,24.5496459961,83.4074646646,7.46513,-14.4074646646,28.15,-81.76944,KGIF
1306051855,FWS.TBW.20130605.MATTI.02.20130605.185522.1370458522784,10,-16,96,27.2222222222,69,4.4704,-5.14,26.7,74.14,6.17333328,30.550012207,53.2822164951,-20.8577835049,6.2,-15.7177835049,26.1665893555,80.3688684833,3.65061,-11.3688684833,28.15,-81.76944,KGIF
1306050736,FWS.TBW.20130605.MATTI.01.20130605.073659.1370417819272,10,40,40,30.5555555556,54,5.81152,-20.14,26.7,74.14,6.17333328,30.550012207,53.2822164951,-20.8577835049,6.2,-0.717783504853,26.1651550293,80.3640667648,3.64708,-26.3640667648,28.15028,-81.76972,KGIF
1306050837,FWS.TBW.20130605.PLAZA.01.20130605.083705.1370421425169,26,35,7,30.5555555556,54,5.81152,-7.67,27.0,61.67,4.62999996,30.550012207,53.2822164951,-8.38778350485,6.2,-0.717783504853,27.337701416,77.9481360076,3.28523,-23.9481360076,27.89399,-81.51882,KBOW
1306041745,FWS.TBW.20130604.MATTI.03.20130604.174546.1370367946488,10,-16,44,28.8888888889,64,3.12928,5.24,28.9,58.76,7.20222216,28.35,67.1262269786,8.3662269786,3.1,3.1262269786,28.0574279785,68.6478509971,5.34409,-4.64785099705,28.15,-81.76944,KGIF
1306040947,FWS.TBW.20130604.MATTI.02.20130604.094702.1370339222655,10,40,35,28.3333333333,67,3.12928,8.24,28.9,58.76,7.20222216,28.35,67.1262269786,8.3662269786,3.1,0.126226978595,28.058190918,68.6362475945,5.34473,-1.63624759449,28.15003,-81.76972,KGIF
1306031735,FWS.TBW.20130603.MATTI.01.20130603.173519.1370280919156,10,-16,26,30.0,62,3.57632,-3.22,28.9,65.22,6.17333328,28.85,63.2477272828,-1.97227271719,3.6,1.24772728281,29.3492370605,70.4451779227,4.81011,-8.44517792272,28.15,-81.76944,KGIF
1306021754,FWS.TBW.20130602.MATTI.01.20130602.175410.1370195650920,10,-16,35,32.7777777778,49,3.57632,-3.08,32.2,52.08,6.17333328,33.35,47.206904792,-4.87309520797,1.5,-1.79309520797,31.5238891602,59.9007831387,2.92317,-10.9007831387,28.15,-81.76944,KGIF
1306011738,FWS.TBW.20130601.MATTI.01.20130601.173827.1370108307225,10,-16,32,31.1111111111,54,6.7056,-1.58,31.7,55.58,7.20222216,32.2499938965,50.2118979615,-5.3681020385,4.6,-3.7881020385,30.5510803223,63.7816612026,3.95479,-9.78166120263,28.15,-81.76944,KGIF
1305311647,FWS.TBW.20130531.MATTI.01.20130531.164747.1370018867203,10,-16,13,31.1111111111,50,8.04672,-5.3,30.6,55.3,8.23111104,32.2499938965,46.9112455073,-8.38875449274,9.66238,-3.08875449274,29.7530151367,60.7724722273,6.98842,-10.7724722273,28.15,-81.76944,KGIF
1305301715,FWS.TBW.20130530.MATTI.01.20130530.171546.1369934146014,10,-16,18,31.6666666667,46,9.38784,-10.82,28.3,56.82,8.74555548,32.2499938965,46.9112455073,-9.90875449274,6.2,0.911245507255,28.0424438477,69.1835209885,6.57139,-23.1835209885,28.15028,-81.76972,KGIF
1305291937,FWS.TBW.20130529.MATTI.01.20130529.193739.1369856259470,10,-16,101,32.7777777778,45,7.59968,-18.13,28.3,63.13,7.7166666,32.2499938965,43.8019623352,-19.3280376648,8.39051,-1.19803766484,27.5163208008,68.48993993,6.22831,-23.48993993,28.15028,-81.76972,KGIF
1305251727,FWS.TBW.20130525.MATTI.01.20130525.172726.1369502845990,10,-16,20,31.1111111111,31,6.7056,-6.48,30.6,37.48,7.7166666,31.149987793,31.5206131575,-5.95938684247,7.7,0.520613157529,29.7506958008,46.4621218905,5.83964,-15.4621218905,28.15028,-81.76972,KGIF
1305241757,FWS.TBW.20130524.MATTI.01.20130524.175750.1369418266098,10,-16,34,33.8888888889,32,4.02336,6.12,34.4,25.88,6.17333328,33.5187316895,31.8355094475,5.9555094475,4.6,-0.164490552499,33.463067627,30.3848637588,3.92861,1.61513624117,28.15028,-81.76972,KGIF
1305221751,FWS.TBW.20130522.MATTI.01.20130522.175102.1369245062207,10,-16,13,31.6666666667,42,3.12928,-9.36,30.0,51.36,6.17333328,31.649987793,42.2828534206,-9.0771465794,2.6,0.2828534206,29.0468688965,59.377253571,4.69018,-17.377253571,28.15028,-81.76972,KGIF
1305171702,FWS.TBW.20130517.GATOR.01.20130517.170205.1368810125391,17,8,27,32.2222222222,33,2.2352,5.62,32.0,27.38,3.08666664,32.7499938965,34.7704984387,7.39049843871,3.44198,1.77049843871,31.0472961426,35.6775480209,2.54124,-2.67754802085,28.1775,-81.98583,KZPH
1305171158,FWS.TBW.20130517.MATTI.02.20130517.115811.1368791891474,22,8,17,32.7777777778,35,3.12928,5.73,31.0,29.27,6.17333328,32.7499938965,34.323181969,5.05318196902,5.30275,-0.676818030976,31.1733337402,36.855804726,5.21874,-1.85580472604,28.1503,-81.7697,KBOW
