date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1309241209,FWS.TFX.20130924.REDSH.01.20130924.120911.2974370876,5,-274,40,5.55555555556,62,2.2352,3.0,8.33333333333,59.0,1.7902666512,5.44274291992,66.7696241986,7.76962419863,5.53116,4.76962419863,6.89718017578,77.3258043477,2.71893,-15.3258043477,47.80333,-113.01,GPKM8
1309231145,FWS.TFX.20130923.REDSH.01.20130923.114547.700243029,5,-274,23,8.33333333333,47,11.176,6.0,10.5555555556,41.0,5.3656555092,5.7594543457,55.2182751639,14.2182751639,12.6651,8.21827516394,6.9786315918,71.8994654295,7.8772,-24.8994654295,47.80333,-113.01,GPKM8
1309221124,FWS.TFX.20130922.REDSH.01.20130922.112422.2983156459,5,-274,25,11.1111111111,50,6.7056,10.0,13.3333333333,40.0,4.0229555208,9.13189086914,52.9804050963,12.9804050963,10.6086,2.98040509629,10.2665649414,60.3427275032,6.0971,-10.3427275032,47.80333,-113.01,GPKM8
1309211049,FWS.TFX.20130921.REDSH.01.20130921.104924.3837503669,5,-274,15,22.2222222222,22,6.7056,1.0,20.0,21.0,4.4705221836,16.7110534668,30.1573401745,9.15734017446,6.99498,8.15734017446,16.8971801758,39.7838307394,7.53142,-17.7838307394,47.80333,-113.01,GPKM8
1309201042,FWS.TFX.20130920.REDSH.01.20130920.104242.4090150739,5,-274,18,21.1111111111,22,4.4704,7.0,22.7777777778,15.0,3.575388858,18.5653320313,23.1820505968,8.18205059685,3.52014,1.18205059685,18.2665649414,32.5052874239,3.53916,-10.5052874239,47.80333,-113.01,GPKM8
1309191146,FWS.TFX.20130919.REDSH.01.20130919.114617.1379591173193,5,-274,15,12.2222222222,41,4.4704,-2.0,13.8888888889,43.0,3.1278221952,12.0504699707,44.281021374,1.28102137405,3.6,3.28102137405,11.2057434082,54.0527193813,3.19838,-13.0527193813,47.80333,-113.01,GPKM8
1309181150,FWS.TFX.20130918.REDSH.01.20130918.115050.1379505046485,5,-274,12,5.55555555556,81,8.9408,21.0,10.5555555556,60.0,4.0229555208,1.00768432617,79.3312958438,19.3312958438,8.16383,-1.6687041562,4.89718017578,83.0642437217,5.15457,-2.06424372175,47.80333,-113.01,GPKM8
1309171148,FWS.TFX.20130917.REDSH.01.20130917.114833.1379418508654,5,-274,13,16.6666666667,43,4.4704,7.0,18.8888888889,36.0,4.9180888464,15.6122070313,45.8259115244,9.82591152438,3.82186,2.82591152438,16.2665649414,34.3823485795,2.49676,8.61765142049,47.80333,-113.01,GPKM8
1309161150,FWS.TFX.20130916.REDSH.01.20130916.115042.1379332236020,5,-274,8,22.7777777778,32,11.176,9.0,23.8888888889,23.0,6.7032110532,20.5986572266,37.9595877678,14.9595877678,8.53941,5.95958776784,20.8700195313,39.4199428259,7.2229,-7.41994282586,47.80333,-113.01,GPKM8
1309151142,FWS.TFX.20130915.REDSH.01.20130915.114235.1379245351762,5,-274,20,20.5555555556,34,4.4704,-4.0,24.4444444444,38.0,4.0229555208,21.0607543945,38.761104444,0.761104444019,4.61358,4.76110444402,23.1785827637,33.3924884797,6.45393,0.607511520258,47.80333,-113.01,GPKM8
1309141155,FWS.TFX.20130914.REDSH.01.20130914.115547.1379159746427,5,-274,18,21.1111111111,34,4.4704,-0.0,21.6666666667,34.0,4.4705221836,19.6926818848,41.7317786884,7.73177868836,5.45299,7.73177868836,19.1785827637,34.5401062542,4.2538,-0.540106254166,47.80333,-113.01,GPKM8
1309131140,FWS.TFX.20130913.REDSH.01.20130913.114028.1379072424872,5,-274,25,23.8888888889,29,2.2352,2.0,26.6666666667,27.0,4.9180888464,23.1543518066,31.7106061018,4.7106061018,2.72386,2.7106061018,22.1785827637,29.3921211741,5.93175,-0.392121174134,47.80333,-113.01,GPKM8
1309121214,FWS.TFX.20130912.REDSH.01.20130912.121414.1378988050052,5,-274,35,22.2222222222,32,4.4704,3.0,25.5555555556,29.0,4.0229555208,22.3476196289,33.2434106497,4.2434106497,4.39498,1.2434106497,22.1785827637,30.735911479,4.98084,1.26408852096,47.80333,-113.01,GPKM8
1309111750,FWS.TFX.20130911.GREEN.01.20130911.175051.1378921850563,9,-281,19,21.1111111111,26,4.4704,-4.0,23.3333333333,30.0,4.9180888464,21.345300293,30.7455782849,0.745578284945,4.60259,4.74557828494,21.3330627441,29.6409358067,2.21218,-3.64093580673,47.4435,-112.8005,BEFM8
1309072036,FWS.TFX.20130907.REDSH.02.20130907.203622.1378586177195,5,-274,55,17.7777777778,54,2.2352,-2.0,21.6666666667,56.0,4.4705221836,17.6416564941,57.9920194088,1.99201940881,4.75428,3.99201940881,16.2057434082,72.1040304538,2.82712,-18.1040304538,47.80333,-113.01,GPKM8
1309071728,FWS.TFX.20130907.WESTF.01.20130907.172806.1378574882833,13,-147,35,18.3333333333,42,2.2352,4.0,26.1111111111,38.0,3.1278221952,20.1888366699,49.543873942,11.543873942,3.1,7.543873942,18.7894226074,56.5964175379,3.64985,-14.5964175379,46.7783,-110.5437,TR276
1309071036,FWS.TFX.20130907.REDSH.01.20130907.103616.1378550175142,5,-274,48,17.2222222222,48,2.2352,-8.0,21.6666666667,56.0,4.4705221836,17.6416564941,57.9920194088,1.99201940881,4.75428,9.99201940881,16.2057434082,72.1040304538,2.82712,-24.1040304538,47.80333,-113.01,GPKM8
1309061140,FWS.TFX.20130906.REDSH.01.20130906.114006.1378467601677,5,-274,45,22.2222222222,42,6.7056,-12.0,23.3333333333,54.0,3.1278221952,20.7569519043,50.3569906216,-3.64300937836,3.2407,8.35699062164,20.2665649414,57.6263897661,3.84404,-15.6263897661,47.80333,-113.01,GPKM8
1309061916,FWS.TFX.20130906.REDSH.02.20130906.191611.1378494968995,5,-274,27,21.1111111111,52,2.2352,-2.0,23.3333333333,54.0,3.1278221952,20.7569519043,50.3569906216,-3.64300937836,3.2407,-1.64300937836,20.2665649414,57.6263897661,3.84404,-5.6263897661,47.80333,-113.01,GPKM8
1309051154,FWS.TFX.20130905.REDSH.01.20130905.115448.1378382084584,5,-274,28,25.0,37,4.4704,6.0,27.7777777778,31.0,2.6802555324,23.9903808594,35.4200924849,4.42009248493,3.40127,-1.57990751507,21.1785827637,57.6001688878,4.44447,-20.6001688878,47.80333,-113.01,GPKM8
1309052017,FWS.TFX.20130905.REDSH.02.20130905.201718.1378412236275,5,-274,25,25.5555555556,32,4.4704,1.0,27.7777777778,31.0,2.6802555324,23.9903808594,35.4200924849,4.42009248493,3.40127,3.42009248493,21.1785827637,57.6001688878,4.44447,-25.6001688878,47.80333,-113.01,GPKM8
1309021111,FWS.TFX.20130902.REDSH.01.20130902.111144.1378120300445,5,-274,25,23.8888888889,26,6.7056,7.0,30.0,19.0,3.1278221952,24.6653076172,26.4187545562,7.41875455623,5.07685,0.418754556226,28.1785827637,19.1786646507,2.7701,6.82133534935,47.80333,-113.01,GPKM8
1309011139,FWS.TFX.20130901.REDSH.01.20130901.113925.1378035562805,5,-274,35,26.6666666667,19,6.7056,7.0,30.5555555556,12.0,3.1278221952,25.5524841309,21.7170794021,9.71707940205,4.04926,2.71707940205,25.2057434082,18.4565677529,2.07939,0.543432247083,47.80333,-113.01,GPKM8
1308311126,FWS.TFX.20130831.REDSH.01.20130831.112634.1377948389134,5,-274,38,20.5555555556,25,2.2352,6.0,25.0,19.0,2.6802555324,19.1728149414,29.2734859587,10.2734859587,3.42214,4.27348595871,20.2665649414,21.4305428799,2.04925,3.5694571201,47.80333,-113.01,GPKM8
1308301144,FWS.TFX.20130830.REDSH.01.20130830.114414.1377863054505,5,-274,28,20.5555555556,37,8.9408,6.0,23.3333333333,31.0,4.0229555208,18.7504516602,41.9997617478,10.9997617478,10.1086,4.99976174778,19.1785827637,42.7082678356,6.48603,-5.7082678356,47.80333,-113.01,GPKM8
1308291053,FWS.TFX.20130829.REDSH.01.20130829.105323.1377773603039,5,-274,30,25.0,27,6.7056,11.0,30.0,16.0,5.3656555092,25.4112182617,23.1842581498,7.18425814983,6.81712,-3.81574185017,25.5479675293,27.6059675103,6.79236,-0.605967510326,47.80333,-113.01,GPKM8
1308281134,FWS.TFX.20130828.REDSH.01.20130828.113411.1377689651356,5,-274,25,25.5555555556,26,2.2352,-1.0,26.1111111111,27.0,4.9180888464,24.6451049805,28.6238947941,1.62389479415,4.08642,2.62389479415,21.1785827637,44.0749360469,3.5739,-18.0749360469,47.80333,-113.01,GPKM8
1308281624,FWS.TFX.20130828.YOGO_.01.20130828.162406.1377707046039,10,-131,22,25.0,22,2.2352,-4.0,28.8888888889,26.0,1.7902666512,24.9813171387,29.82543452,3.82543451999,4.11474,7.82543451999,26.7772155762,26.9857555231,2.651,-4.98575552313,46.91352,-110.56747,TR276
1308271646,FWS.TFX.20130827.YOGO_.01.20130827.164608.1377621967952,10,-131,16,23.3333333333,20,2.2352,-1.0,29.4444444444,21.0,2.2326888696,24.9622741699,24.3510905743,3.35109057433,3.61585,4.35109057433,26.8116699219,28.0578564248,3.46585,-8.0578564248,46.91352,-110.56747,TR276
1308271208,FWS.TFX.20130827.REDSH.01.20130827.120821.1377605301108,5,-274,40,25.0,22,6.7056,6.0,27.2222222222,16.0,4.9180888464,23.7640319824,26.3602022069,10.3602022069,7.27312,4.36020220686,24.1785827637,24.2697546986,2.08467,-2.26975469861,47.80333,-113.01,GPKM8
