date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404031423,FWS.TWC.20140403.MESAR.01.20140403.142312.949168490,0,7,157,13.8888888889,14,4.91744,-3.0,13.3333333333,17.0,5.3656555092,12.2485290527,18.0439975056,1.04399750557,4.90533,4.04399750557,12.1265197754,17.0945172834,5.64101,-3.09451728335,33.26422,-109.3675,QTCA3
1401161510,FWS.TWC.20140116.SBPON.01.20140116.151005.2427251266,35,88,80,22.2222222222,7,4.4704,-1.18,20.6,8.18,3.08666664,19.8593078613,11.7537039838,3.57370398384,5.1,4.75370398384,,,,,31.34018,-109.2646,KDUG
1401151958,FWS.TWC.20140115.SBPON.01.20140115.195828.4204960622,35,88,238,20.5555555556,8,5.36448,-0.88,20.0,8.88,4.11555552,18.3460021973,11.9147930607,3.0347930607,6.2,3.9147930607,,,,,31.34018,-109.2646,KDUG
1401141756,FWS.TWC.20140114.SBPON.02.20140114.175645.2705310434,35,88,64,20.0,7,4.4704,-2.2,18.9,9.2,3.60111108,18.2231689453,9.09905814843,-0.100941851566,5.78736,2.09905814843,,,,,31.34018,-109.2646,KDUG
1312031753,FWS.TWC.20131203.PERPP.01.20131203.175352.1896415383,0,39,2,10.0,15,8.9408,-4.0,7.22222222222,19.0,4.4705221836,10.477746582,25.8542621327,6.85426213266,8.72375,10.8542621327,,,,,32.70742,-109.9104,QCGA3
1307011610,FWS.TWC.20130701.PRISO.01.20130701.161052.1372695052497,42,-91,20,37.7777777778,15,5.36448,-6.0,35.5555555556,21.0,4.4705221836,38.8211303711,16.2038750991,-4.79612490092,5.37234,1.20387509908,34.6828552246,23.0416904165,2.63166,-8.04169041654,32.33611,-110.72056,QMRA3
1305301445,FWS.TWC.20130530.PINES.01.20130530.144555.1369925155667,8,230,255,27.2222222222,13,6.25856,-9.0,24.4444444444,22.0,3.1278221952,26.7668395996,18.0215796635,-3.9784203365,8.44516,5.0215796635,26.334588623,16.5034149293,8.18749,-3.50341492929,33.31766,-109.75611,QDLA3
1305291417,FWS.TWC.20130529.PINES.01.20130529.141716.1369837036400,8,230,163,24.4444444444,13,4.02336,-10.0,22.2222222222,23.0,4.0229555208,24.2386108398,18.0302948542,-4.96970514581,10.7161,5.03029485419,23.8442626953,20.2312215868,8.30909,-7.23122158683,33.31766,-109.75611,QDLA3
1305281332,FWS.TWC.20130528.PINES.01.20130528.133226.1369747946899,8,230,208,25.5555555556,5,11.176,-7.0,22.2222222222,12.0,4.0229555208,25.3727661133,10.0452609539,-1.95473904609,10.9612,5.04526095391,25.8442626953,8.0724988797,9.19404,-3.0724988797,33.31766,-109.75611,QDLA3
1305271155,FWS.TWC.20130527.PINES.01.20130527.115549.1369655749180,7,214,125,26.6666666667,4,7.15264,-5.0,24.4444444444,9.0,3.575388858,25.579095459,7.88498642817,-1.11501357183,8.60877,3.88498642817,27.774621582,5.58804635969,6.28328,-1.58804635969,33.30675,-109.77611,QDLA3
1305261253,FWS.TWC.20130526.PINES.01.20130526.125331.1369572811049,9,-251,127,28.3333333333,5,7.59968,-1.0,27.7777777778,6.0,4.0229555208,26.001763916,7.60702611291,1.60702611291,7.93774,2.60702611291,26.7992797852,6.86626868839,8.24361,-1.86626868839,33.30436,-109.75278,TR499
1305241417,FWS.TWC.20130524.PINES.01.20130524.141704.1369405024205,8,230,223,27.2222222222,4,7.59968,-8.0,25.5555555556,12.0,4.9180888464,26.7444091797,8.96117241629,-3.03882758371,7.88039,4.96117241629,27.6764160156,9.6242629422,5.16788,-5.6242629422,33.31766,-109.75611,QDLA3
1305231443,FWS.TWC.20130523.PINES.01.20130523.144347.1369320227651,8,230,197,30.0,5,8.9408,-6.0,26.1111111111,11.0,4.4705221836,28.6377502441,8.89977212837,-2.10022787163,8.99419,3.89977212837,28.0371948242,7.21155148502,6.65287,-2.21155148502,33.31766,-109.75611,QDLA3
1305221603,FWS.TWC.20130522.PINES.01.20130522.160331.1369238611468,0,257,117,31.1111111111,2,8.9408,-6.0,29.4444444444,8.0,4.0229555208,28.0063415527,7.79199762198,-0.20800237802,8.2,5.79199762198,28.0398803711,7.59658251256,5.20773,-5.59658251256,33.31472,-109.65417,TR499
1305131454,FWS.TWC.20130513.PINES.01.20130513.145422.1368456862467,3,-47,96,27.7777777778,10,4.02336,-4.0,27.2222222222,14.0,2.6802555324,26.0699401855,16.5632740308,2.56327403083,4.29778,6.56327403083,25.8018737793,14.3420802509,3.43796,-4.34208025093,33.33098,-109.6921,TR499
