date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404041549,FWS.UNR.20140404.DISTR.01.20140404.154911.4289452656,13,90,6,9.44444444444,39,4.4704,16.71,13.9,22.29,2.5722222,9.45000610352,42.2129614549,19.9229614549,3.6,3.21296145493,11.6172119141,28.8219252229,3.85502,10.1780747771,43.14,-102.47056,KIEN
1403261550,FWS.UNR.20140326.PIONE.02.20140325.155028.1696494459,29,-64,50,8.88888888889,41,5.81152,26.48,22.2,14.52,7.7166666,18.85,29.2584933313,14.7384933313,8.14108,-11.7415066687,20.4514404297,20.1933100703,7.61781,20.8066899297,43.05694,-103.28889,KCDR
1403101931,FWS.UNR.20140310.PRAIR.01.20140310.193147.3117246667,8,-99,211,16.6666666667,30,5.36448,6.0,18.3333333333,24.0,3.575388858,13.1084533691,40.8787777837,16.8787777837,1.85523,10.8787777837,15.8705078125,32.5171445509,4.97057,-2.51714455088,44.04917,-103.47028,DOHS2
1403101712,FWS.UNR.20140310.COEPO.01.20140310.171248.2204564853,11,-158,12,18.8888888889,20,6.7056,-5.0,19.4444444444,25.0,6.2607888348,15.7996459961,33.4306044387,8.43060443867,2.6,13.4306044387,16.2357727051,28.6866055864,4.64187,-8.6866055864,43.65,-103.43833,CSPS2
1403041738,FWS.UNR.20140304.MORUP.01.20140304.173805.1618054596,1,0,36,11.1111111111,33,2.2352,-4.0,11.6666666667,37.0,2.6802555324,5.42760620117,52.7117506757,15.7117506757,5.30815,19.7117506757,3.94561157227,66.6505000811,3.9256,-33.6505000811,43.87639,-103.46444,RHRS2
1403031833,FWS.UNR.20140303.MORUP.01.20140303.183338.3232987265,1,0,129,10.5555555556,42,4.4704,11.0,13.3333333333,31.0,2.6802555324,6.63402709961,46.6538552326,15.6538552326,4.37565,4.6538552326,2.5189453125,63.021087492,3.33263,-21.021087492,43.87639,-103.46444,RHRS2
1402271736,FWS.UNR.20140227.MORUP.01.20140227.173617.445551160,1,167,66,4.44444444444,35,3.12928,11.0,3.88888888889,24.0,2.2326888696,2.20174560547,40.9341631891,16.9341631891,3.30242,5.93416318912,3.07802734375,45.3235078,2.79982,-10.3235078,43.88333,-103.46722,RHRS2
1402261923,FWS.UNR.20140226.MORUP.01.20140226.192308.494893986,1,167,13,4.44444444444,10,6.7056,-2.0,6.11111111111,12.0,2.6802555324,1.63839111328,24.1736045495,12.1736045495,7.72274,14.1736045495,1.48616943359,26.4133753145,5.83315,-16.4133753145,43.88333,-103.46722,RHRS2
1402051456,FWS.UNR.20140205.MORUP.01.20140205.145629.3337829280,1,53,64,-17.2222222222,43,2.2352,-15.0,-17.2222222222,58.0,2.2326888696,-17.3529266357,52.4209575393,-5.57904246069,2.6,9.42095753931,-18.9168457031,64.8711826909,2.28808,-21.8711826909,43.88333,-103.46722,RHRS2
1311191442,FWS.UNR.20131119.PRAIR.03.20131119.144200.2005030594,3,-102,138,14.4444444444,23,6.25856,-1.0,15.0,24.0,4.0229555208,12.7368713379,31.1245535952,7.12455359524,4.11219,8.12455359524,12.9497924805,25.3717226283,6.03843,-2.37172262829,44.01033,-103.44694,DOHS2
