date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401161030,FWS.VEF.20140116.CANAL.01.20140116.103038.2461509434,24,55,18,17.7777777778,5,5.81152,0.1,20.6,4.9,3.08666664,17.8646789551,6.96054023898,2.06054023898,3.3206,1.96054023898,,,,,37.16642,-118.26683,KBIH
1309252040,FWS.VEF.20130925.OVERL.01.20130925.204045.378466395,8,-182,51,9.44444444444,17,8.04672,14.0,15.5555555556,3.0,3.575388858,10.8491455078,23.6971208754,20.6971208754,9.6099,6.69712087536,11.7503295898,22.5118211019,5.71093,-5.5118211019,36.345,-118.37,MKGC1
1308251824,FWS.VEF.20130825.REDRO.01.20130825.182452.1377455092346,18,-270,20,22.2222222222,12,5.36448,3.0,23.3333333333,9.0,3.1278221952,23.361138916,16.9962405817,7.9962405817,6.35029,4.9962405817,18.70546875,18.403488973,4.41408,-6.40348897303,36.255,-118.3,BKRC1
1308201857,FWS.VEF.20130820.GRAND.01.20130820.185722.1377025042824,6,-243,10,35.5555555556,22,4.4704,8.0,40.0,14.0,4.0229555208,34.3818603516,20.1005544135,6.10055441348,6.88443,-1.89944558652,34.0988708496,23.6211882033,5.59208,-1.62118820332,36.54069,-113.75917,QOKA3
1308192110,FWS.VEF.20130819.GRAND.01.20130819.211020.1376946619920,6,-243,21,33.3333333333,21,4.4704,5.0,36.6666666667,16.0,4.9180888464,34.0976196289,22.503084431,6.50308443103,6.41826,1.50308443103,32.3629699707,26.7625937946,4.4302,-5.76259379462,36.54069,-113.75917,QOKA3
1308191731,FWS.VEF.20130819.LIME_.01.20130819.173102.1376933462460,18,13,23,33.3333333333,26,4.4704,4.0,33.8888888889,22.0,4.4705221836,33.4629455566,23.5006263617,1.50062636167,6.7,-2.49937363833,34.2757507324,20.1284760819,3.8356,5.87152391807,37.14417,-114.16444,BADU1
1308182117,FWS.VEF.20130818.GRAND.01.20130818.211723.1376860643164,6,-243,17,38.8888888889,17,8.9408,5.0,38.8888888889,12.0,3.1278221952,,,,,,34.9373413086,20.1180629847,2.61766,-3.11806298471,36.54069,-113.75917,QOKA3
1307102001,FWS.VEF.20130710.DEANP.02.20130710.200107.1373486467360,8,-100,28,26.6666666667,27,4.4704,-2.0,30.0,29.0,4.4705221836,30.565637207,21.1501602702,-7.84983972977,5.39544,-5.84983972977,29.089440918,17.8657226055,8.50587,9.13427739454,35.113,-113.8834,QMBA3
1307071456,FWS.VEF.20130707.DEWDR.01.20130707.145612.1373208972599,22,-108,20,32.2222222222,18,4.4704,3.0,35.0,15.0,5.813222172,32.3738037109,17.4102331129,2.41023311288,5.00163,-0.589766887124,31.0792175293,24.5535782197,4.84322,-6.55357821971,36.46128,-113.529,QTWA3
1307031610,FWS.VEF.20130703.BEAVE.01.20130703.161000.1372867800496,22,167,33,37.7777777778,10,5.36448,-4.0,35.5555555556,14.0,4.9180888464,38.8666015625,11.3343613422,-2.66563865783,4.6,1.33436134217,36.5528198242,15.1862373414,3.756,-5.18623734141,35.96139,-113.89861,TCRA3
1307021309,FWS.VEF.20130702.WESTB.01.20130702.130911.1372770551850,19,53,21,36.1111111111,14,5.36448,-0.0,35.5555555556,14.0,7.150777716,37.4120117188,12.7524302635,-1.24756973651,5.7,-1.24756973651,35.6025939941,14.1469671303,7.16736,-0.146967130341,35.93508,-113.90333,TCRA3
